t,o,h,l,c,v
1412688600,24.8575,25.03,24.6825,24.6875,168376732
1412775000,24.69,25.2775,24.5775,25.2,229618696
1412861400,25.385,25.595,25.1525,25.255,309506100
1412947800,25.1725,25.5075,25.075,25.1825,265326368
1413207000,25.3325,25.445,24.9525,24.9525,214333472
1413293400,25.0975,25.13,24.6425,24.6875,254754248
1413379800,24.4925,24.7875,23.795,24.385,403734400
1413466200,23.8875,24.43,23.8525,24.065,288618092
1413552600,24.375,24.75,24.2025,24.4175,272718752
1413811800,24.57875,24.99,24.555,24.94,310069116
1413898200,25.755,25.755,25.3175,25.6175,378495616
1413984600,25.71,26.0275,25.65,25.7475,273052584
1414071000,26.02,26.26275,25.9075,26.2075,284298696
1414157400,26.295,26.3725,26.1325,26.305,188215664
1414416600,26.2125,26.37,26.175,26.2775,136750804
1414503000,26.35,26.685,26.3375,26.685,192243796
1414589400,26.6625,26.8425,26.59,26.835,210751516
1414675800,26.73975,26.8375,26.475,26.745,162619172
1414762200,27.0025,27.01,26.8025,27,178557140
1415025000,27.055,27.575,27.0025,27.35,209130200
1415111400,27.34,27.3725,26.93,27.15,166297460
1415197800,27.275,27.325,27.03125,27.215,149743620
1415284200,27.15,27.1975,26.95,27.175,139873828
1415370600,27.1875,27.33,27.1375,27.2525,134766140
1415629800,27.255,27.3325,27.1675,27.2075,108782188
1415716200,27.175,27.4375,27.1,27.425,109769008
1415802600,27.345,27.8575,27.3425,27.8125,187769724
1415889000,27.95,28.3625,27.9,28.205,238091420
1415975400,28.2875,28.5475,28.2625,28.545,176254380
1416234600,28.5675,29.32,28.325,28.4975,186986848
1416321000,28.485,28.9225,28.4725,28.8675,176895912
1416407400,28.86,28.935,28.45,28.6675,167476640
1416493800,28.7275,29.215,28.7125,29.0775,173582148
1416580200,29.3775,29.3925,29.0075,29.1175,228717192
1416839400,29.2125,29.6925,29.155,29.65625,189803296
1416925800,29.7675,29.9375,29.3625,29.4,275361760
1417012200,29.485,29.775,29.4575,29.75,163327544
1417185000,29.8175,29.85,29.5125,29.7325,99257608
1417444200,29.7025,29.8125,27.8175,28.7675,335256148
1417530600,28.375,28.9375,28.1875,28.6575,237395760
1417617000,28.9375,29.0875,28.7775,28.9825,172253760
1417703400,28.9425,29.3,28.8225,28.8725,168623104
1417789800,28.9975,29.02,28.66,28.75,153275580
1418049000,28.525,28.662,27.905,28.1,230659400
1418135400,27.5475,28.575,27.3375,28.53,240832144
1418221800,28.6025,28.7125,27.885,27.9875,178261272
1418308200,28.065,28.45,27.835,27.905,165886312
1418394600,27.615,27.9675,27.395,27.4325,224112552
1418653800,27.675,27.9,26.5875,27.05625,268872328
1418740200,26.5925,27.54,26.565,26.68625,243162932
1418826600,26.78,27.46,26.705,27.3525,213647092
1418913000,27.9675,28.1625,27.665,28.1625,236024872
1418999400,28.065,28.31,27.915,27.945,353719080
1419258600,28.04,28.3725,27.9925,28.235,180670196
1419345000,28.3075,28.3325,28.115,28.135,104113676
1419431400,28.145,28.1775,28.0025,28.0025,57918444
1419604200,28.025,28.63,28.0025,28.4975,134883804
1419863400,28.4475,28.6925,28.425,28.4775,110395680
1419949800,28.41,28.48,28.0275,28.13,119525908
1420036200,28.205,28.2825,27.5525,27.595,165613404
1420209000,27.8475,27.86,26.8375,27.3325,212818504
1420468200,27.0725,27.1625,26.3525,26.5625,257141964
