t,o,h,l,c,v
1412688600,57.6,57.6,56.51,56.65,8924598
1412775000,56.54,58.45,56.18,58.34,10917244
1412861400,58.52,58.55,56.71,56.72,11913149
1412947800,55.99,56.67,54.95,54.97,12108843
1413207000,54.88,55.15,53.58,53.62,16908703
1413293400,53.59,54.835,53.02,54.13,14293617
1413379800,52.33,55.72,52.06,54.63,122740856
1413466200,55.8,55.9,52.84,52.9,61236795
1413552600,53.78,53.9027,52.9,53.37,31892106
1413811800,52.56,54.59,52.25,54.41,17954637
1413898200,55.3,56.445,55.02,56.29,17522116
1413984600,56.96,57.45,56.26,56.9,16048709
1414071000,58.1,59.7,57.88,59.52,14729311
1414157400,59.34,60.41,59.34,60.29,10391657
1414416600,60.35,60.98,60.21,60.49,10010862
1414503000,60.76,61.13,60.44,60.93,9412487
1414589400,60.99,60.99,59.36,59.98,16547937
1414675800,60,61.43,59.91,61.18,11635283
1414762200,63.06,63.99,62.3701,63.46,15010787
1415025000,63.66,63.9,62.94,63.25,8251001
1415111400,63.21,63.61,62.32,62.66,9741769
1415197800,63.49,63.67,62.2,62.54,6464989
1415284200,62.75,63.39,62.42,62.71,5152441
1415370600,62.31,62.33,61.31,61.5,7002595
1415629800,61.99,64.06,61.87,63.79,9513163
1415716200,63.69,64.2,63.5,63.85,5041212
1415802600,63.56,64.02,63.56,63.76,5366690
1415889000,64.25,64.7901,63.4,63.63,4510242
1415975400,63.98,64,63.13,64,4684899
1416234600,64.08,65.41,64.03,65.04,7117084
1416321000,64.78,66.24,64.78,66.05,6432239
1416407400,65.88,66.148,65.22,65.5,5710909
1416493800,65.04,65.68,64.93,65.19,4975545
1416580200,66.41,67.36,65.75,67.36,9165941
1416839400,67.4,68.0601,67.4,67.78,7730440
1416925800,67.64,68.21,67.145,68.06,7550833
1417012200,68.34,68.86,67.881,68.7,4045983
1417185000,69,69.48,68.89,69.2,2953678
1417444200,69.08,69.5,68.83,69.11,4885108
1417530600,68.88,69.4901,68.645,69.27,6491493
1417617000,69.17,69.476,68.41,68.5,5821231
1417703400,68.35,69.86,68.29,69.57,7670135
1417789800,69.52,70.17,69.34,69.71,4360127
1418049000,69.81,70.76,69.35,69.42,5452120
1418135400,68.21,69.19,67.61,69.14,6838923
1418221800,69.44,69.44,67.53,67.58,8575718
1418308200,66.48,67.96,66.24,67.03,9518016
1418394600,66.53,67.17,65.01,65.27,9221434
1418653800,65.75,66.47,64.81,65.62,7231014
1418740200,65.11,66.94,64.8,65.25,8545063
1418826600,65.5,66.735,65.09,66.57,5934879
1418913000,67.86,68.01,67.2,67.92,7184735
1418999400,67.69,68.62,66.84,67.71,12631038
1419258600,68.04,68.25,66.83,66.97,12876593
1419345000,67.23,67.32,64.02,64.35,12122958
1419431400,64.75,66.95,64.75,66.21,4713104
1419604200,66.51,67.24,66.51,66.98,4158161
1419863400,66.58,67.37,66.42,67.14,3875718
1419949800,66.77,67.1601,66.02,66.3,5568775
1420036200,66.72,67.1,65.35,65.44,3989061
1420209000,65.62,66.4,65.49,65.89,5087291
1420468200,65.5,66.1,63.88,64.65,8007433
1420554600,65.62,65.75,63.7,64.33,5488211
1420641000,64.57,67.05,64.48,66.93,8283283
1420727400,68.16,68.29,67.42,67.63,7948950
1420813800,66.69,67.2,65.11,65.78,8779934
1421073000,66.34,66.928,65.3104,65.76,6159840
1421159400,65.72,66.07,62.91,63.39,13908387
1421245800,62.62,64.07,61.86,63.7,9448317
1421332200,64,64.11,62.87,62.89,6149083
1421418600,62.95,64.62,62.64,64.54,8106002
1421764200,65.06,65.29,62.75,63.45,9065315
1421850600,63.1,63.45,62.28,62.7,7979499
1421937000,63.2,63.45,61.88,62.98,8941679
1422023400,63.66,63.66,62.35,62.43,6881063
1422282600,62.26,63.04,61.68,62.83,8181088
1422369000,62.33,63.5,62.2,63.1,6532303
1422455400,63.44,63.56,61.69,61.85,6910126
1422541800,62.12,63.38,61.59,63.12,8485561
1422628200,62.09,62.68,60.12,60.35,17582492
1422887400,61.49,61.49,58.65,60.7,11491076
1422973800,61.6,61.76,59.98,61.65,10721752
1423060200,58.95,58.95,56.65,56.91,31250641
1423146600,57.545,58.26,56.15,57.99,18964680
1423233000,57.71,57.83,56.69,56.9,13890916
1423492200,55.67,56.35,55.18,55.48,22522028
1423578600,55.93,57.005,55.6,56.89,18916988
1423665000,57.36,57.83,56.26,56.69,14681602
1423751400,57.4,57.58,56.16,57.05,11940929
1423837800,57.35,58.1,56.9,58.05,11303213
1424183400,58.95,59,57.9,58.72,12789690
1424269800,59.15,59.48,58.305,59.24,10781655
1424356200,58.92,59.08,58.65,59,8665548
1424442600,59.61,61.34,59.22,61.3,15533974
1424701800,61.54,61.9,60.24,60.57,11582706
1424788200,60.85,61.3,60.52,60.87,7900656
1424874600,61.1,61.1,60.21,60.62,9983859
1424961000,60.35,60.81,60.27,60.52,7328227
1425047400,60.53,60.99,60.37,60.5,8649102
1425306600,60.3,60.75,60.06,60.46,6150884
1425393000,60.35,60.45,59.4371,59.62,7421012
1425479400,59.32,60.42,59.03,60.27,8535995
1425565800,57.21,59.48,56.649,56.86,47051781
1425652200,56.95,57.4,55.44,55.64,22852963
1425907800,55.93,56.03,55.26,55.54,14779867
