t,o,h,l,c,v
1412688600,67.4,67.63,65.93,65.96,3308165
1412775000,66,68.09,65.411,67.99,3562500
1412861400,67.83,67.96,65.48,65.66,3376811
1412947800,65.37,65.58,63.29,63.29,4647988
1413207000,63.01,63.35,61.5301,61.68,4822097
1413293400,62.17,62.3,60.69,60.88,4189537
1413379800,59.61,62.65,58.51,62.19,8333625
1413466200,60.72,63.72,60.72,62.86,6639958
1413552600,63.46,65.13,63.46,64.52,6540794
1413811800,64.25,64.73,63.7,64.68,4266231
1413898200,64.84,66.56,64.51,66.425,3229897
1413984600,66.31,66.49,64.99,65.04,2363348
1414071000,65.62,66.4,65.17,65.92,1783779
1414157400,66.26,67.085,65.5,67.01,1391572
1414416600,66.84,67.34,66.31,67.03,1490821
1414503000,67.45,68.51,67.2,68.37,1951060
1414589400,68.21,68.81,67.52,67.93,2054404
1414675800,67.23,68.61,67.23,68.57,1896316
1414762200,69.89,70.25,69.27,70.12,2949402
1415025000,69.93,70.27,69.66,69.91,1889002
1415111400,69.95,71.1,69.75,71.07,2995992
1415197800,71.53,72.04,70.89,71.37,6146563
1415284200,71.59,72.37,71.37,72.1,2345269
1415370600,72.35,72.4,71.441,71.6,4303060
1415629800,71.63,72,71.18,71.7,2388783
1415716200,71.81,72,71.4,71.7,1876089
1415802600,71.35,71.73,71.26,71.41,1581709
1415889000,71.65,72.08,71.3,71.72,2560802
1415975400,71.7,72,71.35,71.42,2470527
1416234600,70.98,71.25,69.87,69.97,3443117
1416321000,69.86,71.08,69.86,70.83,2833165
1416407400,71.01,71.055,70.42,70.82,2193796
1416493800,70.33,70.55,70.02,70.44,2250485
1416580200,72,72.55,71.18,71.32,4554447
1416839400,71.52,71.55,70.73,71.225,1821157
1416925800,71.2,72.52,71.2,72,2842637
1417012200,72.08,73,71.74,72.98,1467560
1417185000,73.13,74.1,73.05,73.68,978374
1417444200,73.64,73.965,73.2,73.75,2023316
1417530600,74,74,73.08,73.47,1843614
1417617000,73.64,73.64,72.8901,73.18,1576865
1417703400,73.09,73.23,72.4,73.03,1428212
1417789800,73.16,73.25,72.36,72.4,3061817
1418049000,72.4,72.78,71.6,72.05,1639677
1418135400,71.34,71.66,70.68,71.565,2875422
1418221800,71.56,71.97,69.74,69.85,2577809
1418308200,70.1,71.14,69.66,69.74,5176598
1418394600,74.17,77.56,73.71,76.02,12613681
1418653800,75.66,76.13,72.84,73.04,9696667
1418740200,72.87,73.8,72.31,72.32,4057067
1418826600,72.5,74.57,72.16,73.995,4180909
1418913000,75.41,75.54,74.6,74.89,6913456
1418999400,75,75.235,73.99,74.45,6969464
1419258600,74.38,75.14,74.38,74.5,3815437
1419345000,74.65,75,74.29,74.38,1941125
1419431400,74.49,74.93,74.37,74.74,1204572
1419604200,74.74,75.17,74.42,74.67,1083910
1419863400,74.56,74.58,74,74.13,925144
1419949800,73.63,73.86,72.75,73.085,1581717
1420036200,73.4,74.21,72.65,72.7,1359290
1420209000,72.7,73.2031,71.89,72.34,2356405
1420468200,72.21,72.43,71.57,71.98,2405286
1420554600,71.95,72.1,69.88,70.53,2895356
1420641000,70.77,71.29,70.42,71.11,2378276
1420727400,71.4,73.06,71.31,72.915,2624237
1420813800,72.89,73.13,71.63,71.84,1730255
1421073000,72.13,72.26,70.75,71.12,1337867
1421159400,71.95,72.96,69.95,70.59,2103821
1421245800,69.88,70.4,68.98,69.99,1927063
1421332200,71.71,71.75,70.16,70.29,2839158
1421418600,70.03,71.85,70.03,71.73,2375295
1421764200,71.79,71.99,70.58,71.49,1612038
1421850600,71.16,71.89,70.37,71.54,1787889
1421937000,71.9,73.65,70.9,73.48,2178508
1422023400,73.44,74.4,73.06,74.06,1851700
1422282600,72.61,73.15,71.68,72.74,3593663
1422369000,71.71,72.36,71.06,71.46,1798640
1422455400,71.54,71.84,70.07,70.25,2281065
1422541800,70.03,71.82,69.78,71.64,2538051
1422628200,71.32,71.6699,70.06,70.13,2331834
1422887400,70.44,71.2,69.04,71.11,2381935
1422973800,71.54,71.97,71,71.92,1555876
1423060200,71.79,72.62,71.78,72.28,2165414
1423146600,72.47,73.18,72.32,73.1,1438782
1423233000,73.18,73.62,72.24,72.54,1367371
1423492200,72.09,72.98,72.04,72.33,1628899
1423578600,72.94,73.19,72.11,72.76,1696213
1423665000,72.78,73.14,72.35,73.01,1600855
1423751400,73.6,74.755,73.31,74.59,2243474
1423837800,74.98,76.62,74.77,76.51,3819312
1424183400,76.67,77.22,76.31,77.13,1986617
1424269800,77.02,77.9975,76.8,77.73,1683362
1424356200,77.42,77.94,77.2,77.73,1556077
1424442600,77.76,78.56,77.2,78.55,1626881
1424701800,78.65,78.69,77.79,78.1,1455823
1424788200,78.03,78.03,77.08,77.68,1954329
1424874600,77.76,78.44,77.475,78.07,1256415
1424961000,78.32,79.07,78.02,78.96,1545990
1425047400,79.24,80.3,78.93,79.1,3115789
1425306600,79.14,79.79,78.715,79.79,1497669
1425393000,79.63,79.99,78.97,78.99,1617017
1425479400,78.71,78.74,77.13,77.63,2393581
1425565800,77.6,78.71,77.3,78.62,1850110
1425652200,78.19,78.5,77.05,77.55,2537112
1425907800,77.76,78.24,77.43,77.93,2010928
1425994200,77.25,77.29,75.99,76.005,2622028
1426080600,75.91,76.78,75.68,76.01,1692240
1426167000,76.14,77.44,75.97,77.4,1683176
1426253400,77.18,78.06,76.62,77.62,2202818
1426512600,78.21,78.5899,77.8,78.33,1851377
1426599000,78.22,79.87,78.18,79.66,5718989
1426685400,75.5,78.32,74.75,76.89,10509371
1426771800,76.48,77.38,75.2901,77.14,3519153
1426858200,77.67,77.96,76.81,77.36,3577649
1427117400,77.11,77.3,76.34,76.35,1754089
1427203800,76.11,76.42,75.38,75.45,2782843
1427290200,75.5,75.59,73.12,73.13,3444655
1427376600,72.43,73.3577,72.12,72.97,2965546
1427463000,72.72,73.46,72.56,73.31,2085213
1427722200,73.51,73.86,73.1,73.6,1880790
1427808600,73.11,74.6,72.94,73.94,2555952
1427895000,73.61,75.1,73.03,75.07,3976036
1427981400,75.17,76.17,74.61,75.68,2158435
1428327000,75.13,76.65,74.75,76.23,2556459
1428413400,76.07,76.68,75.62,75.65,2601250
1428499800,75.68,76.35,75.12,75.44,1938515
1428586200,75.62,76.35,75.21,76.33,1556186
1428672600,76.3,76.63,76,76.53,1801204
1428931800,76.44,77,75.89,76.02,1230003
1429018200,76.02,76.6,75.59,75.95,1924755
1429104600,76.09,76.5,75.9,76.03,1355474
1429191000,75.41,75.69,75.095,75.15,2069782
1429277400,74.38,74.55,72.78,73.15,3856527
1429536600,73.42,74.3,73.42,73.92,1688291
1429623000,74.31,74.88,74.21,74.62,1894585
1429709400,74.68,75.52,74.634,75.5,1523834
1429795800,75.08,76.8,75,76.52,1714116
1429882200,76.41,77.21,75.84,76.54,1831099
1430141400,76.84,77.29,76.36,76.55,1653200
1430227800,76.34,77.09,75.87,76.02,1698227
1430314200,75.61,77.26,75.465,76.65,2423865
1430400600,76.4,77.24,75.31,76.06,2109174
1430487000,76.29,76.67,75.66,76.43,1745421
1430746200,76.43,76.99,75.82,75.85,1655632
1430832600,75.35,75.63,74.75,75,2052192
1430919000,75.08,75.47,73.96,74.48,1997335
1431005400,74.4,74.84,74.17,74.73,2010135
1431091800,75.28,76.52,75.05,76.31,1585632
1431351000,76.32,77.34,76.07,76.785,2140410
1431437400,76.26,76.9,75.3,76.57,2082578
1431523800,76.6,77.48,76.53,77.08,1830543
1431610200,77.64,79.81,77.1,79.43,3068066
1431696600,80,80,78.625,78.92,2676185
1431955800,78.69,79.525,78.4,79.41,1436008
1432042200,79.75,79.93,79.37,79.62,2065598
1432128600,79.57,79.9,78.91,79.61,2639039
1432215000,79.54,80.74,79.19,80.56,2761464
1432301400,80.34,80.7,79.97,80.04,1825194
1432647000,79.91,80.12,78.84,79.365,2080761
1432733400,79.55,80.32,79.27,80.16,1671821
1432819800,80.17,80.42,79.745,80.015,1248364
1432906200,79.89,79.99,78.94,79.09,3288029
1433165400,79.5,80,78.59,79.87,2288815
1433251800,79.7,80.22,79.35,79.82,1533956
1433338200,79.93,80.34,79.44,80.13,1972025
1433424600,79.86,80.379,78.64,78.75,1659256
1433511000,78.64,79.39,78.38,78.86,1325884
1433770200,78.9,79.18,77.9,78.16,1621644
1433856600,77.88,78.05,76.95,77.9,2100935
1433943000,78.18,79.7,77.99,79.56,1775952
1434029400,79.81,80.29,79.42,79.65,1918251
1434115800,79.33,80.26,79.06,79.86,1794851
1434375000,79.17,79.25,78.35,78.9,2459672
1434461400,78.93,80.43,78.83,79.94,3579416
1434547800,79.5,80,77.74,77.91,6464247
1434634200,77.82,79.94,77.82,79.39,3858561
1434720600,79.41,79.94,79.06,79.7,3155595
1434979800,80,82.66,79.85,82.28,5829955
1435066200,82.17,83.77,82.1,83.55,4944995
1435152600,83.22,84.36,82.9745,83.4,4311199
1435239000,83.82,84.27,83.49,83.94,3052904
1435325400,84.22,84.22,82.265,82.74,5914717
1435584600,81.22,82.06,81.15,81.28,4060269
1435671000,82.19,82.34,80.95,81.01,4086360
1435757400,81.57,81.915,80.71,80.945,2944498
1435843800,81.19,81.29,80.38,80.75,2200892
1436189400,80.02,81.19,80,80.5,2590913
1436275800,80.77,81,78.94,80.59,2781935
1436362200,79.95,80.5199,79.4,79.99,4157628
1436448600,80.74,81.67,80.41,80.47,3068877
1436535000,81.5,81.5,80.47,80.59,3025163
1436794200,81.09,81.66,80.82,81.44,4597216
1436880600,81.67,82.35,81.24,81.89,4428123
1436967000,82.2,82.32,81.71,82.12,3214918
1437053400,82.65,82.67,82.2,82.52,2058116
1437139800,82.17,82.73,81.48,82.1,2402732
1437399000,82,82.185,81.45,82.09,1995809
1437485400,81.8,82.1,81.01,81.19,3916364
1437571800,81.38,81.75,80.651,80.73,2601230
1437658200,80.8,81.4,80.48,80.64,2579457
1437744600,81,81.36,80.54,80.98,3575251
1438003800,80.53,80.7,79.73,79.93,2762686
1438090200,80.07,80.65,79.13,80.59,2681012
1438176600,80.07,80.54,79.56,80.25,2178014
1438263000,79.9,81.8,79.2,81.29,2072732
1438349400,81.8,82.8225,81.37,81.99,2893613
1438608600,82.18,82.26,80.7,81.4,2073985
