t,o,h,l,c,v
1412688600,15.9715,16.1,15.8335,15.849,47313960.00000001
1412775000,15.829,16.2055,15.707,16.135,69179200
1412861400,16.0745,16.11355,15.726,15.7685,71789280
1412947800,15.701,15.8885,15.569,15.5695,73686280
1413207000,15.4935,15.66,15.1735,15.3225,87397000
1413293400,15.4,15.612,15.2875,15.4155,67716180
1413379800,15.2175,15.395,14.9551,15.2985,106965080.00000001
1413466200,14.6915,15.341,14.6915,15.143,94637320.00000001
1413552600,15.3575,15.46,15.136,15.182,88184360
1413811800,15.1475,15.3265,15.101,15.3105,64789799.99999999
1413898200,15.495,15.782,15.3535,15.7665,71267020
1413984600,15.7715,15.949,15.632,15.6485,62600979.99999999
1414071000,15.67,15.84,15.57,15.659,180763860.00000003
1414157400,14.22,14.6905,14.2,14.353,396118220.00000006
1414416600,14.285,14.521,14.251,14.4985,119011879.99999999
1414503000,14.488,14.9,14.488,14.7795,111532920.00000001
1414589400,14.9555,14.9805,14.653505,14.706,97665180.00000001
1414675800,14.699,14.987,14.618,14.9535,81103100
1414762200,15.2575,15.286,15.075,15.273,91035900.00000001
1415025000,15.312,15.4005,15.162,15.286,64882999.99999999
1415111400,15.1995,15.2125,15.0085,15.1405,68547680
1415197800,15.1505,15.2,14.708,14.826,93489840.00000001
1415284200,14.8345,14.85,14.6145,14.832,75162420
1415370600,14.891,14.9995,14.8145,14.993,52947040.00000001
1415629800,15,15.28995,15,15.2555,56181119.99999999
1415716200,15.297,15.619,15.1823,15.6005,76146660
1415802600,15.5375,15.629,15.4395,15.5755,43659640
1415889000,15.6,15.8945,15.5755,15.824,73728560
1415975400,15.856,16.644,15.82005,16.391,177555700
1416234600,16.322,16.4,15.9015,16.1525,95698660.00000001
1416321000,16.1995,16.478,16.1625,16.2465,71023220
1416407400,16.3625,16.42,16.201,16.327,65632279.99999999
1416493800,16.2,16.6335,16.1665,16.527,68734420
1416580200,16.771,16.9165,16.5735,16.6315,89331740
