t,o,h,l,c,v
1412688600,17.18,17.2,16.88,16.88,91396327
1412775000,16.88,17.12,16.72,17.12,101266804
1412861400,17.04,17.11,16.55,16.59,121363088
1412947800,16.52,16.77,16.36,16.48,129552650
1413207000,16.48,16.67,16.4,16.4,92674130
1413293400,16.51,16.63,16.36,16.52,97451881
1413379800,16.23,16.24,15.43,15.76,216591804
1413466200,15.61,16.25,15.52,16.08,148199432
1413552600,16.25,16.41,16.16,16.21,94339180
1413811800,16.2,16.33,16.16,16.26,76510730
1413898200,16.43,16.61,16.31,16.6,78287334
1413984600,16.59,16.7,16.37,16.4,85199795
1414071000,16.58,16.73,16.515,16.6,68436551
1414157400,16.63,16.72,16.56,16.72,41951414
1414416600,16.68,16.69,16.5,16.59,51499970
1414503000,16.62,16.8,16.61,16.8,71850839
1414589400,16.77,17.02,16.71,16.99,99875657
1414675800,16.96,17.12,16.84,17.03,72579120
1414762200,17.17,17.22,17.1,17.16,82788923
1415025000,17.18,17.35,17.1,17.27,64109402
1415111400,17.22,17.3,17.02,17.21,53515435
1415197800,17.32,17.37,17.21,17.34,58608232
1415284200,17.34,17.4,17.28,17.36,57339203
1415370600,17.31,17.38,17.22,17.36,53907826
1415629800,17.36,17.4,17.3,17.37,54261121
1415716200,17.37,17.46,17.3,17.32,62236029
1415802600,17.24,17.3,17.07,17.29,48669101
1415889000,17.285,17.3,17.12,17.22,50586273
1415975400,17.165,17.25,17.1,17.14,41144632
1416234600,17.06,17.14,16.97,17.09,43393347
1416321000,17.07,17.22,17.06,17.14,39490695
1416407400,17.145,17.15,17.01,17.06,49441553
1416493800,16.96,17.01,16.83,17,49652114
1416580200,17.15,17.19,17.06,17.12,62999975
1416839400,17.16,17.28,17.08,17.18,52785687
1416925800,17.23,17.26,17.08,17.1,44786324
1417012200,17.12,17.15,17.04,17.11,27358440
1417185000,17.07,17.15,17.03,17.04,27834925
1417444200,16.92,16.94,16.73,16.79,61173148
1417530600,16.87,17.15,16.86,17.15,62945173
1417617000,17.1,17.3,17.06,17.29,70104217
1417703400,17.24,17.34,17.13,17.21,49773593
1417789800,17.41,17.71,17.35,17.68,131823990
1418049000,17.66,17.87,17.51,17.66,101035132
1418135400,17.175,17.59,17.17,17.56,95965217
1418221800,17.48,17.68,17.37,17.38,103611138
1418308200,17.44,17.65,17.44,17.47,80173209
1418394600,17.37,17.45,17.13,17.13,88886701
1418653800,17.3,17.31,16.76,16.85,101305256
1418740200,16.74,17.19,16.59,16.72,96111951
1418826600,16.87,17.27,16.82,17.26,92164082
1418913000,17.47,17.53,17.34,17.53,79333998
1418999400,17.49,17.7,17.49,17.62,105588213
1419258600,17.65,17.73,17.55,17.71,70969282
1419345000,17.83,17.99,17.78,17.93,94405246
1419431400,17.965,18.1,17.92,17.98,35091254
1419604200,18.02,18.05,17.95,17.98,34362457
1419863400,17.97,18.19,17.91,18.11,58370887
1419949800,18.04,18.18,18.01,18.13,41433523
1420036200,18.19,18.21,17.89,17.89,57819572
1420209000,17.99,18.03,17.6801,17.9,48951133
1420468200,17.785,17.81,17.29,17.38,105605485
1420554600,17.42,17.44,16.78,16.86,144912399
1420641000,17.14,17.18,16.87,16.94,104603795
1420727400,17.16,17.34,17.1,17.29,73388499
1420813800,17.38,17.38,16.95,16.98,84144582
1421073000,17.025,17.03,16.66,16.68,92762501
1421159400,16.82,16.89,16.32,16.45,100845428
1421245800,16,16.215,15.77,16.04,164779753
1421332200,15.59,15.76,15.15,15.2,193241269
1421418600,15.16,15.4,14.97,15.38,149802031
