t,o,h,l,c,v
1412602200,97.81,98.13,96.91,98,3983697
1412688600,97.09,97.51,94.6855,94.7,6479495
1412775000,94.58,96.86,93.64,96.65,6214176
1412861400,96.21,96.52,93.24,93.5,6414868
1412947800,93.24,94.57,91.61,93.13,6179172
1413207000,93.29,94.06,91.62,91.68,5856964
1413293400,92.51,95.01,92.39,92.8,6791267
1413379800,91.43,92.75,90.05,92.59,9379130
1413466200,90.27,94.15,90.27,93.24,7439609
1413552600,94.2,95.6,93.98,95.05,7447827
1413811800,94.53,95.3,93.27,94.03,4274409
1413898200,95.04,96.32,95.04,95.89,3995387
1413984600,95.53,95.981,94.05,94.57,6215679
1414071000,97.6,99.94,97.34,99.27,11670137
1414157400,99.51,99.68,98.37,99.44,4133823
1414416600,98.68,98.77,97.145,98.54,4346054
1414503000,99.44,101.16,99.03,101.16,5069568
1414589400,101.53,101.84,99.84,100.19,4426350
1414675800,99.63,100.58,99.06,100.16,2650901
1414762200,101.35,102.37,100.84,101.41,5367845
1415025000,101.61,101.76,99.77,100.22,4435058
1415111400,99.75,100,98.04,98.61,4848950
1415197800,99.45,99.64,98.453,99.41,3515623
1415284200,99.51,100.99,99.24,100.91,3427724
1415370600,101.26,101.83,100.9,101.76,2708167
1415629800,101.86,102.55,101.86,102.21,3308115
1415716200,102.31,102.8,101.6,102.53,2465927
1415802600,102.17,103.22,101.521,102.99,2808733
1415889000,103.06,103.18,100.68,101.11,3924096
1415975400,101,101.7,100.65,101.34,2660490
1416234600,101.25,102.08,100.45,101.7,2476970
1416321000,101.7,102.45,101.31,102.04,2761245
1416407400,101.86,102.3,100.89,101.3,4679108
1416493800,100.33,102.14,100.07,102.09,3052561
1416580200,104.3,107.12,104.2,106.45,8738026
1416839400,106.4,106.4668,105.1,105.96,4108630
1416925800,106.1,106.6279,105.33,106.24,3321510
1417012200,106.29,106.44,105.45,105.79,2463793
1417185000,104.39,104.61,100.12,100.6,5780935
1417444200,100.24,100.47,97.79,99,7431817
1417530600,99.48,99.96,98.72,99.51,3900419
1417617000,100.04,101.46,99.96,100.18,6930661
1417703400,99.69,100.87,99.51,99.67,3406371
1417789800,99.81,99.96,98.705,98.78,3604993
1418049000,98.66,98.76,95.2,95.25,7192142
1418135400,94.17,96.171,93.8,95.45,6564187
1418221800,94.91,95.02,92.75,93.02,6759433
1418308200,93.68,94.29,92.532,92.69,4664926
1418394600,92,92,89.96,90.5,10327200
1418653800,91.25,91.29,89.39,89.75,6930800
1418740200,89.23,92.25,89.15,89.34,7649501
1418826600,89.4,90.14,88.03,89.75,8671558
