t,o,h,l,c,v
1412688600,125.35,125.83,124.75,125.27,2335221
1412775000,128.2,128.95,127.16,128.73,4266976
1412861400,128.22,130.74,128.19,128.41,2963699
1412947800,128.26,131.41,128.26,128.9,3353581
1413207000,128.57,128.85,126.89,126.97,2446184
1413293400,127.5,127.98,125.27,126.25,4003560
1413379800,125.1,125.7,123.28,124.3,3784798
1413466200,122.68,123.85,122.05,122.95,3543012
1413552600,123.77,125.75,123.18,124.65,3199186
1413811800,124.83,128.87,124.65,128.42,3506170
1413898200,128.94,130.65,128.17,130.28,2105624
1413984600,130.56,131.59,130.32,130.54,1879960
1414071000,131.03,131.48,130.35,130.59,1763755
1414157400,128.58,130.54,128.56,130.44,2490256
1414416600,129.24,131.2599,129.24,130.92,1629582
1414503000,130.97,131.5,130.16,131.06,1439800
1414589400,131.29,132,130.93,131.93,1705814
1414675800,131.5,133.31,131.33,133,1302063
1414762200,134.45,134.5,132.71,133.37,2373896
1415025000,133.82,134.29,133.37,134.27,1949226
1415111400,134.61,136.72,133.99,136.55,2802823
1415197800,137.49,137.81,136.03,136.5,2116797
1415284200,137.39,137.67,136.6,137.09,1685940
1415370600,137.05,137.9094,136.5201,137.71,1589448
1415629800,137.85,137.89,135.98,137.69,1958039
1415716200,137.78,137.95,136.6599,137.05,1495574
1415802600,136.7,137.35,136.1537,136.9,1910222
1415889000,137.64,138.76,137.34,138.71,2235941
1415975400,138.93,138.93,138.0701,138.48,1598624
1416234600,137.21,138.5,137.21,138.47,1228116
1416321000,138.48,139.34,138.04,139.21,1574757
1416407400,139.09,140.1435,139.09,140.01,1362597
1416493800,139.06,140.01,139.02,139.25,1518294
1416580200,140.8,140.83,139.23,139.72,1849219
1416839400,139.33,139.99,139.19,139.8,1645815
1416925800,140.1,140.35,138.74,138.87,1865793
1417012200,139.5,140.88,139.04,139.75,1631937
1417185000,141.3,142.9699,140.308,142.12,1442598
1417444200,143.32,143.32,141.27,141.98,1952149
1417530600,142.43,143.349,141.76,143.06,1765406
1417617000,142.98,143.3,141.98,142.69,1795877
1417703400,143.49,143.49,142.02,143.02,1324093
1417789800,143.18,143.31,141.961,143.25,1198018
1418049000,143.05,143.05,141.95,142.33,1946175
1418135400,142.13,143.13,140.88,143.04,2094901
1418221800,144.94,146.82,139.4,140.25,4919143
1418308200,141.09,142.68,140.67,141.41,2401295
1418394600,139.99,141.36,137.83,137.88,3672019
1418653800,138.65,139.5,137.06,138.19,2456713
1418740200,138.53,139.3,136.55,137.31,2470072
1418826600,137.31,139.62,136.78,139.33,2428540
1418913000,140.18,141.56,139.29,141.56,2903401
1418999400,141.5,142.5,141.33,141.77,4029974
1419258600,142.34,143.27,141.85,143.21,1776902
1419345000,144.53,144.97,143.67,144.15,1464516
1419431400,144.56,144.865,143.6,143.65,738668
1419604200,143.61,143.87,143.08,143.44,1233068
1419863400,143.35,143.85,142.74,143.34,1364395
1419949800,143,144.09,143,143.49,1158803
1420036200,143.49,144.13,141.69,141.75,1485064
1420209000,141.87,143.15,140.814,141.61,1471736
1420468200,141.69,142.16,139.8,140,1751693
1420554600,140.61,142.94,139.85,141.85,3187950
1420641000,142.6,144.43,142.36,144.32,2171551
1420727400,145.56,146.1,144.94,145.56,2937674
1420813800,144.48,145.05,143.22,143.32,1727049
1421073000,143.58,144.16,142.12,142.52,1344803
1421159400,142.2,144.41,140.39,141.09,2200910
1421245800,140.01,140.21,138.24,139.31,2208252
1421332200,139.95,140.17,138.62,139.31,1821110
1421418600,139.04,139.96,138.22,139.72,1784806
1421764200,140.72,141.27,138.3601,139.38,1836793
1421850600,138.85,139.7,138.38,139.14,1682887
1421937000,139.5,141.28,138.39,141.27,1897527
1422023400,141.59,142.31,140.87,142.05,1700402
1422282600,141.66,143.05,141.57,142.905,1483318
1422369000,142.75,142.7999,140.87,140.99,1786867
1422455400,141.6,142.45,139.56,139.62,2017027
1422541800,140.16,140.69,138.91,140.64,1873432
1422628200,143.09,143.8,141.34,142.99,5169025
1422887400,144,146.23,140.13,146,4797524
1422973800,146.36,153.89,144.77,153.75,10302858
1423060200,152.08,156.85,152.07,155.92,11006320
1423146600,149.5,151.1,147.52,149.09,6986697
1423233000,149.21,149.95,148.1601,148.7,2927362
1423492200,148.7,149.16,146.82,147.54,2740244
1423578600,147.99,148.48,147,148.22,1703408
1423665000,148.39,148.48,146.55,147.46,2295846
1423751400,148.01,148.39,146.86,147.76,1712183
1423837800,148.23,148.8,146.94,147.1,1926835
1424183400,147,147.61,145.66,147.53,1541495
1424269800,147.16,147.48,146.53,147.23,1540979
1424356200,146.9,147.51,146.46,146.665,1273712
1424442600,146.67,147.79,145.9,147.535,1596460
1424701800,148,148.46,147.03,148.39,1587309
1424788200,149.38,149.4,148,148.21,1844184
1424874600,147.7,148.6,147.19,147.48,1603820
1424961000,147.07,147.61,146.2,146.65,1892566
1425047400,147.56,147.56,145.8301,146.96,3036187
1425306600,147.32,148.49,147.32,147.94,2108588
1425393000,147.94,148.14,146.66,147.37,1514346
1425479400,147.84,147.98,145.78,147.17,2208591
1425565800,150.77,151.75,149,151.17,4471066
1425652200,149.29,150.15,148.17,149.545,3014895
1425907800,149.79,150.99,149.55,150.68,1727892
1425994200,149.75,150.15,148.15,148.16,2128136
1426080600,148.33,148.99,147.34,147.4,1734275
1426167000,148.38,149.64,147.4,149.44,1563991
1426253400,149.09,149.91,148.15,149.28,1470086
1426512600,149.72,151,149.28,149.99,2532741
1426599000,149.39,150.2,148.43,150.03,1972534
