t,o,h,l,c,v
1412602200,117.91,119.0501,117.28,118.09,5410741
1412688600,117.47,118.43,116,116.02,7309332
1412775000,115.83,118.25,115.15,117.95,9523621
1412861400,117.02,117.08,114.24,114.51,11489228
1412947800,114.7,115.73,112.88,113.89,9258246
1413207000,113.55,114.59,111.85,112.03,7803960
1413293400,112.6,113.05,109.1,109.78,11541488
1413379800,108.57,109.5,106.65,109.27,15279216
1413466200,107.96,111.3196,107.2,111.06,11908643
1413552600,111.78,112.74,110.73,111.8,10897892
1413811800,111.53,112.2754,110.97,111.49,8830023
1413898200,113.18,115.17,112.911,115.09,8904866
1413984600,115.2,116.24,113.91,114,7211577
1414071000,116,117.32,114.95,116.19,7195681
1414157400,116.19,116.26,114.53,115.91,5508970
1414416600,114.38,115.37,113.46,115.02,6721122
1414503000,116.17,117.27,115.16,117.13,7274132
1414589400,118,118.93,116.1,117.14,6873675
1414675800,116.18,117.25,115.57,117.2,5174430
1414762200,118.35,120.17,116.39,119.95,10671453
1415025000,119.83,119.97,116.46,116.78,10341474
1415111400,115.99,116.02,114.795,115.37,9585771
1415197800,117.27,117.3,114.86,117.05,6603319
1415284200,116.9,118.55,116.36,118.53,6383773
1415370600,118.75,119.73,118.36,118.8,7366568
1415629800,119.58,119.67,117.31,117.92,6114563
1415716200,117.95,118.6684,117.3,118.44,3957455
1415802600,117.86,118.71,117.38,117.65,4923889
1415889000,117.09,117.47,115.64,116.45,11019889
1415975400,115.7,116.35,115.42,116.32,4891687
1416234600,115.96,116.15,115.27,115.75,5713725
1416321000,115.97,116.63,115.25,115.47,5677322
1416407400,115.97,116.68,115.07,116.47,4270319
1416493800,116.16,117.47,116.16,117.31,5272801
1416580200,118.79,118.91,117.73,118.58,7361563
1416839400,118.13,118.58,117.15,117.59,5807601
1416925800,117.8,117.82,115.6347,116.15,6671395
1417012200,116.07,116.347,115.02,115.11,6715848
1417185000,111.59,111.69,108.43,108.87,11935566
1417444200,109.38,112.49,108.68,111.73,13400104
1417530600,111.27,114.56,110.893,114.02,8548700
1417617000,114.74,114.82,113.15,113.71,8058904
1417703400,113.08,113.08,111.01,112.28,8242715
1417789800,111.79,112.29,110.71,110.87,7663357
1418049000,109.89,109.94,106.41,106.8,13809036
1418135400,106.17,108.1507,106.13,107.01,11059408
1418221800,106.22,106.25,103.07,104.86,15073426
1418308200,104.97,107.27,104.3,104.91,10293571
1418394600,103.76,104.35,102.37,102.38,12013618
1418653800,103.13,103.91,100.415,100.86,13144238
1418740200,100.5,104.4699,100.15,101.7,12722183
1418826600,102.18,106.59,102.01,106.02,13360021
1418913000,108.01,109.03,105.49,109.03,13533046
1418999400,109.53,112.96,108.5,112.93,15723273
1419258600,112.36,112.989,111.07,112.03,9433516
1419345000,112.76,114.45,112.32,113.95,8091980
1419431400,113.66,114.1382,112.07,113.47,4538653
1419604200,113.93,114.3499,112.8151,113.25,4380437
1419863400,113.44,114.38,112.78,113.32,6042973
1419949800,112.93,113.65,112.15,113.11,5659510
1420036200,111.65,113.306,111.53,112.18,6411795
1420209000,111.63,113,110.85,112.58,5907276
1420468200,110.96,111.2,107.44,108.08,11758103
1420554600,107.87,109.02,106.48,108.03,11591591
1420641000,109.25,109.725,107.51,107.94,10353817
1420727400,109.19,110.44,108.6,110.41,8650761
1420813800,110.14,110.22,107.672,108.21,9584510
1421073000,107.47,107.47,105.56,105.88,8912332
1421159400,106.92,107.66,103.19,104.2,13277742
1421245800,103.2,104.41,101.83,103.9,14116923
1421332200,104.41,104.94,102.53,102.67,9664562
1421418600,102.47,105.14,102.47,105.12,12604555
1421764200,104.56,106.58,103.81,106.47,10406775
1421850600,106.79,108.27,106.35,108.16,8271024
1421937000,108.76,109.12,106.99,108.92,7471142
1422023400,108.22,108.75,106.73,106.85,7984439
1422282600,107.22,109.35,106.32,108.88,7670519
1422369000,108.11,108.812,107.63,108.26,6388680
1422455400,108.16,108.17,103.42,103.71,10526500
1422541800,104.24,104.63,101.66,103,13994381
1422628200,101.6,103.28,98.88,102.53,20584736
1422887400,103.98,106.13,102.97,106.06,11537611
1422973800,107.7,110.11,107.67,109.53,14266747
1423060200,108.49,109.28,107.392,108.35,10176015
1423146600,109.57,110.11,108.57,109.31,7533342
1423233000,109.66,110.46,109.11,109.61,7655453
1423492200,109.84,111.5,109.65,110.43,6402999
1423578600,110.52,110.62,108.0852,110.18,7033704
1423665000,108.98,110.18,108.29,109.98,8662041
1423751400,110.28,111.05,109.82,110.86,6618029
1423837800,111.35,112.84,111.1,112.78,7494358
1424183400,112.31,112.93,111.52,112.4,7097331
1424269800,111.25,111.65,110.37,110.44,6920274
1424356200,108.2,109.58,107.24,108.35,9721100
1424442600,108.43,108.87,107.5,108.6,7610626
1424701800,107.79,108.5,107.35,107.86,6723971
1424788200,107.89,108.24,107.34,107.96,5708397
1424874600,108.12,108.78,107.76,108.58,4806459
1424961000,107.89,107.92,106.6,107.06,5903095
1425047400,107.52,107.73,106.57,106.68,6396479
1425306600,106.32,106.34,104.93,105.9,7343708
1425393000,105.88,106.215,104.8097,105.16,6901215
1425479400,105.64,105.64,104.44,105.16,5784901
1425565800,105.01,105.31,104.33,104.73,5156898
1425652200,104.22,104.52,103.165,103.55,7213295
1425907800,103.6,105.63,103.5,103.95,7506197
1425994200,103.79,104.55,102.3301,102.91,10679023
1426080600,103.52,103.89,102.45,103.54,8440653
1426167000,104.22,104.51,102.3,102.42,5900575
1426253400,101.84,101.84,100.66,101.62,8345174
1426512600,101.44,103.27,101,103.13,6780238
1426599000,102.3,103.545,102.1,103.17,7097520
1426685400,102.61,106.88,102.37,106.7,11059731
1426771800,105.1,105.4,104.65,104.75,7841872
1426858200,105.29,107.26,105.11,107.03,14064856
