t,o,h,l,c,v
1412688600,32.19,32.42,31.57,31.6,12799560
1412775000,31.67,32.34,31.26,32.3,11356832
1412861400,32.34,32.35,31.04,31.14,13007579
1412947800,30.78,31.47,30.46,30.66,13808660
1413207000,31.06,31.595,30.7,30.72,11839063
1413293400,31.12,31.54,30.62,30.79,12610086
1413379800,30.4,30.5,29.43,30.03,20231764
1413466200,29.49,30.749,29.42,30.24,13671089
1413552600,30.64,30.9351,30.34,30.34,12102673
1413811800,30.55,30.94,30.46,30.76,9478623
1413898200,31.6,31.75,31.28,31.5,11306051
1413984600,31.57,31.68,30.89,30.89,10494080
1414071000,31.02,31.18,30.76,30.96,10839499
1414157400,30.76,30.96,30.565,30.8,10725594
1414416600,30.47,30.6,30.19,30.29,15259117
1414503000,29.98,30.04,28.64,29.03,27699868
1414589400,29.22,29.41,28.7,28.99,25454710
1414675800,28.63,28.64,28.06,28.08,16474537
1414762200,28.2,28.53,27.72,28.5,14970960
1415025000,28.7,28.78,27.6,27.79,18725796
1415111400,27.68,28.14,27.6,27.79,10305044
1415197800,27.72,27.82,27.1,27.13,16168823
1415284200,27.21,27.78,27.07,27.57,13550360
1415370600,27.75,28.39,27.75,28.34,14414204
1415629800,28.39,28.55,27.95,28.02,11418634
1415716200,27.95,28.51,27.9,28.43,10499055
1415802600,28.48,28.98,28.4,28.56,11476761
1415889000,28.61,28.71,27.82,27.9,11509580
1415975400,27.76,28.3399,27.6,28.3,12669380
1416234600,28.23,28.58,27.97,28.42,10184790
1416321000,28.5,28.6,28.02,28.19,11127478
1416407400,28.18,28.263,27.67,28.08,9737907
1416493800,27.8,28.62,27.75,28.57,8810237
1416580200,29.75,29.92,29.25,29.59,17097695
1416839400,29.71,29.75,29.01,29.11,10754023
1416925800,29.06,29.38,29.05,29.28,7990656
1417012200,29.26,29.68,29.1389,29.34,7975084
1417185000,27.36,27.38,26.638,26.85,21626481
1417444200,26.71,26.75,25.5,26.2,21161543
1417530600,25.76,26.49,25.45,25.87,17127590
1417617000,26.13,26.89,26.06,26.7,14662664
1417703400,26.6,26.835,26.29,26.43,8874870
1417789800,26.22,26.37,25.84,26.01,9935791
1418049000,25.92,26.15,25.07,25.13,14821327
1418135400,24.64,25.13,24.3849,25.13,21678535
1418221800,24.92,25.01,23.95,23.96,16762156
1418308200,23.33,23.825,22.86,22.98,26720436
1418394600,22.98,22.99,21.77,21.78,27925288
1418653800,22.09,22.12,21.03,21.03,22011513
1418740200,21.27,21.95,20.94,21.19,23220421
1418826600,21.29,22.24,21.22,22.13,22364904
1418913000,22.59,22.83,22.161,22.82,21206746
1418999400,22.9,23.47,22.708,23.4,23998380
1419258600,23.48,23.52,22.36,22.55,14568392
1419345000,22.64,23.18,22.52,22.84,11175829
1419431400,22.67,22.995,22.51,22.91,5623270
1419604200,23.05,23.89,23.01,23.51,11115330
1419863400,23.58,23.75,23.19,23.26,12152461
1419949800,23.27,23.77,23.24,23.58,14736631
1420036200,23.55,23.67,23.19,23.36,12414512
1420209000,23.35,23.72,23.28,23.55,9331216
