t,o,h,l,c,v
1412688600,21.22,21.28,20.41,20.42,59344336
1412775000,20.67,22.16,20.1124,21.94,114256577
1412861400,21.9,21.92,20.72,21.22,77686786
1412947800,21.13,21.61,20.67,20.77,52079023
1413207000,21.13,21.76,21.01,21.12,45807124
1413293400,21.28,21.75,21.23,21.37,36069085
1413379800,21.51,21.93,21.2,21.45,36039064
1413466200,21.31,21.77,21.23,21.36,28757740
1413552600,21.41,21.44,20.685,20.69,54512992
1413811800,20.95,21.23,20.8,21.2,32998652
1413898200,21.43,21.58,21.021,21.1,21702102
1413984600,20.97,21.06,20.42,20.4399,40030814
1414071000,20.25,20.72,20.05,20.56,36274283
1414157400,20.53,20.64,20.27,20.47,16306208
1414416600,20.35,20.4,20.09,20.11,28523236
1414503000,20.29,20.54,20.1,20.53,32699959
1414589400,20.29,20.53,19.5701,19.64,68045173
1414675800,19.43,19.45,18.16,18.2,113088504
1414762200,17.33,17.79,16.89,17.21,103841372
1415025000,17.44,18,17.25,17.91,74226560
1415111400,17.79,17.82,17.13,17.21,67537596
1415197800,16.68,17.335,16.45,16.59,86227285
1415284200,16.9,17.69,16.85,17.21,102999996
1415370600,17.56,18.69,17.54,18.64,136476895
1415629800,18.32,18.32,17.31,17.45,111605613
1415716200,17.77,18.55,17.73,18.22,86722201
1415802600,18.43,18.7,17.79,18.24,46634221
1415889000,18.46,18.53,17.81,17.94,56202126
1415975400,17.64,19.18,17.54,19.02,110737702
1416234600,18.85,19.51,18.66,19.39,58658928
1416321000,19.72,20.38,19.57,20.3,79925354
1416407400,20.23,20.26,19.12,19.1899,120991203
1416493800,19.66,19.93,19.36,19.71,58492686
1416580200,20.23,20.29,19.57,19.875,45995742
1416839400,19.77,19.955,19.43,19.59,40827488
1416925800,19.65,20.42,19.62,20.39,72984350
1417012200,20.33,20.35,20.04,20.1,36643025
1417185000,19.27,19.28,18.09,18.36,113272061
1417444200,18.95,19.86,18.8407,19.715,87972568
1417530600,19.08,19.66,18.91,19.2,58668464
1417617000,19.5,19.97,17.72,19.25,52488074
1417703400,19.65,19.87,19.18,19.2,49542438
1417789800,18.845,19.11,18.65,18.75,46715243
1418049000,19.02,19.245,18.27,18.89,52915752
1418135400,19.52,20.17,19.43,19.77,78927844
1418221800,19.76,20.21,19.21,19.21,61160953
1418308200,18.98,19.64,18.86,18.995,41317352
1418394600,18.95,19.15,18.57,18.65,43489867
1418653800,18.36,18.72,17.32,17.34,90290362
1418740200,17.91,18,17.08,17.1,64026180
