t,o,h,l,c,v
1412688600,116.31,116.63,116.09,116.36,5278476
1412775000,117.03,117.71,115.85,117.4701,10675551
1412861400,117.86,118.26,117.49,117.64,6612637
1412947800,117.7,117.74,117.19,117.59,4653307
1413207000,118.14,118.665,117.93,118.52,5397633
1413293400,118.58,118.82,118.351,118.59,5180665
1413379800,119.23,120.18,118.59,118.99,9460425
1413466200,119.02,119.65,118.8799,119.22,6550140
1413552600,119.06,119.23,118.42,118.99,8060834
1413811800,119.68,119.86,119.54,119.8,3034916
1413898200,120.27,120.5,119.905,120.02,4568269
1413984600,119.69,119.79,119.25,119.34,3741487
1414071000,118.71,118.82,117.88,118.52,6423205
1414157400,118.62,118.63,118.12,118.35,3611311
1414416600,118.18,118.37,118.01,118.06,2445376
1414503000,118.48,118.48,118.01,118.1,3262626
1414589400,117.65,117.91,116.14,116.41,7900772
1414675800,115.8,115.83,114.94,115.19,7852239
1414762200,111.83,112.88,111.655,112.66,18209615
1415025000,112.39,112.68,112,112.15,6605175
1415111400,112.12,112.71,112.08,112.22,6430111
1415197800,109.92,110.84,109.67,109.79,13560114
1415284200,109.92,110.49,109.75,109.88,7019854
1415370600,110.78,113.15,110.73,112.97,10916540
1415629800,112.24,112.24,110.28,110.46,8548523
1415716200,111.08,112.76,110.87,112.04,8603165
1415802600,112.05,112.17,111.23,111.5,5133300
1415889000,111.89,112.26,111.22,111.67,4874598
1415975400,110.76,114.72,110.6501,114.47,14173586
1416234600,113.97,114.27,113.56,114.05,5440990
1416321000,114.86,115.17,114.55,115.05,5586694
1416407400,114.93,115.35,112.88,113.68,11997742
1416493800,114.57,115.0156,114.09,114.86,5607779
1416580200,115.58,115.96,114.47,115.39,6564258
1416839400,115.15,115.3699,114.79,115.11,4695022
1416925800,115.1,115.47,114.9,115.38,9051813
1417012200,115.25,115.34,114.98,115.16,3184017
1417185000,113.53,113.83,111.95,112.11,9616332
1417444200,113.8,117.36,113.74,116.58,15643964
1417530600,115.13,115.7095,114.72,115.14,6378105
1417617000,115.68,116.76,115.56,116.33,5758821
1417703400,116.01,116.3399,115.61,115.88,3623615
1417789800,115.16,115.18,114.24,114.43,6330980
1418049000,114.97,116.16,114.46,115.78,5224491
1418135400,117.04,118.99,116.98,118.19,10467158
1418221800,118.15,118.47,117.81,117.96,4277427
1418308200,116.98,118.38,116.82,117.69,5214467
1418394600,117.39,117.8,116.68,117.41,4736535
1418653800,116.22,116.9698,114.36,114.39,8795987
1418740200,116.28,116.5,114.07,114.95,9173964
1418826600,115.1,115.48,113.58,114.27,9097329
1418913000,115.59,115.81,114.58,115.15,5258103
1418999400,115.06,115.22,114.77,114.77,4652333
1419258600,114.81,114.97,112.41,112.55,7483195
1419345000,112.88,113.32,112.61,112.74,7763327
1419431400,112.83,112.92,112.66,112.77,1501552
1419604200,114.82,114.98,114.53,114.83,3765581
1419863400,114.61,114.64,113.23,113.67,12963725
1419949800,114.99,116.26,114.9,115.2,7987311
1420036200,114.89,115,113.28,113.58,7624198
1420209000,112.49,114.8,112.32,114.08,7109594
1420468200,114.78,116,114.73,115.8,8177350
1420554600,116.22,117.5,115.8,117.12,11238313
1420641000,116.47,116.88,116.17,116.43,6434196
1420727400,116.45,116.87,115.85,115.94,7033675
1420813800,116.51,117.34,116.5,117.26,7962886
1421073000,117.46,118.71,117.32,118.56,8318211
1421159400,118.96,119.19,117.87,118.16,7693200
1421245800,119.08,119.32,117.9,117.97,7727403
1421332200,120.41,121.695,120.34,120.94,17692548
1421418600,121.73,123.15,121.705,122.52,14428223
1421764200,123.63,124.6,123.49,124.2,14968636
1421850600,125.18,125.34,123.37,124.23,11082739
1421937000,125.07,125.58,124.145,125.23,10518355
1422023400,124.43,124.5,123.35,124.23,6270911
1422282600,123.33,123.3447,122.52,122.99,6768646
1422369000,123.56,124.64,123.51,124.4,9584838
1422455400,123.52,123.89,122.94,123.42,8470574
1422541800,121.99,122.29,120.26,120.76,11997964
1422628200,121.3,123.55,120.915,123.45,14555862
1422887400,121.84,123.155,121.82,122.42,8885189
1422973800,121.74,121.76,120.5648,121.05,8255863
1423060200,121.63,122.22,120.92,121.58,5386747
1423146600,120.98,121.83,120.61,121.79,6879945
1423233000,119.15,119.52,117.95,118.64,13206906
1423492200,118.83,119.4,118.77,119.17,5237181
1423578600,118.63,119.06,118.21,118.47,4086321
1423665000,118.49,118.57,117,117.07,6784397
1423751400,117.68,117.82,117.09,117.34,4344444
1423837800,118.05,118.58,117.79,117.98,4108870
1424183400,116.4,116.54,115.58,116.01,7225154
1424269800,115.99,116.53,114.99,116.34,8336029
1424356200,116.4,116.54,115.74,115.94,6528724
1424442600,116.1,116.455,115.05,115.28,6681734
1424701800,115.11,116.22,115.07,115.43,4812393
1424788200,115,115.55,114.29,115.26,7612919
