t,o,h,l,c,v
1412688600,29.245,29.2925,28.705,28.705,30924560
1412775000,28.7395,29.2345,28.382,29.187,44207200
1412861400,29.0805,29.1265,28.4515,28.5405,48269060.00000001
1412947800,28.3735,28.7615,27.7505,27.7595,59593459.99999999
1413207000,27.7565,28.04375,27.2215,27.2375,55130160.00000001
1413293400,27.507,27.9315,27.225,27.4345,52200660.00000001
1413379800,27.104,27.19575,26.4211,27.0365,76724440
1413466200,26.35,27.0495,26.2475,26.846,76100920
1413552600,27.0225,27.1725,25.9205,26.1485,119974799.99999999
1413811800,26.0225,26.658,25.957,26.619,54996600.00000001
1413898200,26.8635,26.9385,26.51,26.9015,49202800.00000001
1413984600,27.0525,27.538,27.0115,27.1345,59490999.99999999
1414071000,27.414,27.87,27.275,27.6825,43073560
1414157400,27.749,27.75,27.258,27.445,43515340
1414416600,27.388,27.7,27.36,27.494,31968180
1414503000,27.5855,27.96,27.5215,27.947,34793320
1414589400,28.0425,28.2485,27.799,27.9225,41067100
1414675800,27.9125,28.125,27.6065,28.0135,32249380
1414762200,28.415,28.4365,28.2405,28.3935,46830780.00000001
1415025000,28.1765,28.3575,28.0815,28.1885,30886760
1415111400,28.058,28.2395,27.915,28.2095,27730180
1415197800,28.3395,28.345,27.7075,27.7975,32905280
1415284200,27.775,27.83995,27.529,27.5845,33014420
1415370600,27.78,27.78,27.4675,27.591,31782620
1415629800,27.62,28.0315,27.581,27.9115,26089620
1415716200,27.926,28.125,27.812095,28.0645,22003580
1415802600,28.0575,28.0625,27.775,27.9125,21882280
1415889000,28.0405,28.040995,27.7045,27.822,30219780
1415975400,27.9,27.9,27.6255,27.7595,28501200
1416234600,27.7595,27.7595,27.222,27.332,33612420
1416321000,27.3965,27.6395,27.19,27.2255,36443320
1416407400,27.2375,27.411,26.9595,27.36,30345720
1416493800,27.1045,27.269,27.075,27.188,35015160
1416580200,27.552,27.552,27.25,27.2945,50119760.00000001
1416839400,27.3285,27.5595,27.2075,27.374,33075460
1416925800,27.3605,27.625,27.3455,27.4615,38071780
1417012200,27.4615,27.494,27.2615,27.3865,29605880
1417185000,27.35,27.48,27.224005,27.454,24201220
1417444200,27.2545,27.4395,26.931,26.9825,39887980
