t,o,h,l,c,v
1412688600,93.04,93.56,92.44,92.47,5030738
1412775000,92.57,94.16,92.24,94.09,6619986
1412861400,93.91,94.79,93.02,93.07,6674894
1412947800,93.23,93.86,92.54,92.55,6350141
1413207000,92.88,92.94,90.4313,90.6,7378868
1413293400,90.37,90.53,88.52,90.1,9711348
1413379800,88.09,89.17,86.62,87.85,12993637
1413466200,86.35,89.72,86.35,88.88,7147819
1413552600,89.3,91.12,89.05,90.24,7013765
1413811800,89.87,92.07,89.77,91.85,5614727
1413898200,92.53,94.37,92.12,94.2,6611310
1413984600,94.3,94.99,93.24,93.34,5912513
1414071000,94.5,95.52,94.44,94.8,5926297
1414157400,94.6,95.189,94.13,94.99,4825237
1414416600,94.96,95.68,94.71,95.47,4465121
1414503000,95.91,96.6,95.5,96.59,5261206
1414589400,96.62,97.2537,95.8006,96.42,4275440
1414675800,96.12,97.8,96.03,97.52,4115778
1414762200,98.78,99.257,97.33,97.52,6336392
1415025000,96.81,96.83,95.975,96.09,7615378
1415111400,96.06,96.18,95.19,95.96,5349563
1415197800,96.59,96.85,95.15,95.78,5002664
1415284200,96.35,97.51,96.01,97.29,4016928
1415370600,97.17,97.75,96.6925,97.65,3429560
1415629800,97.64,98.17,97,98.16,3662260
1415716200,98.46,98.75,97.88,98.14,3819301
1415802600,98.3,98.7,97.61,98.49,4629393
1415889000,98.9,99.36,98.34,99,3182816
1415975400,98.9,99,98.02,98.24,4085461
1416234600,98.17,98.945,97.8,98.03,8581591
1416321000,97.15,97.71,86.78,95.98,10387062
1416407400,96.55,97.31,96,96.7,6831110
1416493800,96.08,97.97,96.02,97.57,4958779
1416580200,98.98,99.1,97.82,98.28,6806841
1416839400,98.68,98.9,98.22,98.4,5043636
1416925800,98.64,98.87,96.41,97.01,7991953
1417012200,97.06,97.71,97.01,97.7,4338093
1417185000,98.06,99.8,98,99.4,3305799
1417444200,99.49,99.61,98.31,98.88,4393689
1417530600,98.62,99,97.99,98.16,4677714
1417617000,98.1,98.7399,98.04,98.59,4358974
1417703400,98.15,99.11,97.78,98.95,5227444
1417789800,98.77,99.68,98.66,99.64,4649088
1418049000,99.71,100.95,99.66,100.43,6624334
1418135400,99.69,99.98,98.5856,99.64,5285388
1418221800,99.36,100.23,98.82,98.94,5357039
1418308200,99.28,101.4,99.15,100.27,6863972
1418394600,99.69,101.25,99.39,99.78,5985138
1418653800,100.01,101.24,99.29,100.05,5488342
1418740200,99.38,100.232,96.99,97.06,7831584
1418826600,97.59,99.14,97.09,98.94,6096377
1418913000,100.34,100.69,99.3,100.67,6593962
1418999400,100.92,102,100.81,101.93,12500604
1419258600,102.25,103.57,102.23,103.5,5418865
1419345000,103.66,104.2,103.32,103.76,4067739
1419431400,104.05,104.3792,103.56,103.56,1819047
1419604200,103.98,104.3202,103.48,103.75,2594855
1419863400,103.58,104.8,103.261,104.53,3492708
1419949800,104.44,104.74,103.85,104.27,2927755
1420036200,104.75,106.02,104.56,104.97,5821631
1420209000,105.16,105.6548,102.67,103.43,4324850
1420468200,102.78,102.78,100.79,101.26,5881379
1420554600,102.07,102.07,100.34,100.95,4913547
1420641000,102.29,104.47,101.995,104.41,5090980
1420727400,105.37,106.99,105.02,106.72,6468184
1420813800,106.88,106.88,104.82,104.89,5717610
1421073000,105.17,105.29,104.06,104.42,4992945
1421159400,105.41,106.04,103.15,103.73,5395151
1421245800,102.42,103.41,101.88,102.64,5384438
1421332200,103.32,103.65,100.82,101.01,6894979
1421418600,100.86,104.31,100.24,104.12,6403841
1421764200,104.84,104.95,102.35,103.25,5335526
1421850600,103.05,104.06,102.5,103.53,5899195
1421937000,104.38,106.31,103.54,106.07,5804132
1422023400,106.21,106.48,105.31,105.37,4075976
1422282600,105.36,106.5,105.06,106.36,4192274
1422369000,104.78,105.8137,104.4,105.16,4606480
1422455400,105.31,107.43,104.6,104.74,4917323
1422541800,105.14,107.74,104.51,107.62,6529339
1422628200,106.36,106.86,104.38,104.42,6999952
1422887400,104.78,105,101.57,104.43,5012800
1422973800,104.89,107.32,104.81,107.24,5969829
1423060200,107.09,109,106.75,108.41,6766242
1423146600,108.98,109.34,108.15,108.99,4471808
1423233000,109.28,109.74,108.46,109.04,4223662
1423492200,108.88,109.46,108.04,108.34,4243767
1423578600,108.79,110.85,108.66,110.67,5414382
