t,o,h,l,c,v
1412688600,34.04,34.05,33.415,33.47,25972716
1412775000,33.49,34.37,33.14,34.27,34963367
1412861400,34.15,34.434,33.58,33.62,28192889
1412947800,32.62,32.86,30.5,31.91,80917567
1413207000,31.72,32.37,31.47,31.47,42117454
1413293400,31.99,32.665,31.71,32.14,68671035
1413379800,30.535,31.65,29.65,31.275,92309007
1413466200,30.89,31.51,30.75,30.85,47787439
1413552600,31.2,31.71,30.97,31.38,37504513
1413811800,31.04,31.7,30.9,31.58,30523697
1413898200,31.67,32.62,31.58,32.61,33281716
1413984600,32.66,32.87,32.22,32.27,26725598
1414071000,32.72,32.91,32.6,32.69,22255305
1414157400,32.72,33.33,32.57,33.18,27814900
1414416600,33.08,33.295,32.77,33.2,23751948
1414503000,33.23,33.75,33.23,33.74,21859946
1414589400,33.76,33.97,33.51,33.92,24615225
1414675800,33.58,33.61,32.4,32.58,55217857
1414762200,33.74,34.01,33.18,34.01,52089698
1415025000,33.81,34.48,33.79,34.31,28703617
1415111400,34.25,34.78,34.205,34.54,34695928
1415197800,34.05,34.1,33.6,33.76,34705503
1415284200,33.691,34.23,33.41,33.82,25240559
1415370600,33.98,34,33.19,33.58,27604495
1415629800,33.43,33.49,33.08,33.26,30653627
1415716200,33.36,33.54,33.195,33.31,19676704
1415802600,33.23,33.42,33,33.38,22864222
1415889000,33.35,33.86,33.34,33.68,26449256
1415975400,33.75,33.97,33.35,33.95,18104633
1416234600,33.82,34.25,33.76,34.24,17646285
1416321000,34.19,34.9,34.16,34.71,30676720
1416407400,34.69,34.79,34.25,34.35,21289619
1416493800,34.14,35.97,34,35.95,61994706
1416580200,35.98,36.46,35.5,35.59,56721572
1416839400,35.89,36.4299,35.84,36.25,33321144
1416925800,36.36,36.48,36.15,36.32,29093173
1417012200,36.37,36.99,36.28,36.9,24062025
1417185000,37.04,37.69,36.94,37.25,19128510
1417444200,37.21,37.62,36.9,37.17,30904004
1417530600,37.18,37.6,37.18,37.6,28361104
1417617000,37.68,37.886,37.41,37.43,30660821
1417703400,37.4,37.46,37.04,37.46,23397863
1417789800,37.57,37.9,37.52,37.67,20527600
1418049000,37.46,37.73,36.935,37.2,28134819
1418135400,36.67,37.09,36.3,36.89,28487318
1418221800,36.93,37.02,36.3,36.42,27499869
1418308200,36.5,37.21,36.44,36.7,25090084
1418394600,36.45,36.82,36.22,36.225,29322529
1418653800,36.39,36.783,35.9,35.92,30633423
1418740200,35.86,36.5,35.56,35.56,31166334
1418826600,35.62,36.33,35.33,36.24,31637748
1418913000,36.75,37.02,36.43,37.02,32128124
1418999400,37.02,37.16,36.23,36.37,76786814
1419258600,36.39,37.26,36.39,37.21,29227071
1419345000,37.4,37.7,37.3,37.43,22169713
1419431400,37.47,37.6,37.18,37.44,12109122
1419604200,37.52,37.7418,37.52,37.55,14037176
1419863400,37.45,37.52,37.17,37.18,12203309
1419949800,37.08,37.19,36.76,36.76,15214093
1420036200,36.63,37.04,36.29,36.29,20393618
1420209000,36.67,37.16,36.11,36.36,23605607
1420468200,36.2,36.45,35.94,35.95,32784975
1420554600,36.08,36.23,35.26,35.28,30847578
1420641000,35.64,36.07,35.27,36.02,27725167
1420727400,36.37,37,36.26,36.69,31765371
1420813800,36.77,37.11,36.4,36.76,22850524
1421073000,36.9,37,36.23,36.6,29400781
1421159400,36.87,37.489,36.29,36.5,31477952
1421245800,36.33,36.91,35.91,36.35,34250293
1421332200,36.525,36.88,36.03,36.19,47181771
1421418600,36.12,36.66,35.51,36.45,62812193
1421764200,36.1,36.46,35.565,36.09,35929420
1421850600,35.85,36.68,35.77,36.48,27442597
1421937000,36.56,37,36.14,36.91,31809899
1422023400,36.96,37.03,36.38,36.445,27427055
1422282600,36.185,36.3,35.57,35.805,30906818
1422369000,34.4,34.72,33.55,34.185,58456203
1422455400,34.47,34.7,33.72,33.775,34929097
1422541800,33.84,34.28,33.46,34.21,29569376
1422628200,33.7,33.985,33,33.04,38719736
1422887400,33.06,33.75,32.65,33.65,38733750
1422973800,33.78,34.05,32.612,33.7,36038320
1423060200,33.67,33.8352,33.3,33.6,25052751
1423146600,33.68,33.99,33.4499,33.94,20491447
1423233000,33.92,34,33.14,33.295,29342447
1423492200,33,33.24,32.67,32.93,28705479
1423578600,33.2,33.73,33.0501,33.7,20200009
1423665000,33.67,33.76,33.32,33.55,18364236
1423751400,33.98,34.13,33.76,34.125,20056660
1423837800,34.25,34.365,33.945,34.36,18037927
1424183400,34.4,34.75,34.26,34.735,19374148
1424269800,34.65,34.71,34.19,34.265,19992887
1424356200,34.25,34.42,34.05,34.21,11017541
1424442600,34.15,34.57,33.91,34.41,20955571
1424701800,34.4,34.5,33.58,33.76,25565529
1424788200,33.61,34.4899,33.51,34.41,29607469
1424874600,34.03,34.15,33.7327,33.945,24686267
1424961000,33.62,33.88,33.43,33.65,25928435
1425047400,33.63,33.64,33.21,33.25,24427300
1425306600,33.29,34.125,33.12,34.06,25406355
1425393000,33.95,34.38,33.91,34.095,27331977
1425479400,33.86,34.41,33.72,34.12,23005798
1425565800,34.26,34.5,33.59,33.73,21225807
1425652200,33.54,33.68,33.08,33.19,32373136
1425907800,33.2,33.27,32.48,32.72,33058791
1425994200,32.24,32.41,31.5,31.7,50278887
1426080600,31.97,32.96,31.95,32.33,49683649
1426167000,31.01,31.6,30.58,30.8,107402364
1426253400,30.63,30.98,30.36,30.93,47954708
1426512600,30.93,31.11,30.65,30.83,33074615
1426599000,30.58,30.73,30.41,30.59,29215599
1426685400,30.41,31.2,30.3,30.89,39834081
1426771800,30.78,31.1,30.69,30.74,27414230
1426858200,30.99,31.62,30.93,31.31,64777075
1427117400,31.29,31.79,31.2,31.2,29693951
1427203800,31.16,31.32,30.74,30.79,28471374
1427290200,30.81,30.885,29.86,29.89,37690971
1427376600,29.5,30.4,29.31,30.08,45450135
1427463000,30.01,33,29.85,32,73857226
1427722200,31.66,32.1,31.3,31.46,51391541
1427808600,31.43,31.93,31.2,31.27,32098463
1427895000,31.13,31.315,30.65,30.81,31532086
1427981400,30.8,31.23,30.67,30.81,20909633
1428327000,30.81,31.245,30.45,31.04,21490933
1428413400,31.07,31.585,31,31.26,23258261
1428499800,31.23,31.56,31.06,31.31,18250252
1428586200,30.68,31.62,30.57,31.24,34167586
1428672600,31.33,31.94,31.33,31.93,28084894
1428931800,31.81,32.05,31.71,31.73,23489022
1429018200,31.68,31.94,31.27,31.49,39754018
1429104600,32.26,32.99,32.065,32.83,61083450
1429191000,32.85,32.99,32.695,32.87,28903195
1429277400,32.51,32.7,32.22,32.47,30593601
1429536600,32.61,32.7876,32.53,32.73,20649257
1429623000,32.93,32.97,32.285,32.43,19023835
1429709400,32.41,32.72,32.035,32.7,21144178
1429795800,32.04,32.41,32.01,32.35,23775289
1429882200,32.41,32.48,32.02,32.08,22759909
1430141400,32.08,32.69,32.08,32.5,25869583
1430227800,32.3,33.04,32.23,33.02,29572822
1430314200,32.56,33,32.55,32.885,21819019
1430400600,32.71,32.85,32.295,32.55,22013324
1430487000,32.63,33.49,32.62,33.42,27091249
1430746200,33.27,33.5,33.22,33.43,21397275
1430832600,33,33.1,32.565,32.64,29779184
1430919000,32.5,32.79,31.93,32.22,31985381
1431005400,32.27,32.63,32.18,32.245,21475299
1431091800,32.51,32.88,32.34,32.8,26926511
1431351000,32.68,32.71,32.43,32.69,18358579
1431437400,32.44,32.5,32,32.25,24530199
1431523800,32.27,32.9,32.27,32.64,20470841
1431610200,32.86,33.13,32.77,32.97,21098939
1431696600,33.09,33.12,32.75,32.99,17149694
1431955800,32.98,33.41,32.85,33.41,23689479
1432042200,33.36,33.38,32.99,33.15,21867134
1432128600,33.06,33.5,33.01,33.37,21359801
1432215000,33.21,33.56,33.07,33.55,21269776
1432301400,33.47,33.51,33.32,33.45,20845033
1432647000,33.27,33.29,32.84,33.105,28594511
1432733400,33.2,33.85,33.13,33.71,30172655
1432819800,33.74,34.15,33.68,34.01,27065690
1432906200,34.24,34.75,34.21,34.46,43545500
1433165400,34.37,34.59,33.68,33.905,46734502
1433251800,33.64,33.75,33.14,33.27,36351102
1433338200,33.17,33.24,32.59,32.73,38138690
1433424600,32.51,32.72,32.2,32.31,33761835
1433511000,32.28,32.295,31.83,31.84,27778516
1433770200,31.81,31.95,31.21,31.3,38171576
1433856600,31.33,31.66,31.15,31.25,33976735
1433943000,31.46,32.155,31.37,31.82,33336820
1434029400,31.95,32.1,31.84,31.85,24293627
1434115800,31.72,32.1,31.2,31.32,31629752
1434375000,31.12,31.51,30.94,31.39,23174992
1434461400,31.26,31.755,31.13,31.635,20254468
1434547800,31.75,32.09,31.69,31.95,28194229
1434634200,32.08,32.496,32,32.38,27722373
1434720600,32.4,32.57,31.962,32.07,39008379
1434979800,32.26,32.385,32.08,32.26,23608409
1435066200,32.305,32.34,31.93,32.085,17995949
1435152600,32.15,32.15,31.88,31.91,23313889
1435239000,32.02,32.32,31.99,31.99,22743275
1435325400,31.51,31.53,30.76,31.02,62157179
1435584600,30.7,30.98,30.305,30.39,35194454
1435671000,30.63,30.69,30.15,30.415,34412200
1435757400,30.49,30.55,30.01,30.18,27178920
1435843800,30.18,30.92,30.1,30.555,27105223
1436189400,30.24,30.45,29.84,30.04,32468065
1436275800,29.87,29.93,29.09,29.9,43833713
1436362200,29.4,29.6671,29.15,29.5,45223830
1436448600,29.72,29.89,28.82,28.93,47167803
1436535000,29.2,29.35,28.94,29.17,31423799
1436794200,29.27,29.82,29.19,29.73,26452360
1436880600,29.66,30.11,29.44,29.65,39778254
1436967000,29.65,29.99,29.465,29.69,47852544
1437053400,30.47,30.48,29.1,29.9,81166689
1437139800,29.66,29.8,29.1,29.47,43697631
1437399000,29.62,29.62,29.065,29.1,33812936
1437485400,28.96,29.26,28.67,28.72,45190988
1437571800,28.57,28.85,28.43,28.605,36387172
1437658200,28.66,28.97,28.43,28.595,33775157
1437744600,28.53,28.64,28.06,28.06,31621031
1438003800,28.07,28.415,27.62,28.35,42161050
1438090200,28.51,29.18,28.44,28.96,33182433
1438176600,28.95,29.13,28.79,29.01,26470181
1438263000,29.1,29.45,28.85,28.91,26582443
1438349400,29.12,29.12,28.77,28.95,27158763
1438608600,29,29.35,28.9,29.05,26213584
1438695000,28.98,29.15,28.86,29.13,25741719
1438781400,29.19,29.39,29.02,29.12,23622731
1438867800,29.16,29.23,28.845,29.01,27958192
