t,o,h,l,c,v
1412688600,108.02,108.5,106.85,106.92,40275436
1412775000,106.68,109.04,105.76,108.97,51597394
1412861400,108.89,108.9,106.01,106.03,60786087
1412947800,105.77,106.89,104.59,104.74,66579488
1413207000,104.84,106.11,103.86,104.32,72054307
1413293400,105.23,106.99,104.86,105.54,70043423
1413379800,104.19,107,103.54,106.6,117505455
1413466200,105.15,108.57,104.95,107.8,100537136
1413552600,109.16,109.22,107.04,107.48,72674963
1413811800,107.01,108.74,107,108.74,34916678
1413898200,109.33,110.59,109.01,110.53,44752291
1413984600,110.8,111.06,108.86,108.95,48801898
1414071000,110.04,111.58,109.77,110.88,60795105
1414157400,110.92,111.32,110.44,111.07,41927606
1414416600,110.42,111.09,109.51,111.01,31133656
1414503000,111.51,114.21,111.3,114.17,84918882
1414589400,114.36,114.89,112.98,113.9,67138686
1414675800,113.49,115.38,113.14,114.87,59046218
1414762200,116.91,116.96,115.875,116.56,53134839
1415025000,116.75,117.37,115.9,116.36,39740088
1415111400,115.9,116.5,115.28,115.82,37347630
1415197800,116.67,116.735,115.55,116.03,31073522
1415284200,115.98,116.53,115.56,116.53,31720902
1415370600,116.39,116.71,115.7,116.71,28657679
1415629800,116.68,117.31,116.46,117.29,29371810
1415716200,117.12,117.435,116.87,117.37,23536783
1415802600,116.69,118.08,116.66,117.9,34594660
1415889000,117.94,118.25,116.62,116.9,25135235
1415975400,116.94,117.21,116.37,116.69,23321447
1416234600,116.59,116.93,115.68,115.72,29847311
1416321000,116.16,117.12,115.7499,116.39,33717213
1416407400,116.25,116.25,114.37,115.15,38258716
1416493800,114.62,116.46,114.62,116.44,26554960
1416580200,118.08,118.12,116.16,116.58,43240434
1416839400,116.74,118.05,116.584,117.97,24573155
1416925800,118.22,118.78,117.53,118.06,26745910
1417012200,118.07,118.5,117.84,118.45,14640724
1417185000,118.48,118.52,116.57,116.69,21110656
1417444200,116.32,116.47,114.81,114.87,36244144
1417530600,114.99,116.64,114.98,116.25,31812079
1417617000,116.28,117.71,116.02,117.37,29147963
1417703400,117.19,117.3,116.219,116.81,28631920
1417789800,117.25,117.98,116.96,117.69,30261397
1418049000,117.27,118.37,115.85,116.22,32295024
1418135400,114.96,118.27,114.74,118.17,52645939
1418221800,117.74,118.16,115.56,115.66,45413576
1418308200,116.21,117.68,115.87,116.12,36021754
1418394600,114.78,115.99,114.6,114.71,44815983
1418653800,115.26,115.74,113.16,113.55,66361180
1418740200,113.32,115.34,113.03,113.39,62849705
1418826600,113.64,116.99,113.49,116.89,70379359
