t,o,h,l,c,v
1412602200,105.68,106,104.365,104.86,5016549
1412688600,104.46,104.46,102.34,102.39,8409384
1412775000,102.43,105.03,102.0401,104.91,8336957
1412861400,104.63,104.86,101.79,102.08,10677257
1412947800,102.35,102.53,101.23,101.23,9988521
1413207000,101.46,101.46,99.02,99.12,10341254
1413293400,100.53,100.9,95.34,97.01,20808277
1413379800,96.05,98.72,95.1,98.21,21905946
1413466200,96.97,98,96.5,96.78,14575531
1413552600,97.54,99.15,97.31,98.7,12281405
1413811800,98.83,99.2,98.32,99.2,7991982
1413898200,99.83,100.38,99.34,100.36,7288282
1413984600,101.1,101.79,100.52,101.22,9364649
1414071000,102.26,102.98,101.94,102.63,7570675
1414157400,102.95,103.29,102.2056,103.13,5973242
1414416600,103.07,104.24,103.035,104.07,7044535
1414503000,104.55,104.8,103.56,104.79,10347753
1414589400,105,105.56,104.86,105.56,8188368
1414675800,105.17,107.05,104.91,107.04,9068343
1414762200,107.94,108.18,107.26,107.78,10803709
1415025000,107.83,108.12,106.75,107.46,7084618
1415111400,107.89,108.73,107.34,108.62,9349214
1415197800,109.05,109.26,107.95,108.82,6966795
1415284200,108.93,109.32,108.55,109.01,6200277
1415370600,109,109.03,107.92,108.2,6652571
1415629800,108.07,108.92,107.2,108.82,7573288
1415716200,108.88,109.4,108.55,108.91,6229047
1415802600,108.67,109,108.3862,108.75,4895939
1415889000,109.05,109.49,108.5,109.07,4859955
1415975400,108.92,109.06,108.01,108.16,5650746
1416234600,108,108.69,107.61,108.3,5232983
1416321000,108.13,109.06,107.72,108.83,5407151
1416407400,108.45,108.81,108.1,108.76,5217829
1416493800,108.55,108.57,107.69,108.18,8090667
1416580200,108.73,108.73,107.62,107.86,8417378
1416839400,107.92,108.23,106.64,106.88,9097994
1416925800,106.98,107.19,106.7,106.7,7367894
1417012200,106.77,107.25,106.6,107.21,5503702
1417185000,107.61,108.82,107.33,108.25,5881239
1417444200,107.89,108.813,107.35,108.03,5638779
1417530600,107.97,108.53,107.5,108.51,6184380
1417617000,108.54,108.99,107.65,107.72,8957411
1417703400,108.09,108.3,107.38,107.56,6813598
1417789800,107.53,108.74,107.221,108.51,6449739
1418049000,108.42,108.88,108.1405,108.52,6500735
1418135400,108.22,108.47,106.89,108.05,7214300
1418221800,107.61,107.96,106.15,106.24,9416414
1418308200,105.85,107.305,105.36,106.72,7114640
1418394600,106.65,106.87,104.39,104.43,8334704
1418653800,104.77,105.06,103.63,103.96,12110559
1418740200,103.48,105.21,102.5,102.76,10212440
1418826600,103.27,104.49,102.7,104.07,10207637
1418913000,105.62,106.82,104.74,106.81,11756825
1418999400,106.63,107.39,105.5,105.55,19154418
1419258600,105.69,106.83,105.67,106.74,8124539
1419345000,106.66,106.91,103.92,104.28,10181076
1419431400,104.38,105.33,104.38,104.59,3420184
1419604200,105.07,105.69,104.69,105.06,2951001
1419863400,104.64,105.69,104.61,105.33,4273424
1419949800,105.42,105.8,105.06,105.36,4371735
1420036200,105.61,106.11,104.54,104.57,6202118
1420209000,105.05,105.55,104.13,104.52,5756961
1420468200,104.48,104.73,103.682,103.79,8079279
1420554600,104.34,104.99,102.94,103.28,7428022
1420641000,103.91,105.83,103.81,105.56,7931714
1420727400,106.06,106.49,105.75,106.39,9925854
1420813800,106.5,106.5,104.75,104.94,7364760
1421073000,105.17,105.82,104.3,104.58,6838966
1421159400,105.44,106.33,104.24,104.76,10155188
1421245800,103.86,104.43,103.51,104,8887694
1421332200,102.97,103.93,101.95,102.49,10834811
1421418600,102.06,104.62,102,104.04,14092276
1421764200,101.55,102.05,100.26,101.29,20467800
1421850600,100.56,102.1,100.4,101.9,11702890
1421937000,102.39,103.83,101.57,103.76,9036608
1422023400,102.94,102.97,101.9397,102.2,10125960
1422282600,101.8,102.45,101.21,102.26,8962787
1422369000,101.83,102.7671,100.93,102.09,10160531
1422455400,102.48,102.93,101.44,101.48,9053222
1422541800,101.51,102.46,100.67,102.38,7569330
1422628200,101.58,102,100.09,100.14,10676345
1422887400,100.49,100.85,99.38,100.83,8990701
