t,o,h,l,c,v
1412688600,59.92,59.92,59.185,59.27,14542010
1412775000,59.36,60.43,59.18,60.4,15834553
1412861400,60.33,60.33,58.89,59.08,19191404
1412947800,59.03,59.82,58.51,58.52,16690858
1413207000,58.5,59.145,58.11,58.16,17169312
1413293400,56.69,58.52,56.06,57.99,29096840
1413379800,57.02,57.38,54.26,55.53,37866911
1413466200,54.75,55.98,54.28,55.08,31970014
1413552600,55.73,56.78,55.57,56.2,20183543
1413811800,56.1,56.7472,56.07,56.63,10808475
1413898200,57.23,58.01,57.08,57.93,14020373
1413984600,58.04,58.26,57.44,57.45,13750741
1414071000,58.12,58.6,57.935,58.06,12641874
1414157400,58,58.775,58,58.74,13757981
1414416600,58.45,58.79,58.25,58.64,11087209
1414503000,58.87,59.69,58.81,59.63,13625017
1414589400,59.62,59.78,58.76,59.29,16715852
1414675800,58.94,59.68,58.92,59.39,14709756
1414762200,60.12,60.54,59.87,60.48,18351059
1415025000,60.79,61.15,60.36,60.88,11854189
1415111400,60.24,60.37,59.42,60.25,15295771
1415197800,60.8,61.23,60.39,61.15,14063812
1415284200,61.08,61.3101,60.63,61.23,10421612
1415370600,61.07,61.55,60.86,61.47,12384620
1415629800,61.25,61.93,61.2,61.93,10800981
1415716200,61.71,61.89,61.29,61.37,12539830
1415802600,60.42,60.84,60.23,60.56,17219648
1415889000,60.5,60.63,59.99,60.23,12240366
1415975400,60.25,60.62,60.18,60.28,6803396
1416234600,60,60.53,59.89,60.38,9017649
1416321000,60.35,60.82,60.2,60.53,8899839
1416407400,60.45,60.79,60.15,60.6,9210079
1416493800,60.2,60.25,59.75,60.12,10917299
1416580200,61.07,61.07,60.3,60.45,12340450
1416839400,60.7,61.305,60.7,60.96,8335037
1416925800,61.16,61.16,59.95,60.3,14802617
1417012200,60.57,60.57,60.2,60.34,7628731
1417185000,60.4,60.56,60.03,60.16,6759646
1417444200,59.98,60.21,59.55,60,12771602
1417530600,60.01,61.19,60,61.08,12546594
1417617000,60.96,61.62,60.81,61.54,12115506
1417703400,61.1,61.57,60.84,61.38,11542085
1417789800,62.01,63.06,61.88,62.7,20071134
1418049000,62.6,63.16,62.26,62.67,15535482
1418135400,61.85,62.85,61.56,62.45,19676435
1418221800,62.16,62.24,60.37,60.68,29620579
1418308200,61.17,62.06,61.11,61.14,16886249
1418394600,60.53,61.22,59.96,60.04,17405430
1418653800,60.74,60.81,58.79,59.16,19209927
1418740200,58.42,59.86,58.11,58.43,20709745
1418826600,58.57,59.83,58.34,59.77,17856440
1418913000,60.64,61.48,60.44,61.48,18173357
1418999400,61.4,62.35,61.37,61.93,22756410
1419258600,62.16,62.33,61.61,61.94,17073371
1419345000,62.05,62.97,61.93,62.48,13552615
1419431400,62.74,62.87,62.27,62.48,7419342
1419604200,62.67,62.89,62.41,62.55,6086519
1419863400,62.42,63.34,62.25,62.96,10601197
1419949800,62.72,63.28,62.57,63.15,7518059
1420036200,63.3,63.49,62.58,62.58,18529419
1420209000,62.62,62.96,62.07,62.49,12599991
1420468200,62.06,62.28,60.23,60.55,20100577
1420554600,60.64,60.75,58.35,58.98,29074111
1420641000,59.89,59.89,58.665,59.07,23843244
1420727400,59.97,60.9,59.97,60.39,16971056
1420813800,60.72,60.79,59.29,59.34,15396195
1421073000,59.28,59.4,58.27,58.83,15455234
1421159400,59.26,59.7,58.37,58.84,21644739
1421245800,56.91,57,55.27,56.81,49602310
1421332200,55.73,56.61,54.5,54.99,42458146
1421418600,54.66,56,54.64,55.93,29368910
1421764200,56.04,56.39,55.4232,55.71,23477689
1421850600,55.45,56.42,55.19,55.89,21842362
1421937000,56.38,57.73,55.955,57.59,31423538
1422023400,57.72,57.87,56.66,56.68,15458254
1422282600,56.41,56.99,56.2,56.77,12577658
1422369000,56.05,56.61,55.755,56.2,15220526
1422455400,56.62,56.68,54.75,54.75,24354354
1422541800,55.27,55.89,54.68,55.67,20393264
1422628200,54.99,55.495,54.37,54.38,26943713
1422887400,54.53,55.65,54.27,55.47,20308885
1422973800,55.91,56.78,55.87,56.72,18812501
1423060200,56.32,57.07,56.28,56.38,14934076
1423146600,56.86,57.04,56.46,56.77,11293901
1423233000,57.75,58.73,57.54,57.89,25214001
1423492200,57.42,58.095,57.23,57.82,14372365
1423578600,58.42,58.7082,58.05,58.46,16367266
1423665000,58.06,58.655,57.84,58.37,13061925
1423751400,58.93,59.71,58.55,59.57,23211327
1423837800,59.46,60.22,59.34,59.67,16479114
1424183400,59.36,60.14,59.315,60.1,15308763
1424269800,59.79,59.8324,59.12,59.37,14278117
1424356200,59.15,59.48,58.8,59.23,11256543
1424442600,58.96,59.89,58.35,59.8,15379042
1424701800,59.5,59.53,58.8,59.35,16813999
1424788200,60.25,61.25,60.08,60.82,22937701
1424874600,60.76,61.27,60.75,61.14,18307912
1424961000,61.03,61.7,60.91,61.58,15444802
1425047400,61.13,61.92,61.13,61.28,15225935
1425306600,61.24,61.83,61.03,61.77,13047328
1425393000,61.65,61.99,61.5,61.97,13707655
1425479400,61.64,62.17,61.3525,62.13,16626413
1425565800,62.2,62.23,61.6,62,10931262
1425652200,62.16,62.87,60.8,60.89,22719177
1425907800,60.84,61.63,60.8,61.5,13001473
1425994200,60.76,61.01,59.96,59.96,16357724
1426080600,60.13,60.65,59.955,60.24,13015567
1426167000,60.65,61.45,60.65,61.37,18159558
1426253400,61.4,61.86,60.4301,61,16506155
1426512600,61.5,61.92,61.25,61.85,15182859
1426599000,61.34,61.66,60.92,61.61,11718327
1426685400,61.39,62.05,61.085,61.75,15697854
1426771800,61.57,61.65,60.76,61.2,11523785
1426858200,61.32,62.1,61.15,61.75,18368347
1427117400,61.75,62.08,61.12,61.14,15112872
1427203800,60.97,61.24,60.45,60.46,12128693
1427290200,60.53,60.64,59.59,59.61,14950859
1427376600,59.46,59.79,58.87,59.54,14039559
1427463000,59.49,59.78,59,59.55,11755819
1427722200,60.88,61.46,60.61,60.96,20656523
1427808600,60.72,60.94,60.42,60.58,17346667
1427895000,60.41,60.57,59.73,59.95,18100587
1427981400,60.07,60.7,60,60.52,12697771
1428327000,59.92,60.75,59.65,60.47,12025243
1428413400,61.15,61.5,60.85,60.85,11505503
1428499800,61.06,61.56,60.94,61.05,11733950
1428586200,61.27,61.575,60.83,61.47,11728495
1428672600,61.35,61.78,61.2,61.7,9869670
1428931800,61.64,62.27,61.5,62.07,15468702
1429018200,62.96,63.61,62.74,63.04,33775406
1429104600,63.08,64.48,63.01,64.21,28732225
1429191000,64.08,64.27,63.66,63.81,16640454
1429277400,63.25,63.4,62.49,62.84,20221236
1429536600,63.22,63.52,63.14,63.24,12755309
1429623000,63.33,63.6,62.13,62.31,14985119
1429709400,62.65,63.15,62.03,62.94,14484658
1429795800,62.79,63.21,62.6,62.8,12851257
1429882200,62.63,62.84,62.34,62.6,9597525
1430141400,62.7,63.15,62.31,62.34,11146409
1430227800,62.49,62.78,61.77,62.76,12307828
1430314200,62.56,63.89,62.46,63.6,17601215
1430400600,63.58,63.88,62.92,63.26,16840865
1430487000,63.7,63.87,63.33,63.61,11640805
1430746200,63.68,64.87,63.64,64.72,14972462
1430832600,64.51,65.32,64.29,64.4,17692369
1430919000,64.53,65.07,63.42,63.92,18087852
1431005400,63.67,64.595,63.25,64.5,15039936
1431091800,64.97,65.65,64.6,65.49,16802611
1431351000,65.26,65.64,65.075,65.45,13799675
1431437400,65.31,65.54,64.76,65.36,12762234
1431523800,65.42,65.63,65.06,65.52,11874274
1431610200,65.83,66.18,65.71,66.05,11855518
1431696600,66.13,66.16,65.435,65.88,11152125
1431955800,65.8,66.54,65.8,66.42,10510893
1432042200,66.77,67.1899,66.57,67.01,14282994
1432128600,66.95,67.03,66.4,66.48,12446012
1432215000,66.14,66.68,66.01,66.65,12934474
1432301400,66.63,66.83,66.32,66.47,9296939
1432647000,66.2,66.29,65.31,65.73,15571327
1432733400,65.95,66.65,65.82,66.47,10963652
1432819800,66.36,66.4,65.74,66.2,11797444
1432906200,66.18,66.22,65.36,65.78,14310723
1433165400,65.99,66.66,65.97,66.08,11899261
1433251800,65.83,66.39,65.58,66.02,12784152
1433338200,66.43,67.13,66.27,66.7,12927263
1433424600,66.31,67.05,66.01,66.33,13863283
1433511000,67.37,67.84,67.01,67.42,20801141
1433770200,67.46,67.55,66.81,66.89,14558660
1433856600,66.95,67.27,66.47,67.18,13263493
1433943000,67.59,68.495,67.47,68.26,17478898
1434029400,68.36,68.68,68.15,68.52,13739872
1434115800,68.31,68.54,67.87,68.25,11804741
1434375000,67.58,68.21,67.3,67.99,14082323
1434461400,67.77,68.52,67.6201,68.37,11692849
