t,o,h,l,c,v
1412688600,65.13,65.19,64.1,64.22,6157394
1412775000,63.85,65.26,63.4,65.24,3411236
1412861400,64.94,65.38,64.29,64.3,3632078
1412947800,64.02,65.108,63.83,64.15,3281404
1413207000,64.06,64.52,63.23,63.28,4030303
1413293400,63.75,63.94,62.77,63.14,4432881
1413379800,61.91,63.14,60.58,62.87,6814121
1413466200,62.02,62.55,61.1,61.9,5488362
1413552600,62.45,62.81,61.9,62.58,5329368
1413811800,62.63,63.1,62.4,63.1,2900656
1413898200,63.41,64.75,63.41,64.68,3478248
1413984600,64.59,65.3,64.58,64.68,4301888
1414071000,64.27,65.2,63.78,64.35,6349346
1414157400,64.58,66.24,64.4,66.05,4784720
1414416600,65.94,66.62,65.79,66.2,4112528
1414503000,66,66.1,63.74,64.83,8990971
1414589400,65,65.97,64.78,65.49,6205970
1414675800,65.4,66.98,65.3101,66.8,4134860
1414762200,67.3,67.43,65.91,66.33,4471929
1415025000,66.05,66.66,66.03,66.54,3448370
1415111400,66.88,67.23,66.45,67.17,4057953
1415197800,67.42,67.61,66.76,66.99,3073881
1415284200,67.03,67.23,66.65,66.96,3091816
1415370600,66.82,66.93,66.25,66.6,3796776
1415629800,66.82,68.42,66.42,68.35,4438084
1415716200,68.35,68.67,67.805,67.85,5285285
1415802600,67.35,67.845,67.02,67.4,4499431
1415889000,67.68,68.16,67.405,67.68,3292719
1415975400,67.68,67.72,67.12,67.33,2333268
1416234600,67.07,67.35,66.94,67.29,3309283
1416321000,67.19,68,67.01,67.78,3705553
1416407400,67.66,67.66,66.91,67.21,3126033
1416493800,66.96,67.08,66.56,66.8,2467579
1416580200,67.45,67.5,67.03,67.36,5892030
1416839400,67.61,67.665,66.85,66.93,4574094
1416925800,66.86,67.22,66.751,66.85,4380001
1417012200,67.03,67.39,66.89,67.32,2372935
1417185000,67.73,68.55,67.6,68.12,2237833
1417444200,67.97,68.765,67.6,68.51,4669454
1417530600,68.63,70.77,68.59,70.38,8413446
1417617000,70.28,71.16,70,71.13,6423409
1417703400,70.98,72.435,70.84,72.38,6519237
1417789800,72.09,72.21,71.68,71.85,5787520
1418049000,71.97,72.86,71.82,72.83,4915119
1418135400,72.18,72.26,71.53,72.21,3794613
1418221800,71.9,72.2,71,71.05,4117586
1418308200,73.63,75.1,71.54,71.61,10901483
1418394600,71.46,71.65,69.47,69.55,7844392
1418653800,69.68,70.72,69.42,69.67,5718844
1418740200,69.39,71.35,69.03,69.26,4926442
1418826600,69.56,70.7,69.23,70.28,5516016
1418913000,71.2,72.48,70.91,72.45,5875562
1418999400,72.24,72.66,71.33,72.4,8311266
1419258600,70.94,71.59,70.25,71.42,4622855
1419345000,71.67,71.73,69.01,69.74,4776553
1419431400,70.04,70.71,70.04,70.16,1507770
1419604200,70.29,70.99,70.261,70.39,1438221
1419863400,69.92,70.39,69.8878,70.1,1739618
1419949800,69.88,70.16,69.44,69.64,2726083
1420036200,69.94,70.5,68.93,68.99,2490989
1420209000,69.77,70.8199,69.72,70.06,3146155
1420468200,69.73,70.09,69.15,69.37,4845547
1420554600,69.92,70.91,69.2,69.72,5127426
1420641000,70.03,70.529,68.45,69.23,9042973
1420727400,70,71.49,69.66,70.87,7472181
1420813800,70.03,70.11,69.01,69.93,8141699
1421073000,70.22,70.61,69.28,69.42,5797635
1421159400,70.07,70.8,68.81,69.38,3364784
1421245800,68.77,69.88,68.71,69.76,3376087
1421332200,70.44,71.27,69.73,69.74,4054993
1421418600,69.59,70.88,69.44,70.68,4263309
1421764200,70.87,72.0957,70.87,72.03,6163325
1421850600,71.62,72.5,71.11,72.24,5195883
1421937000,72.69,72.695,71.64,72.46,4582818
1422023400,72.46,72.86,72.05,72.13,2903225
1422282600,71.86,72.17,71.06,72.11,3466643
1422369000,71.76,72.14,71.45,71.73,3661642
1422455400,72.11,72.38,70.76,70.97,3105294
1422541800,70.97,72.16,70.42,72.11,4416774
1422628200,73.02,73.47,71.58,72,6720105
1422887400,71.87,72,70.23,71.69,6274504
1422973800,71.59,71.64,69.85,70.89,6811485
1423060200,70.23,70.49,69.77,70.22,5376408
1423146600,70.7,71.57,70.68,71.41,3846977
1423233000,71.16,71.39,70.235,70.36,3246009
1423492200,70,70.26,69.38,69.61,3771228
1423578600,70.11,70.56,69.89,70.5,6887963
1423665000,70,70.62,69.6966,69.95,3456378
1423751400,70.19,70.55,69.83,70.53,3383464
1423837800,70.69,70.89,70.19,70.56,2692385
1424183400,70.41,71.625,70.3,71.56,3971629
1424269800,71.41,71.45,70.2,71.01,3800044
1424356200,70.83,71.29,70.7721,71.12,2337021
1424442600,70.97,71.96,70.27,71.88,3461776
1424701800,71.81,71.92,70.71,71.09,3378585
1424788200,71,71.5,70.51,70.9,3158601
1424874600,70.87,70.87,70.05,70.36,3029749
1424961000,70.17,70.31,69.54,70.03,4544903
1425047400,69.95,70.5,69.91,70.17,3353235
1425306600,70.16,71.14,70.16,71.12,3815118
1425393000,71.12,71.15,70.09,70.37,4137279
1425479400,70.01,70.82,69.81,70.65,3005143
1425565800,70.74,71.09,70.4,70.59,3465948
1425652200,70.26,70.26,68.31,68.41,5880780
1425907800,68.74,69.74,68.42,69.58,5848027
1425994200,69.12,69.43,68.55,68.78,3664855
1426080600,68.89,69.33,68.411,68.46,3424474
1426167000,68.75,69.63,68.54,69.56,2724035
1426253400,69.41,70.05,69.139,69.89,3223780
1426512600,70.27,71.395,70.18,71.07,3922290
1426599000,70.71,71.26,70.335,70.84,2572519
1426685400,70.9,74.17,70.69,73.54,6436170
1426771800,73.26,74.58,72.59,74.22,7051185
1426858200,75.22,76.2,74.54,76.12,10713857
