t,o,h,l,c,v
1412602200,94.36,94.43,93.69,93.84,4278576
1412688600,93.51,93.54,92.8,92.81,6095819
1412775000,93.08,93.945,92.81,93.83,5593781
1412861400,93.77,94,92.71,92.72,5069103
1412947800,92.76,93.45,92.3,92.3,5846707
1413207000,92.13,92.42,90.66,90.73,6182343
1413293400,90.81,91.74,90.6281,91.1,5539480
1413379800,90.49,90.98,89.57,90.44,10469312
1413466200,89.39,90.29,89.34,89.91,7526459
1413552600,90.41,91.14,89.64,91.04,7074463
1413811800,90.96,91.59,90.7073,91.59,5408134
1413898200,89.95,91.45,89.7,91.01,11422211
1413984600,90.7,91.51,90.6,90.94,6455551
1414071000,91.84,92.0999,90.88,91.02,5966894
1414157400,90.7,91.79,90.55,91.67,5263046
1414416600,91.52,92.09,91.5,92.01,4078298
1414503000,92.48,92.6,91.685,92.6,5083262
1414589400,92.65,93.12,92,92.73,5300445
1414675800,92.57,93.39,92.4901,93.38,3965528
1414762200,93.9,94.01,92.83,93.73,6800889
1415025000,93.78,93.78,93.02,93.61,4069904
1415111400,93.93,94.63,93.77,94.47,5802179
1415197800,95,95.07,94.39,94.64,4123841
1415284200,94.74,94.93,94.42,94.66,3597279
1415370600,94.4,95.1,94.06,95.1,4674632
1415629800,95.56,95.69,94.98,95.11,5123874
1415716200,95.22,95.42,94.929,95.14,3429027
1415802600,94.93,95.38,94.83,95.33,2725702
1415889000,95.5,96.22,95.18,95.48,4099804
1415975400,95.38,97.18,95.27,96.21,7793438
1416234600,96.06,96.08,95.6,95.97,3596519
1416321000,96.04,96.95,95.37,96.41,6268097
1416407400,96.74,97.3,96.43,96.56,6631311
1416493800,96.54,97.3,96.5,96.64,4551916
1416580200,97.47,97.5,96.42,96.68,5483712
1416839400,96.83,97.42,96.53,97.17,5222895
1416925800,97.2,97.34,96.8501,97,5368952
1417012200,96.36,96.3851,95.9201,96.22,3667981
1417185000,95.98,97.4,95.97,96.81,3442853
1417444200,96.15,96.94,95.64,95.78,5273749
1417530600,95.21,97,94.76,95.11,10389676
1417617000,94.8,95.565,94.78,95.5,5324034
1417703400,95.39,95.99,95.14,95.66,5365429
1417789800,95.78,96.61,95.65,96.31,6209305
1418049000,93.41,97.5,92.23,92.61,11792656
1418135400,91.3,92,91.01,91.36,10066782
1418221800,91.04,91.2899,89.51,90,12020817
1418308200,90.09,91.15,90.02,90.97,8972720
1418394600,90.66,91.389,90.43,90.62,8696756
1418653800,90.96,91.1,88.25,88.46,10121636
1418740200,88.07,90.75,87.62,88.72,15106676
1418826600,88.93,92.05,88.5,91.65,14009957
1418913000,92.28,93.74,91.65,93.67,11277129
1418999400,93.51,94.32,92.95,93.22,10284328
1419258600,93.28,94.015,93.03,93.89,5342248
1419345000,94.36,94.82,94.01,94.22,3596392
1419431400,94.22,94.54,93.74,93.83,1736839
1419604200,94.1,94.93,93.95,94.78,3884255
1419863400,94.32,95.46,94.265,95.04,4183224
1419949800,94.85,95,94.07,94.25,3257735
1420036200,93.75,94.8,93.57,93.7,4589312
1420209000,94.13,95,93.05,93.26,6019693
1420468200,93.3,93.68,92.22,92.23,6211872
1420554600,92.67,93.81,91.88,92.4,6484094
1420641000,93.26,94.05,92.86,94.01,6400320
1420727400,94.23,94.98,94.051,94.36,5476740
1420813800,93.97,93.97,92.78,93.21,4283293
1421073000,93.53,93.81,92.6,93.01,3989585
1421159400,93.95,94.44,92.42,92.83,5971237
1421245800,91.45,92.05,91.12,91.54,7745521
1421332200,91.97,92.35,90.965,91.38,5737468
1421418600,91.05,91.69,90.74,91.49,6926995
1421764200,91.64,91.88,90.23,90.8,6967278
1421850600,90.16,90.46,89.54,90.34,8682226
1421937000,90.62,90.97,89.84,90.89,7536416
1422023400,90.92,91.64,89.43,89.56,11495980
1422282600,89.39,90.697,89.29,90.67,7753275
1422369000,89.96,90.31,89.56,89.57,6640833
1422455400,89.74,89.82,88.77,88.78,6921322
1422541800,91.5,93.5,91.26,93.27,19146887
