t,o,h,l,c,v
1412688600,45.86,45.93,45.42,45.53,25724544
1412775000,45.48,46.89,45.34,46.78,33030972
1412861400,46.5,46.8,45.74,45.85,34426595
1412947800,45.6,46.12,43.95,44.03,51978146
1413207000,43.82,44.56,43.49,43.65,37100207
1413293400,43.87,44.38,43.56,43.73,38120558
1413379800,43,43.39,42.1,43.22,60220961
1413466200,42.53,43.08,42.22,42.74,49040989
1413552600,43.2,43.935,42.79,43.63,40683346
1413811800,43.06,44.14,42.81,44.08,34530887
1413898200,44.36,44.975,44.19,44.88,36433824
1413984600,45,45.07,44.225,44.38,33579817
1414071000,44.62,45.445,44.53,45.02,45451869
1414157400,46.83,46.9,45.18,46.13,61081039
1414416600,45.71,46.1,45.71,45.91,30371308
1414503000,45.86,46.5,45.77,46.49,29049750
1414589400,46.44,46.7,46.34,46.62,30283622
1414675800,46.32,46.32,45.77,46.05,30073873
1414762200,46.94,46.97,46.48,46.95,35849656
1415025000,46.89,47.46,46.73,47.44,23130397
1415111400,47.301,47.73,47.25,47.57,21530813
1415197800,47.8,47.9,47.26,47.86,22449594
1415284200,47.86,48.86,47.79,48.7,33037841
1415370600,48.92,48.92,48.2901,48.68,28000598
1415629800,48.65,49.15,48.55,48.89,36370067
1415716200,48.85,48.93,48.645,48.87,23445239
1415802600,48.56,48.92,48.52,48.78,22722123
1415889000,48.81,49.645,48.705,49.61,26210433
1415975400,49.74,50.045,49.39,49.58,29081657
1416234600,49.41,49.705,49.14,49.46,30318648
1416321000,49.13,49.325,48.7,48.74,23996457
1416407400,48.66,48.7549,47.93,48.22,26177450
1416493800,48,48.7,47.87,48.7,21510587
1416580200,49.02,49.05,47.57,47.98,42884795
1416839400,47.99,48,47.39,47.59,35434245
1416925800,47.66,47.97,47.45,47.47,28007993
1417012200,47.49,47.99,47.28,47.75,27164877
1417185000,47.95,48.195,47.61,47.81,21534426
1417444200,47.88,48.78,47.71,48.62,31191575
1417530600,48.84,49.05,48.2,48.46,25773478
1417617000,48.44,48.5,47.805,48.08,23534752
1417703400,48.39,49.06,48.2,48.84,30345132
1417789800,48.82,48.97,48.38,48.42,27313449
1418049000,48.26,48.35,47.445,47.695,26663107
1418135400,47.11,47.92,47.05,47.59,24330506
1418221800,47.58,47.66,46.7001,46.9,30431788
1418308200,47.08,47.74,46.68,47.17,29061918
