t,o,h,l,c,v
1412688600,32.41,32.87,31.85,31.865,28831846
1412775000,31.9,32.4,30.864,32.32,28069304
1412861400,32.12,32.18,30.41,30.64,35910826
1412947800,29.75,29.87,27.59,27.79,85752738
1413207000,28.59,28.86,27,27.03,44360624
1413293400,27.79,28.41,27.22,27.39,41365591
1413379800,26.8,28,26.32,27.54,50523290
1413466200,27.33,28.86,27.19,28.3,42111567
1413552600,28.91,29.73,28.57,28.765,34717116
1413811800,29.11,29.73,28.81,29.69,22357837
1413898200,30.4,31.34,30.16,31.19,40875105
1413984600,31.52,31.55,30.32,30.57,25500608
1414071000,31.04,31.37,30.57,30.89,22071147
1414157400,30.98,31.12,30.61,31.06,17763804
1414416600,31.96,32.38,31.66,32.3,26775910
1414503000,32.51,32.67,32.15,32.61,20981031
1414589400,32.5,32.65,31.86,32.28,21418724
1414675800,31.75,32.08,30.94,31.82,26761018
1414762200,32.9,33.35,32.62,33.09,28541397
1415025000,33.19,33.91,32.98,33.51,19657739
1415111400,33.48,33.59,32.9,33.37,16503870
1415197800,33.51,33.76,33.1101,33.71,23137170
1415284200,33.5,33.79,33.15,33.35,23576567
1415370600,33.31,33.38,32.3199,33.01,19337543
1415629800,32.93,33.11,32.62,33.09,13827343
1415716200,32.98,33.38,32.89,33.2,11285655
1415802600,33.05,33.17,32.8,32.91,14322363
1415889000,32.98,33.21,32.75,32.94,10851337
1415975400,32.94,32.94,32.13,32.62,17434575
1416234600,31.9,32.4099,31.69,32.29,18259266
1416321000,32.3,33.15,32.3,32.87,15539673
1416407400,32.93,33.22,32.335,32.96,14590180
1416493800,32.73,33.48,32.4946,33.21,13613313
1416580200,33.71,34.39,33.5201,34.3,25563115
1416839400,34.41,35.25,34.26,34.73,24974447
1416925800,34.77,34.98,34.4,34.8,13985174
1417012200,34.63,35.67,34.62,35.62,18291122
1417185000,35.84,36.22,35.72,35.95,11645732
1417444200,35.98,36.14,34.94,34.99,21342294
1417530600,35.05,35.77,34.64,35.605,14281539
