t,o,h,l,c,v
1412688600,23.23,23.23,22.44,22.55,8235114
1412775000,22.69,23.71,22.152,23.64,10618130
1412861400,23.58,23.58,22.03,22.45,12920350
1412947800,22.53,22.91,22.07,22.21,7234456
1413207000,22.4,23.16,22.39,22.52,6861491
1413293400,22.72,23.21,22.63,22.79,7158354
1413379800,22.54,23.1,22.43,22.7,7639940
1413466200,22.45,22.99,22.39,22.72,6736083
1413552600,22.72,22.79,22.32,22.4,6338299
1413811800,22.66,22.91,22.48,22.85,4655312
1413898200,23.01,23.18,22.835,22.9,4777738
1413984600,22.79,23.07,22.59,22.59,5775335
1414071000,22.43,22.51,21.81,22,9837338
1414157400,22,22.1101,21.73,21.95,7961487
1414416600,21.85,21.9,21.4907,21.63,6782616
1414503000,21.8,21.9,21.45,21.85,5637575
1414589400,21.66,21.69,20.72,20.81,13815520
1414675800,20.59,20.69,20.07,20.33,13825163
1414762200,19.5,19.7,18.51,18.76,22967313
1415025000,18.85,19.19,18.53,19.12,13148338
1415111400,18.97,19.15,18.6,18.66,9629849
1415197800,18.09,18.61,17.77,17.83,15489779
1415284200,17.98,18.56,17.98,18.2,9735814
1415370600,18.5,19.21,18.47,19.19,11441992
1415629800,19.02,19.02,17.99,18.06,9861078
1415716200,18.15,18.87,18.15,18.7,9720895
1415802600,18.95,19.04,18.18,18.46,8325917
1415889000,18.7,18.83,18.15,18.24,7134625
1415975400,17.9,19.2,17.75,19.15,13315571
1416234600,19.21,19.36,18.66,19.24,10062052
1416321000,19.57,19.96,19.34,19.9,10335899
1416407400,19.95,19.97,19.01,19.11,14203681
1416493800,19.34,19.705,19.22,19.58,6906434
1416580200,20.07,20.07,19.27,19.69,9472967
1416839400,19.54,19.635,19.11,19.17,11116559
1416925800,19.19,19.73,19.15,19.71,17163756
1417012200,19.69,19.73,19.41,19.53,5101444
1417185000,18.94,19.06,18.36,18.4,6808252
1417444200,18.89,19.86,18.87,19.66,13529082
1417530600,19.27,19.565,18.93,19.18,9039895
1417617000,19.39,19.835,19.3,19.63,7863809
1417703400,19.59,19.69,19.2,19.27,6810290
1417789800,18.94,19.14,18.72,19.03,6889732
1418049000,19.19,19.53,18.67,19.08,10800183
1418135400,19.52,20.45,19.43,20.01,11909328
1418221800,20.06,20.349,19.43,19.45,8606208
1418308200,19.25,20.04,19.1,19.57,9182103
1418394600,19.54,19.54,19.02,19.05,8692878
1418653800,18.64,18.99,17.91,17.92,11147773
1418740200,18.3,18.37,17.6,17.78,11303476
1418826600,17.83,18.58,17.79,18.5,10957470
1418913000,18.77,19.43,18.65,19.39,10238695
1418999400,19.29,20.09,19.12,19.12,28755521
1419258600,18.8,19.17,18.01,18.16,12123871
1419345000,18.11,18.66,17.95,18.04,6756955
1419431400,17.97,18.71,17.97,18.57,3269903
1419604200,19.05,19.14,18.725,18.85,5454747
1419863400,18.71,18.85,18.5,18.59,6872811
1419949800,18.86,19.49,18.81,19.26,7763850
1420036200,19.16,19.23,18.8,18.9,6613304
1420209000,18.65,19.385,18.6,19.34,6535481
1420468200,19.51,19.6,18.86,19.46,7508108
1420554600,19.65,20.66,19.62,20.27,13198107
1420641000,20.04,20.52,19.74,20.09,8172062
1420727400,20.1,20.38,19.89,19.98,7803436
1420813800,20.21,20.73,20.1701,20.72,7538177
1421073000,20.86,21.4,20.68,21.19,9234064
1421159400,21.5,21.53,20.22,20.36,12074606
1421245800,20.53,20.74,19.42,19.76,13542033
1421332200,20.75,21.9,20.65,21.51,16723985
1421418600,21.72,22.29,21.49,22.29,17596208
1421764200,22.85,23.72,22.72,23.57,17819246
1421850600,23.77,24.44,23.43,24.32,16960627
1421937000,24.31,24.69,23.98,24.29,13132673
1422023400,24.14,24.43,23.67,24.15,12056762
1422282600,23.82,24.63,23.35,24.49,11189193
1422369000,24.67,25.25,24.5299,25.14,10774534
1422455400,24.89,25.05,24.025,24.26,11251272
1422541800,23.61,24.34,23.42,24.17,8849962
1422628200,24.19,25.22,23.92,25.15,11594449
1422887400,24.74,25.2,24.56,25.11,7496977
1422973800,24.84,25.065,24.14,24.62,9038078
1423060200,24.82,25.03,24.5,24.82,7071111
1423146600,24.55,24.86,24.37,24.82,6029502
1423233000,24,24.3,23.59,24.05,8316619
1423492200,24.23,24.74,24.165,24.61,5873551
1423578600,24.29,24.57,23.96,24.41,6217377
1423665000,24.43,24.6,24.09,24.14,5087339
1423751400,24.41,24.7,24.11,24.51,4488646
1423837800,24.75,25.06,24.66,24.78,5186788
1424183400,24.34,24.6,24.17,24.19,6205214
1424269800,24.15,24.85,23.85,24.74,8069882
1424356200,24.81,25.02,24.385,24.46,8870899
1424442600,25.18,26.38,25.07,25.58,13558308
1424701800,25.52,26.13,25.25,25.96,7609649
1424788200,25.21,25.91,25.2,25.81,5847896
1424874600,26,26.13,25.82,26.05,7922965
1424961000,26.34,26.55,26.12,26.31,6210645
1425047400,26.4,26.7,26.26,26.33,5931795
1425306600,26.4,26.51,25.6,25.89,7679297
1425393000,25.93,26.335,25.52,25.62,7914920
1425479400,25.51,25.705,25.09,25.19,7142054
1425565800,25.31,25.65,25.2,25.3,3450516
1425652200,24.3,24.41,23.14,23.3,11443728
1425907800,23.28,23.38,22.23,22.42,9893343
1425994200,22.3,22.93,21.64,21.77,13440897
1426080600,21.72,22.48,21.5,22.24,9245818
1426167000,22.45,22.63,22,22.29,6081515
1426253400,22.3,22.38,21.655,22.3,6590084
1426512600,22.13,22.38,21.85,22.3,5585397
1426599000,22.04,22.45,21.855,22.12,8400126
1426685400,21.95,23.07,21.88,22.87,8977891
1426771800,23.14,23.3,22.66,22.82,7612262
1426858200,22.9,23.33,22.89,22.95,17041580
1427117400,23.15,23.29,22.85,23.14,7510464
1427203800,23.17,23.2,22.78,22.86,6394421
1427290200,23.03,23.2,22.47,22.48,5973654
1427376600,22.92,23.08,21.93,22.16,7907348
1427463000,22.19,22.51,22.08,22.23,5659656
1427722200,21.94,22.265,21.75,22.02,3584892
1427808600,22.12,22.21,21.68,21.71,5269203
1427895000,21.83,22.77,21.79,22.72,6842522
1427981400,22.68,22.91,22.1499,22.34,6505052
1428327000,23.02,23.095,22.49,22.58,8637113
1428413400,22.49,22.53,22.14,22.17,6258442
1428499800,22.33,22.38,21.84,22.08,5819037
1428586200,21.89,22.34,21.76,22.23,5125425
1428672600,22.52,22.61,22.28,22.33,4290724
1428931800,22.67,22.82,22.43,22.57,6968223
1429018200,22.59,22.89,22.52,22.82,5499405
1429104600,22.9,23.56,22.83,23.55,9440771
1429191000,23.67,24.04,23.53,23.62,6928613
1429277400,23.65,23.94,23.44,23.57,4912096
1429536600,23.4,23.61,23.31,23.52,5034611
1429623000,23.47,23.6,23.27,23.51,3883842
1429709400,23.4,23.49,22.58,22.77,5681212
1429795800,23.02,23.55,22.88,23.45,6328826
1429882200,24.33,25.38,24.25,24.98,12018899
1430141400,25.47,26.36,25.27,25.59,11720369
1430227800,25.75,26.38,25.67,26.35,7311438
1430314200,26.28,26.79,26.09,26.48,8159091
1430400600,25.92,26.53,25.6,26.49,6897195
1430487000,26.17,26.53,26.12,26.49,4582092
1430746200,26.66,26.8,25.97,26.05,5824863
1430832600,26.74,26.74,25.75,25.95,5919492
1430919000,26.19,26.23,25.545,25.65,4704628
1431005400,25.31,25.84,25.3,25.82,6652034
1431091800,25.96,26.32,25.74,26.04,4377531
1431351000,26.17,26.38,25.96,26.36,5557054
1431437400,26.62,26.66,26.35,26.65,5909351
1431523800,27.03,27.64,26.96,27.31,11211795
1431610200,27.53,27.77,27.15,27.2,4711720
1431696600,27.08,27.79,26.99,27.69,7154939
1431955800,27.64,27.715,27.38,27.55,3465918
1432042200,27.18,27.45,26.98,27.05,8448438
1432128600,27.15,27.9,27.12,27.66,5589432
1432215000,27.62,27.64,26.85,27,4965097
1432301400,26.92,27.27,26.84,27.01,3198109
1432647000,26.62,26.715,26.1,26.55,5762718
1432733400,26.64,27.09,26.41,27.03,4155407
1432819800,27.08,27.51,26.77,27.47,7655976
1432906200,27.4,27.56,27.18,27.24,5183098
1433165400,27.35,27.48,27.005,27.17,3644824
1433251800,27.3,27.34,26.93,26.95,4595095
1433338200,26.86,27.01,26.14,26.38,7394390
1433424600,26.12,26.81,26.01,26.8,5709673
1433511000,26.42,26.45,25.48,25.91,6117600
1433770200,25.96,25.97,25.6,25.84,3283767
1433856600,25.42,25.9,24.37,24.41,13320746
1433943000,24.03,24.13,23.65,23.7,38742225
1434029400,23.66,23.84,23.49,23.66,11342172
