t,o,h,l,c,v
1412688600,38.94,39.08,38.43,38.46,14319008
1412775000,38.82,39.05,38.04,39.02,16005671
1412861400,38.99,39.21,38.5101,38.74,15004850
1412947800,38.66,39.1,38.09,38.1,18234076
1413207000,38.11,38.78,37.86,38.23,20726811
1413293400,38.66,39.04,38.42,38.46,19508558
1413379800,37.98,38.43,37.18,38.3,24561729
1413466200,37.99,38.18,37.52,37.56,21419345
1413552600,37.69,38.015,37.34,37.87,21122693
1413811800,36.31,37.81,35.82,37.8,16657339
1413898200,38.29,38.47,38.04,38.35,15381873
1413984600,38.37,38.43,37.58,37.64,16816482
1414071000,38.08,38.5,38.01,38.23,9667612
1414157400,38.32,38.74,38.25,38.73,8976299
1414416600,38.5,38.72,38.35,38.43,7525291
1414503000,38.34,38.73,38.34,38.65,11631828
1414589400,38.73,38.74,38.46,38.58,10923907
1414675800,38.4,38.66,38.39,38.5,9644417
1414762200,38.88,39.05,38.825,39.05,16142821
1415025000,39.02,39.04,38.76,38.99,10318830
1415111400,38.93,39.15,38.9,39.13,12670998
1415197800,39.34,39.51,39.11,39.29,12280284
1415284200,39.22,39.86,39.11,39.81,11603443
1415370600,39.69,39.97,39.61,39.94,13728462
1415629800,39.97,40.49,39.89,40.45,11058074
1415716200,40.53,40.59,40.35,40.47,7069322
1415802600,40.56,40.59,40.045,40.14,10965147
1415889000,40.17,40.77,39.89,40.72,11868670
1415975400,40.86,41.07,40.63,40.84,11476467
1416234600,40.71,41.2,40.63,41.16,11987579
1416321000,41.19,41.4751,41.11,41.26,9328276
1416407400,41.15,41.27,40.81,40.92,9202626
1416493800,40.71,41.005,40.61,40.92,9062196
1416580200,41.32,41.5,41.17,41.44,12641407
1416839400,41.49,41.64,41.36,41.43,9542080
1416925800,41.51,41.64,41.15,41.15,12404240
1417012200,41.18,41.91,41.18,41.87,11590010
1417185000,41.98,42.51,41.885,42.41,11890061
1417444200,42.01,42.38,42.01,42.08,10802386
1417530600,41.9,42.36,41.86,42.18,9083199
1417617000,41.94,42.14,41.635,42.06,10326752
1417703400,42.12,42.12,41.49,41.89,9247301
1417789800,42.02,42.02,41.59,41.93,8925269
1418049000,41.91,42.03,41.33,41.37,12766459
1418135400,40.98,41.925,40.89,41.87,13897503
1418221800,41.7,41.81,40.88,40.92,12547646
1418308200,41.12,41.64,40.71,40.76,12395832
1418394600,40.24,40.78,39.92,39.95,14108178
1418653800,41.21,41.65,40.77,41.11,22343075
1418740200,40.89,41.36,40.61,40.63,16424455
1418826600,41.06,41.63,40.68,41.16,18151008
1418913000,43.83,45.37,43.57,45.35,54495641
1418999400,45.1,46.15,44.98,46,41782191
1419258600,45.57,46.05,45.41,45.65,21264351
1419345000,45.53,46.5,45.46,46.01,14042388
1419431400,46.36,46.705,46.15,46.23,10241146
1419604200,46.19,46.5,46.07,46.1,6901457
1419863400,46.02,46.09,45.6,45.61,9701392
1419949800,45.55,45.66,45.29,45.34,9968403
1420036200,45.45,45.5599,44.97,44.97,13273705
