t,o,h,l,c,v
1412688600,27.51893,27.604246,27.291423,27.291423,26042167
1412775000,27.310382,27.860192,27.054436,27.850712,31150588
1412861400,27.869671,27.907589,27.424136,27.481013,24093226
1412947800,27.594766,27.936028,27.490492,27.613725,33826003
1413207000,27.642164,27.765397,26.935942,26.98808,35961246
1413293400,27.149231,27.300902,26.921723,26.9786,24537639
1413379800,26.722654,26.826928,26.125447,26.722654,43445137
1413466200,26.419311,26.552023,26.078049,26.25816,39878831
1413552600,26.362434,26.552023,26.191803,26.381393,34361391
1413811800,26.419311,26.514106,26.163365,26.476188,41062818
1413898200,26.656298,27.035477,26.542544,26.807969,38486892
1413984600,26.779531,27.007039,26.552023,26.826928,32479154
1414071000,27.15871,27.367259,27.082874,27.111313,32464948
1414157400,27.300902,27.746438,27.215587,27.594766,29985765
1414416600,27.575807,27.689561,27.443095,27.51893,24228178
1414503000,27.651643,27.774876,27.357779,27.575807,34164655
1414589400,27.632684,28.087699,27.52841,27.954987,28839857
1414675800,27.860192,28.419481,27.860192,28.286768,22255640
1414762200,28.447919,28.62803,28.25833,28.391043,26579545
1415025000,28.343645,28.62803,28.305727,28.61855,22929974
1415111400,28.571153,28.722824,28.315207,28.703865,25725157
1415197800,28.789181,28.827099,28.391043,28.476358,20896150
1415284200,28.514276,28.684906,28.410002,28.476358,17424385
1415370600,28.561673,28.561673,28.210932,28.362604,18216153
1415629800,28.400522,28.703865,28.25833,28.62803,24094580
1415716200,28.609071,28.817619,28.533235,28.741783,16593506
1415802600,28.656468,28.950332,28.656468,28.836578,24758346
1415889000,28.931373,29.026168,28.684906,28.836578,15141016
1415975400,28.79866,28.969291,28.646989,28.760742,19128686
1416234600,28.353125,28.827099,28.324686,28.741783,27677433
1416321000,28.902935,29.083045,28.722824,28.997729,21348829
1416407400,28.836578,28.969291,28.703865,28.855537,16748711
1416493800,28.751263,28.902935,28.675427,28.855537,17381652
1416580200,29.149401,29.177839,28.62803,28.865017,29113238
1416839400,28.940852,29.035647,28.552194,28.646989,34551024
1416925800,28.637509,29.064086,28.609071,28.883976,26907516
1417012200,29.054606,29.500142,28.997729,29.481183,28985876
1417185000,29.509621,29.993075,29.443265,29.52858,21392214
1417444200,29.272634,29.869841,29.272634,29.632854,24211710
1417530600,29.803485,29.974116,29.651813,29.926718,26781594
1417617000,29.860362,30.125787,29.682622,30.097349,33182795
1417703400,29.917239,30.163705,29.71343,30.021513,20413873
1417789800,30.002554,30.476528,29.955157,30.324857,26219079
1418049000,30.125787,30.542885,30.106828,30.305898,28342502
1418135400,29.907759,30.343815,29.812965,30.286939,27833130
1418221800,30.334336,30.500227,30.097349,30.201623,31876409
1418308200,30.201623,31.391677,29.869841,30.002554,27812923
1418394600,29.70869,29.803485,29.253675,29.338991,29025143
1418653800,29.509621,29.52384,29.087784,29.253675,33477107
1418740200,29.225237,29.917239,29.045127,29.073565,24975698
1418826600,29.102004,29.71817,28.98825,29.500142,26010946
1418913000,29.879321,30.334336,29.784526,30.305898,37899717
1418999400,30.249021,30.419651,29.964636,30.277459,47418020
1419258600,30.201623,30.44809,29.974116,30.419651,19405110
1419345000,30.504967,30.547624,29.16836,29.812965,36707167
1419431400,29.803485,30.002554,29.765567,29.784526,11417324
1419604200,29.860362,30.182664,29.670772,30.002554,9078992
1419863400,29.822444,29.974116,29.746608,29.756088,13371462
1419949800,29.651813,29.850883,29.613896,29.746608,11639025
1420036200,29.557019,30.049952,29.519101,29.52858,15749831
1420209000,29.642334,30.125787,29.594937,29.699211,16385686
1420468200,29.71817,29.775047,29.395867,29.53806,24807748
1420554600,29.642334,30.201623,29.500142,29.784526,29494124
1420641000,30.068911,30.211103,29.936198,30.192144,20266325
1420727400,30.656638,30.941023,30.542885,30.80831,49211998
1420813800,30.789351,30.9979,30.732474,30.950502,26105535
1421073000,30.969461,31.16853,30.912584,31.064256,24889327
1421159400,31.16853,31.500312,30.44809,30.751433,36020598
1421245800,30.533405,31.016859,30.457569,30.789351,32329639
1421332200,30.931543,31.064256,30.571323,30.713515,27032892
1421418600,30.609241,31.111653,30.580802,31.092694,25168368
1421764200,31.253846,31.386558,30.846228,31.377079,44487825
1421850600,31.206448,31.756258,30.865187,30.941023,35058028
1421937000,30.969461,31.121133,30.381733,31.102174,31416144
1422023400,31.159051,31.187489,30.741954,30.760913,27402221
1422282600,30.779872,31.140092,30.495487,31.092694,28309944
1422369000,30.656638,31.614066,30.61872,30.903105,42769219
1422455400,30.874666,31.414997,29.869841,30.286939,33803699
1422541800,30.249021,30.296418,29.89828,30.173185,30762454
1422628200,30.021513,30.144746,29.575978,29.623375,45435772
1422887400,29.803485,30.002554,29.405347,30.002554,24571222
1422973800,30.182664,30.486008,29.822444,30.353295,34815286
1423060200,30.305898,30.590282,30.068911,30.400692,38704773
1423146600,31.320202,31.471874,30.903105,31.272805,62707797
1423233000,31.244366,31.675682,31.026338,31.443435,36900337
