t,o,h,l,c,v
1412688600,97.485,97.7799,96.56,96.57,45153968
1412775000,96.66,98.76,96.06,98.45,64931636
1412861400,98.33,98.57,96.71,96.86,62497086
1412947800,96.29,96.83,94.42,94.44,77579425
1413207000,94.29,94.99,92.88,92.96,80835922
1413293400,93.6,94.1699,92.71,92.97,71814456
1413379800,91.55,92.76,90.24,92.37,108847755
1413466200,90.43,92.58,90.39,91.79,93165782
1413552600,92.99,93.89,92.46,93,69546720
1413811800,92.96,94.47,92.8,94.39,41479253
1413898200,95.54,96.87,95.32,96.87,53609758
1413984600,97.16,97.3,96.305,96.37,39178048
1414071000,97.32,98.36,97.17,97.82,48123778
1414157400,97.965,98.69,97.64,98.62,43161724
1414416600,98.4,98.87,98.02,98.69,29545673
1414503000,99.1,100.2,99.08,100.18,34495077
1414589400,99.84,100.12,99.1,99.81,40552803
1414675800,99.37,100.26,99.14,100.02,35935794
1414762200,101.67,101.75,101.07,101.4,54254141
1415025000,101.53,101.9701,101.43,101.7,33480951
1415111400,101.36,101.6244,100.67,101.36,22773298
1415197800,102.01,102.03,101.015,101.37,25818604
1415284200,101.32,101.72,100.921,101.69,24671900
1415370600,101.87,101.91,101.07,101.6,20931734
1415629800,101.65,102.09,101.38,101.96,20360007
1415716200,101.98,102.28,101.7,102.28,15454012
1415802600,101.87,102.57,101.87,102.46,22050317
1415889000,102.65,103.28,102.42,102.9,28027776
1415975400,102.87,103.22,102.53,103.22,19251346
1416234600,102.98,103.21,102.42,102.91,23361634
1416321000,103,103.82,102.991,103.68,26336812
1416407400,103.57,103.57,102.73,103.21,23760243
1416493800,102.77,103.76,102.69,103.67,22874018
1416580200,104.59,104.69,103.54,103.87,34049128
1416839400,104.15,104.73,104.06,104.68,17928289
1416925800,104.84,105.15,104.57,104.84,17525991
1417012200,104.94,105.58,104.834,105.52,18973804
1417185000,105.795,106.245,105.73,106.01,17360420
1417444200,105.72,105.9199,104.42,104.81,35969494
1417530600,104.92,105.4168,104.7,105.23,26031291
1417617000,105.39,105.565,104.7626,105.42,32974322
1417703400,105.32,105.78,104.93,105.37,31008791
1417789800,105.54,105.7,105.145,105.38,25622236
1418049000,105.11,105.57,104.075,104.63,32685756
1418135400,103.41,105.04,103.0401,104.96,46035139
1418221800,104.77,105.03,103.12,103.31,39330116
1418308200,103.61,105.04,103.59,103.8,47576022
1418394600,102.81,103.99,102.66,102.67,46889391
1418653800,103.2,103.58,101.315,101.61,52968448
