t,o,h,l,c,v
1412688600,24.835,24.905,24.465,24.465,7972564
1412775000,24.475,25.02,24.25,24.985,15607090
1412861400,24.95,24.98,24.3875,24.4,7618362
1412947800,23.715,23.78,22.63,22.785,33935144
1413207000,22.92,23.175,22.46,22.46,12968202
1413293400,22.83,23.335,22.72,22.94,19158680
1413379800,22.295,23.095,22.215,22.935,9758472
1413466200,22.545,23.45,22.54005,23.21,8794520
1413552600,23.545,23.74,23.375,23.455,7656940
1413811800,23.33,23.725,23.235,23.68,7087822
1413898200,23.83,24.43,23.74,24.41,8816304
1413984600,24.535,24.685,24.11,24.12,9969166
1414071000,24.42,24.56,24.33,24.43,7180632
1414157400,24.465,24.705,24.365,24.635,4837256
1414416600,24.47,25.05,24.385,25.05,4476044
1414503000,24.82,25.12,24.805,25.115,5966362
1414589400,25.07,25.2,24.875,25.13,6005822
1414675800,24.97,25.03,24.48,24.725,16088950
1414762200,25.515,25.7725,25.485,25.71,10294556
1415025000,25.725,25.955,25.675,25.855,4579734
1415111400,25.84,25.975,25.655,25.845,2231650
1415197800,25.94,26.07495,25.75,26.02,5689110
1415284200,26.035,26.13,25.83,25.99,5161616
1415370600,26,26.03,25.575,25.79,6357042
1415629800,25.835,26.035,25.78,25.985,3241378
1415716200,26.125,26.125,25.83375,25.91,1553504
1415802600,25.8,25.885,25.72,25.855,1404470
1415889000,25.945,26.145,25.835,25.925,3285586
1415975400,25.925,26.16,25.76,26.15,3680184
1416234600,26.065,26.115,25.82,26.02,3198894
1416321000,26.07,26.445,26.005,26.355,4960570
1416407400,26.425,26.4995,26.195,26.31,2541202
1416493800,26.2,26.725,26.115,26.705,3801544
1416580200,26.995,27.015,26.685,26.86,4203522
1416839400,26.93,27.11,26.835,27.065,3577912
1416925800,27.11,27.18,27.0214,27.045,4766014
1417012200,27.075,27.605,27.075,27.59,3226742
1417185000,27.685,27.875,27.575,27.775,3432054
1417444200,27.74,27.8095,27.365,27.455,6546908
1417530600,27.4,27.53,27.29,27.52,3597112
1417617000,27.68,28.085,27.615,27.99,6918174
1417703400,28.105,28.125,27.865,28.03,6425232
1417789800,28.065,28.27,28.045,28.265,3575738
1418049000,28.22,28.32,27.705,27.88,5439810
1418135400,27.565,27.93,27.45,27.83,10729842
1418221800,27.79,27.845,27.34,27.4,6291144
1418308200,27.56,27.83,27.44,27.515,3525588
1418394600,27.28,27.4775,27.08,27.105,7613512
1418653800,27.26,27.51,26.8,26.87,9540478
1418740200,26.79,27.215,26.635,26.645,12206068
1418826600,26.715,27.215,26.465,27.175,9739850
1418913000,27.635,27.66,27.4,27.65,9203210
1418999400,27.7,27.835,27.43,27.55,5270964
1419258600,27.415,27.735,27.35,27.685,4902490
1419345000,27.78,27.8775,27.6175,27.625,2968654
1419431400,27.705,27.795,27.6,27.695,1261856
1419604200,27.96,27.96,27.645,27.67,1292872
1419863400,27.715,27.715,27.52,27.595,2120400
1419949800,27.55,27.55,27.415,27.42,4968694
1420036200,27.49,27.69,27.275,27.31,6521016
1420209000,27.33,27.5795,27.035,27.245,3612048
1420468200,27.155,27.18,26.745,26.76,5594610
1420554600,26.72,26.72,26.03745,26.13,12135734
1420641000,26.255,26.575,26.1875,26.47,8044578
1420727400,26.805,27.21,26.69,27.13,6162054
1420813800,27.2,27.235,26.735,27.05,3346632
1421073000,27.01,27.06,26.54,26.705,6240846
1421159400,26.755,27.245,26.415,26.555,7038822
1421245800,26.35,26.665,26.19055,26.455,7464250
1421332200,26.8,27.015,26.53,26.6,7772886
1421418600,26.435,26.85,26.275,26.815,7306080
1421764200,26.895,27.16,26.745,27.08,5092088
1421850600,27.045,27.49495,26.96,27.43,5385060
1421937000,27.39,27.675,26.965,27.675,6108008
1422023400,27.565,27.7675,27.495,27.555,3742900
1422282600,27.51,27.595,27.28925,27.56,3602322
1422369000,27.17,27.27,26.815,27.01,10021880
1422455400,27.35,27.47,26.775,26.78,7021098
1422541800,26.86,27.06,26.45,26.93,6044558
1422628200,26.73,26.935,26.325,26.365,7182540
1422887400,26.37,26.49,25.92,26.415,13757366
1422973800,26.62,26.825,26.445,26.79,6067630
1423060200,26.78,27.16,26.78,26.98,7655776
1423146600,27.155,27.25,26.925,27.25,5047232
1423233000,27.25,27.42,26.9,26.96,5105770
1423492200,26.865,26.865,26.465,26.605,5815310
1423578600,27.08,27.4875,26.915,27.48,7357612
1423665000,27.495,27.72665,27.4,27.64,5740410
1423751400,27.75,28.03,27.74,28.03,5937394
1423837800,28.065,28.25,27.93,28.195,5912286
1424183400,28.145,28.325,28.07,28.315,3562540
1424269800,28.295,28.31,28.11,28.22,5212750
1424356200,28.145,28.31,28.085,28.235,4733922
1424442600,28.25,28.385,28.07,28.365,4190728
1424701800,28.315,28.345,28.08,28.16,2701492
1424788200,28.18,28.745,28.075,28.74,5209632
1424874600,28.665,28.715,28.48,28.545,3616632
1424961000,28.57,28.755,28.52,28.65,4028898
1425047400,28.64,28.69,28.465,28.485,7038910
1425306600,28.725,29.235,28.725,29.235,9773704
1425393000,29.075,29.135,28.7,28.755,9878050
1425479400,28.755,28.755,28.42,28.71,4061880
1425565800,28.86,28.88,28.5775,28.7,2515628
1425652200,28.555,28.63,28.275,28.34,3590584
1425907800,28.305,28.37,28.125,28.24,3771216
1425994200,28.01,28.06,27.66,27.665,9557714
1426080600,27.855,28.15,27.8525,27.87,7273172
1426167000,27.395,27.795,27.395,27.715,9198580
1426253400,27.685,27.955,27.585,27.945,6343002
1426512600,28.01,28.345,28.01,28.315,5881970
1426599000,28.095,28.165,27.945,28.125,2674118
1426685400,28.075,28.53015,27.77,28.385,10024170
1426771800,28.355,28.48,28.3275,28.42,4733284
1426858200,28.575,28.94,28.575,28.87,6201398
1427117400,28.805,28.915,28.615,28.615,5507108
1427203800,28.58,28.66,28.355,28.355,5225882
1427290200,28.365,28.365,26.985,27.03,20870628
1427376600,26.48,27.06,26.31,26.835,23673314
1427463000,26.795,27.865,26.755,27.695,15603472
1427722200,27.775,28.065,27.615,27.93,10097474
1427808600,27.805,27.975,27.635,27.65,5471650
1427895000,27.675,27.675,27.28,27.38,6369736
1427981400,27.515,27.705,27.425,27.455,5736918
1428327000,27.12,27.59,27.05,27.525,6550306
1428413400,27.51,27.78,27.49015,27.54,3759046
1428499800,27.445,27.75,27.435,27.675,3848896
1428586200,27.44,27.975,27.44,27.95,5220796
1428672600,27.915,28.115,27.915,28.115,3024394
1428931800,28.125,28.225,27.8975,27.92,6005106
1429018200,27.935,27.96,27.545,27.665,5845218
1429104600,27.84,28.28,27.84,28.18,6375138
1429191000,27.865,28.13,27.865,28.055,10816830
1429277400,27.795,27.835,27.56,27.695,5640826
1429536600,27.845,28.045,27.845,27.925,3556326
1429623000,28.2,28.32,27.995,28.105,4024838
1429709400,28.305,28.615,28.135,28.615,4985898
1429795800,28.095,28.44,28.085,28.32,5246366
1429882200,28.395,28.485,27.92,28.02,8055566
1430141400,28.06,28.525,28.015,28.245,27557722
1430227800,28.215,28.24,27.8275,28.225,6500872
1430314200,28.025,28.12,27.765,28.02,8033278
1430400600,27.925,28.035,27.59,27.73,6352296
1430487000,27.98,28.53,27.975,28.52,8295960
1430746200,28.55,28.59,28.315,28.365,5460314
1430832600,28.21,28.275,27.8075,27.825,12282130
1430919000,27.965,28.065,27.63,27.82,8962220
1431005400,27.89,28.115,27.87,28.02,6930134
1431091800,28.22,28.4025,28.2,28.285,8114418
1431351000,28.265,28.365,28.17,28.275,6724470
1431437400,28.18,28.205,27.91,28.06,6319452
1431523800,28.13,28.405,28.12,28.2,4333194
1431610200,28.36,28.61,28.275,28.49,8296318
1431696600,28.59,28.65,28.395,28.53,6632008
1431955800,28.6,28.79,28.465,28.78,3563416
1432042200,28.9,28.9775,28.615,28.73,4022464
1432128600,28.715,29,28.66,28.815,3047400
1432215000,28.795,28.9175,28.5925,28.87,2819408
1432301400,28.845,28.995,28.845,28.895,1732392
1432647000,28.85,28.85,28.545,28.665,4396794
1432733400,28.81,29.8225,28.735,29.735,15446318
1432819800,29.71,29.885,29.565,29.775,13910584
1432906200,29.815,29.995,29.745,29.905,11821432
1433165400,29.985,30.065,29.64,29.8,7304078
1433251800,29.655,29.765,29.365,29.375,5703386
1433338200,29.565,29.57,29.145,29.17,3508476
1433424600,29.075,29.15,28.74,28.825,6571232
1433511000,28.76,28.855,28.555,28.74,3332606
1433770200,28.745,28.75,28.165,28.225,8659580
1433856600,28.25,28.36,28.025,28.255,7530228
1433943000,28.415,28.79,28.4,28.685,5838120
1434029400,28.84,28.895,28.6875,28.72,3451354
1434115800,28.585,28.655,28.44,28.475,3000700
1434375000,28.195,28.43,28.07,28.395,5048544
1434461400,28.29,28.5875,28.23,28.52,3259556
1434547800,28.52,28.68,28.44,28.545,2815202
1434634200,28.64,29.055,28.635,28.95,4358032
1434720600,29.025,29.045,28.71,28.845,5700174
1434979800,29.06,29.125,28.93,29.095,4815008
1435066200,29.145,29.205,28.865,28.955,3083482
1435152600,28.96,29.01,28.71,28.73,4513832
1435239000,28.94,28.995,28.7275,28.795,2351454
1435325400,28.51,28.51,27.775,27.955,20158650
1435584600,27.59,27.75,27.12,27.155,14581740
1435671000,27.425,27.51,27.15,27.285,9920592
1435757400,27.555,27.74,27.30625,27.39,7093554
1435843800,27.495,27.66,27.365,27.56,7262596
1436189400,27.285,27.515,26.995,27.115,9861596
1436275800,26.95,27.045,26.22,26.98,15372182
1436362200,26.715,26.715,26.195,26.275,19992672
1436448600,26.79,26.815,25.9325,25.98,13330610
1436535000,26.235,26.535,26.235,26.45,12053582
1436794200,26.61,26.7375,26.24,26.68,8819018
1436880600,26.805,26.9575,26.7625,26.895,10953576
1436967000,26.945,26.9825,26.64,26.76,8059840
1437053400,26.91,26.91,26.45,26.745,12379664
1437139800,26.74,26.765,26.47,26.73,7441888
1437399000,26.755,26.815,26.505,26.515,4809792
1437485400,26.51,26.73,26.455,26.495,5674100
1437571800,25.76,26.235,25.61,25.85,17806104
1437658200,26.02,26.51,26,26.21,10110682
1437744600,26.275,26.3,25.59,25.605,7354474
1438003800,25.44,25.67,25.215,25.505,9295420
1438090200,25.595,26.2,25.4425,26.035,14212648
1438176600,26.085,26.2,25.855,26.14,7921988
1438263000,26.15,26.455,26.07,26.38,7605286
1438349400,26.365,26.375,26.0125,26.075,4326038
1438608600,26.03,26.05,25.805,25.95,5694868
1438695000,25.885,25.935,25.5075,25.675,7697138
1438781400,26.115,26.175,25.695,25.985,6238208
1438867800,26,26,25.45,25.685,8453756
1438954200,25.595,25.78,25.505,25.75,5166228
1439213400,25.9,26.475,25.885,26.4,9107558
