t,o,h,l,c,v
1412688600,118.31,119.43,118.18,119.36,8841306
1412775000,119.45,119.52,118.5126,119.39,9391292
1412861400,119.27,119.67,118.78,118.87,10293812
1412947800,119.52,120.08,119.31,120.05,8778325
1413207000,120.16,121.17,120.05,120.78,6452384
1413293400,121.31,121.78,120.68,121.57,11285617
1413379800,124.58,127.68,121.84,122.53,37408948
1413466200,124.12,124.13,121.44,121.75,18098188
1413552600,121.19,121.71,120.48,121.07,8524257
1413811800,121.78,121.845,120.94,121.51,7742600
1413898200,120.84,121.24,120.53,120.54,9758010
1413984600,120.47,120.85,120.22,120.67,9262018
1414071000,120.04,120.18,119.06,119.6,10936825
1414157400,119.93,120.41,119.47,119.72,5704911
1414416600,119.89,120.265,119.66,119.94,3392161
1414503000,119.48,119.65,119.08,119.19,5141976
1414589400,118.96,119.82,118.42,119.46,9106612
1414675800,120.32,120.46,119.51,119.56,7024366
1414762200,119.34,119.71,118.83,119.25,6664380
1415025000,118.9,119.16,118.211,118.96,9726839
1415111400,119.42,119.91,119.08,119.33,3664808
1415197800,118.91,119.3699,118.82,119.16,4799628
1415284200,118.6,118.9299,118.305,118.39,5901871
1415370600,118.72,119.75,118.68,119.75,8550548
1415629800,119.58,119.58,118.56,118.65,4787298
1415716200,118.48,118.81,118.34,118.73,2416470
1415802600,119.2,119.53,118.445,118.63,4040793
1415889000,118.7,119.18,118.435,118.91,4475902
1415975400,118.84,119.59,118.68,119.49,5191200
1416234600,119.78,119.79,118.88,119.19,4726190
1416321000,119.32,119.58,119.16,119.52,4471230
1416407400,118.88,119.58,118.76,118.76,5792474
1416493800,119.9,119.95,119.06,119.38,5683570
1416580200,119.57,120.16,119.52,120.1,3640144
1416839400,119.67,120.27,119.55,120.2,4033915
1416925800,120.37,121.27,120.31,121.2,6770006
1417012200,121.64,121.8666,121.47,121.53,4339146
1417185000,122.13,122.67,122.13,122.49,4562187
1417444200,122.68,122.81,121.46,121.5,7728556
1417530600,120.84,120.85,120.29,120.32,5757162
