t,o,h,l,c,v
1412688600,84.9,85.13,83.93,84.19,3416980
1412775000,84.29,86.84,83.99,86.62,4791144
1412861400,86.35,86.55,84.63,84.94,4432816
1412947800,85.09,86.82,85.05,85.39,4036846
1413207000,85.22,85.95,83.76,83.95,3677943
1413293400,84.34,84.57,82.55,82.82,5929537
1413379800,82.17,82.98,80.72,82.16,8308870
1413466200,84.76,86.7,84.096,85.39,10233059
1413552600,86.85,88.81,86.75,88.18,8532850
1413811800,88.24,88.84,88,88.54,4895885
1413898200,89.16,91.08,88.85,90.95,5882176
1413984600,91.44,91.44,89.71,89.77,4290410
1414071000,90.94,91.28,90.42,90.66,3159178
1414157400,90.66,91.7,90.59,91.64,2977336
1414416600,91.43,92.28,91.375,92.13,3948931
1414503000,91.05,92.78,90.36,92.64,4751011
1414589400,92.9,93.68,92.685,92.96,4330718
1414675800,92.56,94.15,92.5,93.88,2836374
1414762200,95,95.67,94.31,95.01,5031542
1415025000,95.45,95.665,94.5,94.86,4004311
1415111400,94.99,95.6,94.24,94.98,4437644
1415197800,95.57,96.01,95.02,95.8,3454715
1415284200,96.04,96.64,95.9,96.21,3743249
1415370600,95.5,95.72,93.01,93.61,6155418
1415629800,93.68,95,93.5,94.75,4087673
1415716200,95.05,95.75,94.72,95.69,2291363
1415802600,95.23,95.97,94.52,95.68,2897661
1415889000,95.64,96.74,95.4,95.9,2767673
1415975400,96.02,96.12,94.87,95.11,2709574
1416234600,95.2,96.69,94.84,96.47,3297638
1416321000,96.99,98.61,96.85,98.19,4320839
1416407400,97.73,98.41,96.79,96.86,3433847
1416493800,96.46,96.85,96.17,96.85,3316654
1416580200,97.4,98.04,96.59,96.71,4408560
1416839400,97.27,97.29,96.51,96.9,3998787
1416925800,97,98.14,96.91,97.9,4066251
1417012200,97.99,98.74,97.82,98.11,2765874
1417185000,98.7,99.42,98.43,98.63,2177486
1417444200,98.75,99.829,98.01,99.06,4892834
1417530600,99,100,98.2,99.83,5297240
1417617000,99.88,101.33,99.7,100.8,6689029
1417703400,100.84,100.93,99.42,99.67,4089785
1417789800,99.81,100.71,99.68,100.33,3104852
1418049000,100.32,100.9,99.635,99.92,3085821
1418135400,99.04,101.09,98.75,101.02,3792238
1418221800,100.77,101.02,99.0071,99.09,3908657
1418308200,99.39,100.67,99.24,99.73,2940571
1418394600,99.58,100.41,98.69,98.76,3086461
1418653800,98.8,99.75,97.41,98.27,3649272
1418740200,97.65,98.78,95.75,95.85,4843791
1418826600,96.55,99.75,96.17,99.14,6235009
1418913000,100.28,102.26,99.91,102.24,4681027
1418999400,102,104,102,102.49,7986510
1419258600,102.58,103.24,102.47,103.04,2398129
1419345000,103.72,103.93,102.44,102.85,3036241
1419431400,103,103.32,102.54,102.68,951739
1419604200,102.59,103,102.16,102.55,2019916
1419863400,102.38,103.01,101.83,102.33,1708084
1419949800,102.25,103.06,102.25,102.85,1767578
1420036200,103.12,103.68,101.03,101.09,2313864
1420209000,101.5,102.62,100.0089,100.78,3070081
1420468200,100.3,100.45,98.745,99.12,4684055
1420554600,99.83,100.14,98.46,98.92,3468294
1420641000,98.96,100.3,98.92,99.93,3225790
1420727400,101.57,104.9825,100.72,104.7,5346136
1420813800,104.42,104.63,102.9,103.72,3397568
1421073000,103.83,104,101.91,102.55,3051543
1421159400,103.94,105.6,101.84,103.07,3856451
1421245800,101.61,103.48,101.18,103.33,4725606
1421332200,103.56,104.59,103.13,104.46,5888889
1421418600,104.5,106,103.65,105.77,6045454
1421764200,106.2,106.38,104.495,105.62,6526776
1421850600,106.52,109.45,105.62,109.32,8293677
1421937000,109.75,114.12,109.33,113.85,8055198
1422023400,113.64,114.32,112,112,5255967
1422282600,112,112,110.76,111.61,4203420
1422369000,110.95,111.25,109.92,110.01,4718269
1422455400,110.57,110.88,108.45,108.46,6633549
1422541800,108.15,109.58,106.74,109.39,4912269
1422628200,108.62,109.39,106.14,106.25,5397460
1422887400,106.73,107.34,105.07,107.29,4657062
1422973800,107.35,108,106.52,107.81,4192622
1423060200,106.83,108.74,106.75,107.92,4768858
1423146600,108.32,109.81,108.32,108.82,3297724
1423233000,108.59,109.4,107.19,107.6,3661416
1423492200,106.93,107.24,106.28,106.49,3909714
1423578600,107.26,109.46,107.13,108.97,5437375
1423665000,108.73,110.06,108.38,109.85,3798477
1423751400,110.7,110.78,108.83,109.84,3378023
1423837800,109.69,109.8399,108.68,109.44,3727640
1424183400,109.34,109.76,108.52,109.76,3430589
1424269800,109,110.22,108.95,109.77,2958730
1424356200,109.54,110.36,109.44,110.03,2674820
1424442600,109.96,112.82,109.44,112.62,4647067
1424701800,112.99,116.49,112.85,116.4,7059978
1424788200,116.26,116.58,115.32,115.43,3582753
1424874600,115.82,115.82,113.72,114.05,3845920
