t,o,h,l,c,v
1412688600,108.5,108.64,106.3,106.37,3151109
1412775000,106.67,108.12,104.81,108.02,4438592
1412861400,108.08,108.32,105.24,105.34,3732963
1412947800,105.5,105.58,101.2,101.34,7640716
1413207000,102.99,104.235,97.8409,98.08,8013770
1413293400,98.55,101.3,98.18,100.16,6940246
1413379800,98.75,100.23,96.17,99.7,6407177
1413466200,98.22,105.27,98,104.03,9242819
1413552600,105.95,106.975,105.64,106.4,7120331
1413811800,105.6,106.49,105.27,106.16,3816850
1413898200,107.29,108.92,107.14,108.86,3934844
1413984600,108.53,109.12,106.705,106.86,5501507
1414071000,111.84,112.65,110.17,112.23,6441873
1414157400,112.81,114.62,111.89,114.58,4516396
1414416600,114.39,114.94,113.37,114.79,3667711
1414503000,115.09,116.47,115.05,116.18,3934929
1414589400,116.31,117.07,114.31,114.97,4151833
1414675800,114.93,115.93,114.08,115,3996301
1414762200,116.3,117.1,115.61,116.45,3934506
1415025000,116.57,116.57,114.9101,115.26,3934899
1415111400,115.23,115.93,114.8,115.28,4888827
1415197800,116.02,116.42,115.18,116.41,4000914
1415284200,116.85,119.15,116.59,118.94,4187207
1415370600,118.94,119.66,118.21,118.75,3210247
1415629800,119.3,121.29,119.15,120.9,4086161
1415716200,121.03,121.82,120.505,121.24,2869445
1415802600,121.29,121.32,120.05,120.71,3361145
1415889000,120.41,121.5999,120.05,120.25,2882042
1415975400,120.24,120.87,120,120.71,2598695
1416234600,120.23,120.9476,119.808,120.32,2584958
1416321000,120.62,121.16,120.12,120.62,2390695
1416407400,120.56,120.61,119.65,120.5,2532753
1416493800,119.82,120.98,119.68,120.91,2660498
1416580200,122.17,122.79,121.22,121.85,5547255
1416839400,122.49,123.369,122.4,122.91,2675687
1416925800,122.77,123.61,122.4101,122.51,4050486
1417012200,122.69,123.44,122.41,123.31,2377615
1417185000,121.84,122.29,116.55,116.77,5684658
1417444200,116.44,116.63,113.19,114.63,7102879
1417530600,114.98,119.05,114.31,118.97,6429639
1417617000,119.35,121.39,119.29,120.95,4917475
1417703400,120.42,121.24,118.96,119.76,3434043
1417789800,120,120.3,118.15,118.61,3210976
1418049000,117.87,118.08,114.27,114.94,5616934
1418135400,112.91,116.12,111.89,116.06,5587916
1418221800,115.91,116.339,112.98,113.69,4592425
1418308200,113.98,115.81,113.48,114.35,3931284
1418394600,113.63,115.75,112.5,112.55,4823210
1418653800,113.15,114.52,111.67,112.34,5395629
1418740200,111.77,114.98,111.57,112.2,4827068
1418826600,112.44,115.42,111.28,114.92,5537201
1418913000,116.95,118.89,116.45,118.87,5279723
1418999400,118.6,119.98,118.11,118.47,6126626
1419258600,119.06,120.74,118.94,120.41,3186340
1419345000,120.91,121.4,120.3,120.68,2207680
1419431400,120.61,121.1,120.26,120.3,1001494
1419604200,120.88,120.99,120.07,120.39,1668328
