t,o,h,l,c,v
1412688600,25.676641,25.898307,25.573308,25.766641,21179592
1412775000,25.803308,26.161641,25.603308,26.079974,24321315
1412861400,26.036641,26.27664,25.886641,25.953307,21218253
1412947800,25.976641,26.45664,25.976641,26.096641,30234111
1413207000,26.009974,26.194974,25.816641,25.853307,24604227
1413293400,25.943307,26.209974,25.889974,25.993307,23703176
1413379800,25.859974,25.896641,24.786642,25.066642,63173112
1413466200,24.409976,24.689775,24.203309,24.606642,43039972
1413552600,24.726642,24.833308,24.343309,24.699975,34416241
1413811800,24.713309,25.073308,24.639975,25.046642,21122076
1413898200,25.059975,25.399975,25.003308,25.339975,24899253
1413984600,25.489975,25.553308,25.336641,25.343308,17782877
1414071000,25.456641,25.549974,25.259975,25.416641,19101295
1414157400,25.376641,25.499974,25.166641,25.459975,13450975
1414416600,25.443308,25.659974,25.436641,25.529974,12322185
1414503000,25.543308,25.599974,25.333308,25.449975,14939966
1414589400,25.516641,25.546641,25.323308,25.463308,17289806
1414675800,25.389975,25.533308,25.326641,25.483308,14617256
1414762200,25.629974,25.799974,25.336641,25.423308,22712224
1415025000,25.449975,25.459975,25.196641,25.426641,20663645
1415111400,25.496641,25.789974,25.426641,25.753308,20714579
1415197800,25.956641,26.076641,25.766641,25.899974,17021333
1415284200,26.049974,26.059974,25.723308,25.936641,13865605
1415370600,25.946641,26.359974,25.869974,26.25664,28496374
1415629800,26.199974,26.709973,26.139974,26.479974,37921474
1415716200,26.46664,26.473307,26.283307,26.33664,16807234
1415802600,26.27664,26.479974,26.21664,26.399974,20373674
1415889000,26.98664,27.686639,26.953306,27.646639,68437136
1415975400,27.526639,27.716639,27.366639,27.653306,31909963
1416234600,27.526639,27.906639,27.509972,27.856639,23980304
1416321000,27.833305,27.973305,27.779972,27.929972,18289314
1416407400,27.986639,28.546638,27.973305,28.329972,36569574
1416493800,28.269972,28.429972,28.013305,28.193305,23438222
1416580200,28.446638,28.479972,28.193305,28.216638,19948909
1416839400,28.283305,28.536638,28.256638,28.466638,23986385
1416925800,28.499971,28.503305,28.129972,28.316638,20026373
1417012200,28.299972,28.370305,28.159972,28.326638,11831474
1417185000,28.726638,29.363304,28.633305,29.179971,23461904
1417444200,28.906638,29.023304,28.583271,28.739971,27422838
1417530600,28.756638,28.899971,28.643305,28.799971,20298950
1417617000,28.649971,28.666638,28.226638,28.313305,19123033
1417703400,28.043305,28.273305,27.883305,28.253305,20767079
1417789800,28.269972,28.273305,27.836639,28.039972,19710382
1418049000,28.049972,28.223305,27.949972,28.076639,18797988
1418135400,27.883305,28.069972,27.549972,27.853305,19900849
1418221800,27.976639,28.103305,27.633306,27.659972,20920820
1418308200,27.733306,28.164972,27.719972,27.943305,24098547
1418394600,27.839972,28.333305,27.839972,27.936639,21852405
1418653800,28.086639,28.233305,27.683306,27.979972,18953226
1418740200,27.873305,28.253305,27.646639,27.653306,22312342
1418826600,27.759972,28.086639,27.649972,28.076639,19923091
1418913000,28.266638,28.649971,28.093305,28.646638,25937812
1418999400,28.753305,28.779971,28.386638,28.386638,36206514
1419258600,28.439972,28.799971,28.429972,28.793305,13727269
1419345000,28.896638,29.026638,28.786638,28.886638,16657954
1419431400,28.989971,29.021638,28.796638,28.809971,7475374
