t,o,h,l,c,v
1412688600,51.323282,51.666615,50.366116,50.423283,2174678
1412775000,50.263283,51.636615,49.289951,51.559948,2159834
1412861400,51.406615,51.556615,49.69995,50.006617,2144972
1412947800,49.726617,50.999949,48.749951,48.796618,2762849
1413207000,48.959951,49.846617,47.283286,48.479952,3461679
1413293400,49.126618,50.11995,47.706619,49.023284,2044985
1413379800,48.256618,50.966616,48.009952,50.739949,2402846
1413466200,49.99995,52.751614,49.52995,52.196614,2635553
1413552600,53.496613,53.61328,51.723282,52.026615,1812520
1413811800,52.156615,53.41628,51.899948,52.979947,852105
1413898200,53.729946,53.729946,52.93328,53.549946,1060030
1413984600,53.666613,53.999946,52.93628,53.089947,789282
1414071000,53.80328,55.406611,53.556613,55.103278,1754899
1414157400,55.106612,55.833277,54.866612,55.743278,1552126
1414416600,55.373278,55.783278,54.363312,55.736611,1735870
1414503000,55.963277,57.410276,55.961944,57.169943,1773379
1414589400,57.249943,57.256609,56.016611,56.539943,1254976
1414675800,56.209944,58.068275,56.209944,57.789942,913119
1414762200,58.573275,59.159274,56.999943,57.129943,2010782
1415025000,57.376609,57.899942,56.813277,57.176609,937797
1415111400,56.663277,57.246609,56.269944,56.693277,923346
1415197800,57.409943,57.409943,54.939945,55.209945,1288729
1415284200,55.433278,56.369944,55.079945,56.333277,2548496
1415370600,56.183277,56.549943,54.930778,55.906611,1086547
1415629800,56.156611,57.416609,55.846611,57.383276,1062742
1415716200,57.363276,58.046609,56.889943,57.433276,1521031
1415802600,57.166609,57.989942,56.753277,57.893275,464343
1415889000,57.956609,58.583275,56.869943,57.113276,845043
1415975400,57.346609,57.346609,55.629944,55.973277,1201915
1416234600,56.106611,57.033276,55.919944,56.126611,547488
1416321000,56.419944,57.659942,56.279944,57.12661,843156
1416407400,57.10661,57.536609,56.503277,56.653277,722337
1416493800,56.613277,57.529942,56.39661,57.523276,564639
1416580200,58.333275,58.583275,57.669942,58.013275,962472
1416839400,58.329942,59.409941,58.329942,59.403274,1020331
1416925800,59.666607,59.821807,58.636608,59.233274,852744
1417012200,59.246607,60.216606,59.149941,60.16994,649623
1417185000,60.30994,61.386605,59.74994,59.936607,751335
1417444200,59.996607,59.996607,58.086609,58.233275,1339477
1417530600,59.166608,59.983273,58.449975,59.76994,1257037
1417617000,59.833274,59.993273,58.999941,59.826607,845610
1417703400,60.09994,60.09994,59.186607,59.369941,1034254
1417789800,59.593274,60.446606,59.55994,60.426606,833403
1418049000,60.999939,61.973271,60.663306,60.786606,2731412
1418135400,60.446606,62.709937,59.793274,62.543271,1653193
1418221800,62.419938,62.676604,61.083272,61.199939,1788505
1418308200,61.619938,62.734604,61.049939,61.346605,1376317
1418394600,60.866606,62.136605,60.333273,61.243272,1311085
1418653800,61.856605,61.993271,58.526608,58.629941,3408630
1418740200,58.333275,60.226306,57.536609,58.289942,3179442
1418826600,58.609941,61.129939,58.349942,61.069939,2666516
1418913000,62.233271,63.07027,61.759938,63.026604,2005790
1418999400,62.723271,63.906603,62.063271,63.446603,2239298
1419258600,62.569937,63.736603,62.053271,62.97327,2209340
1419345000,63.48327,63.48327,59.239941,59.726607,3491943
1419431400,59.633274,61.403272,59.633274,60.873272,1284166
1419604200,61.403272,62.343271,61.047772,62.276604,667185
1419863400,62.386604,63.069937,61.973271,62.503271,826128
1419949800,62.403271,62.692937,61.783272,61.846605,867402
1420036200,62.019938,63.246603,62.019938,62.153271,966477
1420209000,62.649937,63.316603,61.686605,62.803271,1122937
1420468200,62.566604,64.159936,62.213304,62.999937,1666984
1420554600,63.326603,63.746603,60.666606,61.433272,2195486
1420641000,62.333271,63.943269,62.318604,63.889936,1780171
1420727400,64.999935,65.366568,64.309936,65.306601,1859899
1420813800,65.666601,65.876601,64.366269,65.356601,2271224
1421073000,66.763267,67.1599,65.409935,65.976601,2964032
1421159400,66.8366,67.236566,64.506602,65.489935,3024192
1421245800,64.943268,66.633267,64.606602,66.5066,1759936
1421332200,66.699933,66.776567,63.933269,64.036603,3539187
1421418600,64.099936,66.079934,63.76677,65.983267,2229824
1421764200,66.4666,66.893266,64.503269,66.713267,2372792
1421850600,66.149934,66.625933,64.533269,64.793269,1976614
1421937000,65.429935,65.523268,62.986604,65.493268,2531561
1422023400,65.559934,66.4166,65.313268,66.1966,1658275
1422282600,66.233267,68.069932,65.773268,68.069932,1733272
1422369000,67.113266,68.906598,66.736267,68.223265,1905871
1422455400,68.673265,68.883264,66.099934,66.3966,2707088
1422541800,66.593267,67.336599,65.253268,67.336599,1229932
1422628200,67.389933,68.379932,66.489934,66.549933,1694659
1422887400,66.9466,67.186599,64.654102,65.499934,4084069
1422973800,65.833267,66.089934,63.286603,65.306601,3184317
1423060200,63.736603,64.373269,62.483271,63.979936,3386154
1423146600,64.296602,66.033267,64.213269,65.839934,2512274
1423233000,65.833267,66.7366,64.623269,64.996602,2000882
1423492200,64.686602,65.883267,64.439936,64.669935,1661938
1423578600,65.319935,66.3566,64.853268,66.136601,931473
1423665000,65.929934,67.539899,65.333268,65.939934,1807585
1423751400,66.273267,67.346599,65.793268,67.346599,2126546
1423837800,67.406599,67.806599,66.499934,67.799932,1305355
1424183400,67.846599,69.346597,67.846599,69.076598,2356244
1424269800,69.403264,70.00993,68.479932,69.966597,1467406
1424356200,69.826597,70.849929,69.67993,70.566596,1795042
1424442600,70.45993,71.369929,70.33663,71.119929,1656124
1424701800,71.223262,73.036594,71.066596,71.713262,2325020
1424788200,71.936595,72.219928,69.416631,70.326596,2718539
1424874600,70.306596,72.413261,69.703264,72.123261,3244029
1424961000,72.106595,72.676594,70.526596,72.629927,3132843
1425047400,72.296594,72.542261,70.966596,71.543262,2748377
1425306600,71.609928,72.659927,71.363262,72.496594,1012249
1425393000,72.666594,72.826594,71.299929,72.599927,2218856
1425479400,72.493261,74.519892,71.713262,74.019926,3034137
1425565800,75.259925,76.393257,75.000958,75.856591,3111882
1425652200,75.833257,75.833257,74.136393,74.906592,2928845
1425907800,75.299925,75.316591,73.543626,74.863258,1538236
1425994200,73.933259,76.229924,73.27326,75.133258,2208047
1426080600,75.379925,75.867591,74.263259,75.503258,1113706
1426167000,75.799924,75.996591,74.616592,75.569924,1155820
1426253400,75.659924,76.84659,75.169925,76.143257,1860736
1426512600,76.61659,77.503256,76.333257,77.276589,1701271
1426599000,77.469923,77.833256,76.644923,77.709922,1675600
1426685400,77.649922,77.903255,76.259957,77.206589,2926331
1426771800,77.796589,79.749887,77.483256,79.326587,2775620
1426858200,81.346585,81.659918,77.569922,77.953255,5638940
1427117400,76.783257,77.656589,75.566591,76.39659,2940293
1427203800,76.76659,77.996589,75.733258,75.826591,3532905
1427290200,76.029924,76.66659,71.456595,71.743262,6060447
1427376600,70.669929,72.829927,69.249931,71.453262,6812283
1427463000,71.889928,73.489927,71.836595,73.136594,2381762
1427722200,74.666592,75.166592,73.50336,74.789925,2713118
1427808600,74.549925,77.999922,73.39326,75.166592,2984816
1427895000,73.946593,74.079926,71.579928,73.596593,4550404
1427981400,73.466593,73.999926,72.603261,73.40326,1572094
1428327000,72.676594,74.004926,72.626594,73.19326,1908007
1428413400,73.24326,75.093225,73.24326,73.549926,2274959
1428499800,74.029926,76.013591,73.711593,75.676591,2041388
1428586200,75.913257,76.759923,74.173259,75.399925,2312108
1428672600,75.619924,76.879923,75.499091,76.459924,1463407
1428931800,76.73659,78.156589,76.66659,77.363256,2419931
1429018200,77.479923,77.999922,76.563257,77.299923,1499698
1429104600,77.953255,78.220055,76.823257,77.703256,2164967
1429191000,77.716589,78.746588,77.576589,78.273255,1469191
1429277400,77.533256,78.019922,76.091591,76.92659,2465132
1429536600,77.619922,77.839922,75.959924,77.083256,2143433
1429623000,77.849922,78.224922,77.249923,77.649922,2144759
1429709400,78.173255,78.509921,76.835856,77.543256,2022728
1429795800,77.766589,79.056588,77.12659,78.906588,1691536
1429882200,78.766588,79.199921,77.946589,77.953255,1713199
1430141400,78.333255,78.659921,73.336593,73.646593,6715386
1430227800,74.069926,74.826592,70.453263,72.386594,8532323
1430314200,71.819928,73.496593,70.933262,71.919928,5104271
1430400600,71.253262,72.129928,67.866599,68.776598,9881676
1430487000,70.04993,71.346595,69.496597,71.056596,5328647
1430746200,71.406595,73.44326,71.333262,72.016595,3967671
1430832600,72.063261,72.139928,69.566597,69.976597,3707463
1430919000,71.796595,72.166594,70.579929,71.626595,5539121
1431005400,71.673262,72.666594,70.699929,72.466594,3346863
1431091800,73.79326,75.103258,73.28326,74.613259,3321663
1431351000,74.666592,75.836591,74.486592,75.163258,2326874
1431437400,74.333259,75.756591,73.496593,75.323258,3285003
1431523800,75.796591,75.899924,74.246592,74.813259,3144774
1431610200,75.229925,75.873257,73.33326,75.406591,2967821
1431696600,75.409925,75.619891,74.561659,75.433258,1752262
1431955800,75.333258,77.223256,74.979392,76.91659,2409422
1432042200,76.73659,77.433256,76.333257,77.033256,2039198
1432128600,77.273256,78.873254,76.363257,78.246588,2813066
1432215000,78.896588,78.896588,77.123256,77.813256,2577728
1432301400,77.463256,78.316588,77.119923,78.033255,1672132
1432647000,77.869922,78.056589,76.79659,77.669922,2482844
1432733400,77.776589,78.966588,77.386589,78.959921,2337881
1432819800,78.416588,78.976588,77.359923,78.833255,2197094
1432906200,78.503255,80.12992,78.486588,79.389921,4107580
1433165400,80.183253,80.666586,78.454922,79.67992,4824502
1433251800,79.076588,80.23992,78.443288,79.573254,1702438
1433338200,80.166587,80.759919,79.236587,80.46992,2520179
1433424600,80.063253,80.869919,78.839954,79.893253,2823059
1433511000,79.726587,81.423252,78.979921,81.253252,2314445
1433770200,81.293252,81.966585,80.666586,81.323252,3065916
1433856600,81.063252,81.333252,79.146588,80.113253,3196683
1433943000,79.663254,80.821586,79.256587,80.706586,2056667
1434029400,80.806586,81.303252,80.236586,81.303252,2580260
1434115800,80.896586,80.969919,79.736587,80.003253,2806403
1434375000,79.256587,80.376586,78.573255,80.29992,2300216
1434461400,80.003253,81.083252,79.86992,80.486586,2007410
1434547800,80.999919,81.899918,80.819919,81.463252,3002832
1434634200,81.903251,84.266582,81.821918,83.766583,6821511
1434720600,83.709916,84.299916,83.049917,84.156583,4454698
1434979800,84.999915,86.619913,84.626582,86.569913,5310851
1435066200,86.91658,87.199913,85.419915,86.449914,2920697
