t,o,h,l,c,v
1412688600,24.145,24.145,23.785,23.79,12121432
1412775000,23.79,24.135,23.525,24.1,21046786
1412861400,24.1,24.11,23.435,23.51,29256384
1412947800,23.515,23.6,23.145,23.15,30357404
1413207000,23.125,23.32,22.52,22.555,33150518
1413293400,22.705,22.95,22.475,22.625,22002510
1413379800,22.215,22.875,22.045,22.78,37910812
1413466200,22.38,23.135,22.34,23.005,40440998
1413552600,23.25,23.485,23.2,23.31,22297366
1413811800,23.26,23.68,23.165,23.665,34382670
1413898200,23.805,24.21,23.8,24.175,14263614
1413984600,24.35,24.4,23.965,23.98,18426302
1414071000,24.155,24.225,23.895,23.96,59893618
1414157400,24.005,24.165,23.785,24.14,13413606
1414416600,23.925,23.975,23.54,23.635,70286784
1414503000,23.785,23.89,23.69,23.87,15199208
1414589400,23.865,23.9,23.415,23.575,47813802
1414675800,23.485,23.88,23.485,23.755,13382800
1414762200,23.955,24.21,23.87,24.2,16805272
1415025000,24.21,24.3,23.945,24.03,41656484
1415111400,23.965,24.02,23.67,23.78,26076264
1415197800,23.83,24.055,23.815,24.01,12231752
1415284200,23.93,24.2525,23.93,24.205,7653056
1415370600,24.23,24.36,24.215,24.32,10205038
1415629800,24.31,24.4,24.25,24.385,7285928
1415716200,24.375,24.5225,24.345,24.505,7220438
1415802600,24.485,24.625,24.45,24.565,7708040
1415889000,24.59,24.765,24.435,24.57,8238508
1415975400,24.6,24.695,24.54,24.645,6337484
1416234600,24.625,24.6675,24.55,24.64,5254104
1416321000,24.645,24.955,24.645,24.935,10036236
1416407400,24.915,24.98,24.8125,24.9,9681818
1416493800,24.775,25.03,24.7,25.03,7716996
1416580200,25.35,25.505,25.24,25.335,19118334
1416839400,25.375,25.375,25.18,25.22,4283722
1416925800,25.225,25.3,25.11,25.13,4812842
1417012200,25.055,25.165,24.9575,25.15,3762038
1417185000,24.905,24.93,24.525,24.58,9735456
1417444200,24.505,24.615,24.195,24.325,24024618
1417530600,24.325,24.525,24.27,24.47,11860958
1417617000,24.525,24.865,24.4625,24.83,14694304
1417703400,24.765,24.965,24.745,24.905,11708054
