t,o,h,l,c,v
1412688600,43.9,44.465,43.545,43.56,35798578
1412775000,43.435,44.025,42.735,43.985,71979914
1412861400,43.65,43.725,42.25,42.37,73340838
1412947800,42.245,42.705,41.32,41.775,120948554
1413207000,41.685,42.195,40.43,40.485,95098504
1413293400,40.825,41.145,39.7575,39.975,111991104
1413379800,39.455,40.385,38.755,40.28,138939218
1413466200,39.415,41.41,39.25,41,119596460
1413552600,41.755,42.95,41,41.35,75999960
1413811800,41.315,41.8325,41.11,41.71,53005150
1413898200,42.185,43.075,42.17,42.98,62716322
1413984600,43.09,43.355,42.14,42.165,72285046
1414071000,42.76,43.405,42.535,42.95,53116062
1414157400,42.97,43.045,42.235,42.8,50510230
1414416600,42.12,42.145,41.47,41.9,47002826
1414503000,42.12,42.97,41.84,42.855,47249908
1414589400,43.325,43.685,42.585,42.995,53444978
1414675800,42.665,43.03,42.345,42.84,37591980
1414762200,42.93,43.76,42.53,43.71,40536942
1415025000,43.74,44.205,42.89,43.02,53221954
1415111400,42.5,42.525,41.765,42.135,46878260
1415197800,42.56,43.06,42.23,42.875,54890104
1415284200,42.605,43.425,42.465,43.415,46052596
1415370600,43.515,44.24,43.43,43.895,36084076
1415629800,44.275,44.48,43.37,43.5,45906750
1415716200,43.54,43.735,43.1125,43.63,34761856
1415802600,43.355,43.805,43.19375,43.245,35249258
1415889000,43.015,43.07,41.975,42.67,63176666
1415975400,42.88,43.15495,42.59,43.105,35924640
1416234600,42.84,43.135,42.68,42.88,24430138
1416321000,42.865,43.27,42.71,42.915,39360644
1416407400,42.995,43.29,42.615,43.14,29492388
1416493800,43.225,43.745,43.11,43.68,33834584
1416580200,44.435,44.6075,43.93,44.25,57370440
1416839400,44.105,44.345,43.72235,43.91,33356150
1416925800,44.15,44.18285,43.135,43.195,45108078
1417012200,42.995,43.105,42.575,42.65,41746456
1417185000,40.87,41,39.7875,39.91,85076676
1417444200,39.695,40.175,39.335,40.05,103188996
1417530600,39.765,40.875,39.75,40.485,66469826
1417617000,40.745,41.305,40.605,40.98,63098432
1417703400,40.585,40.885,40.26,40.625,47159096
1417789800,40.535,40.655,39.98,40.14,46886596
1418049000,39.6,39.75,38.43,38.515,82385366
1418135400,38.43,39.095,38.3,38.935,67337722
1418221800,38.325,38.37,37.485,37.735,89067670
1418308200,37.685,38.67,37.625,37.71,71103380
1418394600,37.26,37.69,36.945,37.01,100108526
1418653800,37.315,37.665,36.6,36.68,94962226
1418740200,36.345,38.145,36.255,37.005,114568844
1418826600,37.215,38.915,37.145,38.54,124940492
1418913000,39.53,39.675,38.285,39.28,104526920
1418999400,39.48,40.335,39.045,40.285,93485538
1419258600,39.985,40.085,39.46,39.875,66476182
1419345000,40.165,40.495,39.88195,40.36,53058458
1419431400,40.125,40.22,39.6,40.065,28095658
1419604200,40.22,40.405,39.88,40.055,28929198
1419863400,40.145,40.5,39.96,40.2,36448220
1419949800,40.15,40.2375,39.7525,39.88,38296232
1420036200,39.645,40,39.345,39.58,43083836
1420209000,39.365,39.8925,39.19,39.765,55498204
1420468200,39.21,39.225,37.925,38.12,90790484
1420554600,38.055,38.365,37.29495,37.56,83753278
1420641000,38.015,38.18,37.39,37.64,62384738
1420727400,37.945,38.5725,37.79,38.485,56373726
