t,o,h,l,c,v
1412688600,18.79479,18.79479,18.518755,18.524113,63136876
1412775000,18.534992,18.875977,18.478161,18.875977,72370460
1412861400,18.85974,18.85974,18.457864,18.478161,110347320
1412947800,18.437568,18.648654,18.323906,18.332025,76270098
1413207000,18.340143,18.453805,18.153413,18.169651,70645381
1413293400,18.218363,18.388856,18.157473,18.242719,78120858
1413379800,17.982921,18.072226,17.495799,17.893615,134484384
1413466200,17.585104,18.031633,17.568867,17.893615,101456967
1413552600,18.129057,18.210244,17.999158,18.120938,65835431
1413811800,18.080345,18.242719,18.080345,18.226482,60970553
1413898200,18.388856,18.591823,18.340143,18.567467,63026041.99999999
1413984600,18.599942,18.616179,18.396974,18.396974,56914297
1414071000,18.60806,18.697366,18.543111,18.575586,99631113
1414157400,18.60806,18.762316,18.575586,18.754197,32789474
1414416600,18.689247,18.786672,18.656773,18.778553,27342033
1414503000,18.827265,18.989639,18.827265,18.981521,44630802
1414589400,19.013995,19.062708,18.884096,19.030233,55666834
1414675800,19.013995,19.226218,18.957165,19.135776,41943272
1414762200,19.354981,19.379337,19.269734,19.354981,46907541
1415025000,19.403693,19.476761,19.346862,19.428049,60927021
1415111400,19.354981,19.444286,19.281912,19.436168,36723140
1415197800,19.60666,19.60666,19.452405,19.566067,30330604
1415284200,19.533592,19.60666,19.476761,19.598542,33212121
1415370600,19.60666,19.655373,19.509236,19.60666,35480516
1415629800,19.60666,19.712204,19.582304,19.712204,37755619
1415716200,19.720322,19.73656,19.647254,19.647254,47726606
1415802600,19.582304,19.631017,19.532456,19.60666,23062172
1415889000,19.622898,19.663491,19.517355,19.598542,36154859
1415975400,19.590423,19.631017,19.509236,19.533592,14082099
1416234600,19.476761,19.557136,19.460524,19.533592,19919711
1416321000,19.525474,19.663491,19.517355,19.598542,15639320
1416407400,19.566067,19.590423,19.476761,19.557948,27180180
1416493800,19.460524,19.581087,19.428049,19.557948,19810539
1416580200,19.777153,19.777153,19.631017,19.655373,25124847
1416839400,19.720322,19.833984,19.712204,19.785272,23052015
1416925800,19.825865,19.825865,19.704085,19.769035,28881219
1417012200,19.769035,19.801509,19.744678,19.793391,10775673
1417185000,19.809628,19.898853,19.785272,19.809628,9627136
1417444200,19.704085,19.760916,19.622898,19.667551,33674075
1417530600,19.655373,19.874578,19.655373,19.854281,26783300
1417617000,19.874578,19.963883,19.833984,19.943587,17824939
1417703400,19.92329,19.996358,19.842103,19.972002,20937658
1417789800,20.077545,20.223682,20.053189,20.150613,37231776
1418049000,20.126257,20.353581,20.118139,20.248038,52947070
1418135400,19.988239,20.199326,19.931409,20.199326,55549628
1418221800,20.142495,20.207444,19.907052,19.939527,63746038
1418308200,19.996358,20.166851,19.955765,19.988239,71861757
1418394600,19.833984,19.955765,19.574186,19.598542,48349087
1418653800,19.712204,19.744678,19.322506,19.41993,45962830
1418740200,19.314387,19.622898,19.225082,19.2332,45524198
1418826600,19.322506,19.679729,19.281912,19.670798,53905036
1418913000,19.972002,20.142495,19.866459,20.126257,46211027
1418999400,20.085664,20.142495,19.972002,20.036952,49136332
1419258600,20.093783,20.17497,20.04507,20.17497,19486724
1419345000,20.248038,20.3617,20.207444,20.288631,22941862
1419431400,20.353581,20.353581,20.248038,20.256156,9779038
1419604200,20.321106,20.329225,20.248038,20.256156,18159649
1419863400,20.239919,20.410412,20.199326,20.329225,22139486
1419949800,20.29675,20.351308,20.239919,20.304869,20310383
1420036200,20.377937,20.394174,20.053189,20.077545,29887594
1420209000,20.183088,20.215563,19.92329,20.077545,40535352
1420468200,19.947646,19.988239,19.60666,19.655373,50800346.99999999
1420554600,19.655373,19.720322,19.265756,19.354981,57488207
1420641000,19.517355,19.60666,19.403693,19.557948,36308360
1420727400,19.785272,19.898934,19.744678,19.850221,38018313
1420813800,19.890815,19.894874,19.574186,19.582304,36321940
1421073000,19.582304,19.631017,19.3631,19.41993,38378949
1421159400,19.54983,19.679729,19.216963,19.354981,45812425.00000001
1421245800,19.04647,19.152013,18.827265,19.078945,71398029
1421332200,19.013995,19.11142,18.811028,18.843503,58072319.00000001
1421418600,18.79479,19.078945,18.721722,19.070826,89552476
1421764200,19.127657,19.200725,18.92469,18.989639,39354070
1421850600,18.981521,19.135695,18.85974,19.038351,49280533
1421937000,19.152013,19.533592,19.022114,19.509236,97402641.99999999
1422023400,19.492999,19.529533,19.29815,19.29815,34089410
1422282600,19.261616,19.403693,19.216963,19.395574,27604580
1422369000,19.127657,19.314387,19.11142,19.184488,35207499
1422455400,19.281912,19.281994,18.802909,18.835384,85456220
1422541800,18.811028,19.030233,18.73796,18.989639,50439151
1422628200,18.770434,18.989639,18.67301,18.681129,64569125
1422887400,18.729841,19.005877,18.583704,18.981521,63021994
1422973800,19.054589,19.314387,19.054589,19.29815,66194669
1423060200,19.257556,19.411731,19.216963,19.249438,37546024
1423146600,19.306269,19.474732,19.290031,19.444286,30281898
1423233000,19.622898,19.793391,19.54983,19.598542,83286430.99999999
1423492200,19.509236,19.598542,19.452405,19.501117,37376102
1423578600,19.647254,19.695966,19.510048,19.655373,39765631
1423665000,19.631017,19.7092,19.525474,19.655373,36102021
1423751400,19.687847,19.874578,19.647254,19.850221,40659172
1423837800,19.85834,19.915171,19.756856,19.833984,23283754
1424183400,19.801509,19.947646,19.785272,19.898934,17879719
1424269800,19.874578,19.874578,19.728441,19.777153,36409300
1424356200,19.728441,19.777153,19.647254,19.695966,21562939
1424442600,19.663491,19.874578,19.541711,19.842103,40229781
1424701800,19.817747,19.817747,19.687847,19.793391,23630570
1424788200,19.842103,19.955765,19.801509,19.890815,33978548
1424874600,19.874578,19.972002,19.866459,19.890815,32678598
1424961000,19.915171,19.92329,19.773094,19.842103,33500488
1425047400,19.817747,19.85834,19.753609,19.769035,28954822
1425306600,19.777153,19.931409,19.73656,19.915171,27153660
1425393000,19.85834,19.915171,19.760916,19.85834,31748090
1425479400,19.777153,19.801509,19.659432,19.73656,47713314
1425565800,19.769035,19.85834,19.704085,19.817747,25126824
1425652200,19.890815,20.020714,19.639135,19.67161,74391397
1425907800,19.687847,19.801509,19.679729,19.760916,26682631
1425994200,19.590423,19.598542,19.338743,19.338743,49679922.00000001
1426080600,19.395574,19.533592,19.371218,19.460524,36553161
1426167000,19.622898,19.898934,19.598542,19.882696,50448488
1426253400,19.833984,19.874578,19.631017,19.744678,40941701
1426512600,19.825865,20.004477,19.825865,19.988239,39700130
1426599000,19.92329,19.988239,19.80159,19.939527,22260322
1426685400,19.890815,20.114079,19.817747,20.053189,58949871
1426771800,20.053189,20.053189,19.777153,19.866459,42511724
1426858200,19.890815,20.077545,19.825865,20.061308,47478636.00000001
1427117400,20.020714,20.118139,19.947646,19.947646,26432574
1427203800,19.931409,19.931409,19.777153,19.785272,22629046
1427290200,19.809628,19.85834,19.468643,19.468643,40594688
1427376600,19.387456,19.541711,19.309029,19.452405,40262296
1427463000,19.452405,19.476761,19.354981,19.428049,30172006
1427722200,19.574186,19.760916,19.562008,19.712204,43447648
1427808600,19.614779,19.67161,19.534404,19.574186,26147559
1427895000,19.525474,19.627931,19.41993,19.557948,32842355
1427981400,19.509236,19.687847,19.509236,19.655373,26487748
1428327000,19.492999,19.73656,19.452405,19.687847,19443829
1428413400,19.728441,19.740619,19.582304,19.582304,22359667
1428499800,19.598542,19.73656,19.598542,19.655373,22791421
1428586200,19.622898,19.704085,19.54577,19.683788,25610772
1428672600,19.695966,19.728441,19.647254,19.679729,18175631
1428931800,19.647254,19.817747,19.631017,19.752797,38134961
1429018200,19.73656,19.801509,19.639135,19.752797,32518159
1429104600,19.793391,19.907052,19.744678,19.825865,45789164
1429191000,19.817747,19.92329,19.712204,19.854281,27855414
1429277400,19.760916,19.760916,19.517355,19.590423,49093703
1429536600,19.663491,19.744678,19.651313,19.67161,19111425
1429623000,19.744678,19.769035,19.557948,19.574186,26730491
1429709400,19.590423,19.756856,19.525474,19.712204,26527141
1429795800,19.679729,19.793391,19.647254,19.744678,26310142
1429882200,19.704085,19.73656,19.639135,19.712204,23044812
1430141400,19.73656,19.817747,19.60666,19.639135,29504134
1430227800,19.60666,19.752797,19.525474,19.752797,31767379
1430314200,19.639135,19.833984,19.557948,19.744678,49922908
1430400600,19.687847,19.793391,19.517355,19.590423,42863426.00000001
1430487000,19.695966,19.785272,19.67161,19.760916,22578835
1430746200,19.842103,19.963883,19.80703,19.955765,27384041
1430832600,19.898934,20.012595,19.760916,19.777153,37739803
1430919000,19.85834,19.890815,19.541711,19.679729,36647819
1431005400,19.598542,19.866459,19.598542,19.817747,39313984
1431091800,19.92329,20.101901,19.92329,20.101901,40738192
1431351000,20.101901,20.142495,19.996358,20.028833,38377262
1431437400,19.939527,20.004477,19.793391,19.955765,48789335
1431523800,19.955765,20.036952,19.91923,19.963883,29447644
1431610200,20.061308,20.150613,20.020714,20.142495,26460954
1431696600,20.150613,20.158732,19.988239,20.053189,28511756
1431955800,20.061308,20.183088,20.036952,20.166851,19853467
1432042200,20.207444,20.345462,20.191207,20.280513,32532239
1432128600,20.321106,20.329225,20.191207,20.223682,37372185
1432215000,20.183088,20.223682,20.154673,20.17497,23185766
1432301400,20.134376,20.2318,20.134376,20.183088,16241464
1432647000,20.150613,20.150613,19.939527,19.955765,54864464.99999999
