t,o,h,l,c,v
1412688600,52.24,52.35,51.36,51.36,19321943
1412775000,51.38,52.33,51.01,52.28,23937693
1412861400,52.17,52.26,50.98,51.07,23240635
1412947800,51.07,51.17,50.31,50.32,20040951
1413207000,50.46,50.93,49.5,49.54,24625342
1413293400,49.93,50.85,49.82,50.23,22094863
1413379800,49.45,50.35,48.83,50.11,28271662
1413466200,49.28,50.905,49.15,50.48,43949163
1413552600,51.46,51.8,51.22,51.48,24733106
1413811800,51.37,51.64,51.21,51.63,17450109
1413898200,51.98,52.835,51.96,52.78,12838676
1413984600,52.99,52.99,52.04,52.09,16417679
1414071000,52.82,53.6,52.75,53.24,23317189
1414157400,53.55,53.74,53.085,53.71,8947970
1414416600,53.58,53.74,53.23,53.69,9692934
1414503000,54.01,54.69,54.01,54.64,10066790
1414589400,54.83,54.83,54.04,54.45,12589942
1414675800,54.22,54.87,53.99,54.67,10528646
1414762200,55.53,55.53,55.05,55.21,10174438
1415025000,55.29,55.34,54.895,55.14,11111447
1415111400,55.07,55.36,54.92,55.11,6232598
1415197800,55.59,55.59,55.14,55.45,8110596
1415284200,55.55,56.1,55.47,56.03,5731616
1415370600,56.05,56.15,55.85,56.11,8241631
1415629800,56.16,56.42,56.09,56.39,6131317
1415716200,56.47,56.54,56.171,56.32,9905356
1415802600,56.08,56.49,56.08,56.4,7108434
1415889000,56.4,56.62,56.065,56.24,6437026
1415975400,56.2,56.435,56.13,56.31,5554537
1416234600,56.15,56.37,56.06,56.23,4271072
1416321000,56.2,56.79,56.2,56.65,8658563
1416407400,56.62,56.64,56.27,56.48,5200447
1416493800,56.31,56.695,56.12,56.63,7383084
1416580200,57.29,57.34,57.05,57.18,7509559
1416839400,57.34,57.525,57.2,57.33,6706897
1416925800,57.47,57.62,57.29,57.5,8276930
1417012200,57.53,57.54,57.28,57.39,5373842
1417185000,57.54,57.55,56.83,56.91,5865961
1417444200,56.73,56.73,56.04,56.18,16636342
1417530600,56.4,56.72,56.17,56.66,6621039
1417617000,56.7,57.5,56.7,57.415,11434719
1417703400,57.36,57.3751,56.88,57.13,6474510
1417789800,57.22,57.48,57.09,57.26,7454583
1418049000,57.17,57.26,56.445,56.63,8838328
1418135400,56,56.71,55.84,56.64,10282175
1418221800,56.48,56.59,55.5,55.56,12942179
1418308200,55.47,56.2999,55.39,55.825,11749853
1418394600,55.37,55.61,54.79,54.82,13168792
1418653800,55.28,55.31,54.35,54.64,16225643
1418740200,54.55,55.77,54.51,54.69,15504567
1418826600,54.53,55.34,54.14,55.2,21899688
1418913000,56.25,56.63,55.77,56.59,14040435
1418999400,56.45,56.81,56.31,56.59,12359046
1419258600,56.8,57.15,56.72,57.13,6987860
1419345000,57.42,57.565,57.24,57.34,5552859
1419431400,57.47,57.56,57.35,57.4,1958227
1419604200,57.6,57.6,57.4,57.4,5733866
1419863400,57.33,57.54,56.91,57.49,3566178
1419949800,57.73,57.73,57.07,57.15,3602769
1420036200,57.38,57.38,56.55,56.58,5572882
1420209000,56.86,56.94,56.02,56.51,10982791
1420468200,56.04,56.26,55.065,55.19,15144717
1420554600,55.25,55.31,54.16,54.51,19209840
1420641000,55.02,55.16,54.65,54.92,11770275
1420727400,55.41,56.05,55.29,56.02,11419814
1420813800,56.09,56.15,55.33,55.42,10168249
1421073000,55.46,55.51,54.79,55.04,11229468
1421159400,55.5,55.93,54.41,54.93,17530923
1421245800,54.26,54.71,53.98,54.63,19597505
1421332200,54.85,55.05,54.33,54.37,15614528
1421418600,54.16,54.77,53.89,54.73,16371453
1421764200,55.1,55.24,54.525,55.12,11072062
1421850600,54.96,55.69,54.92,55.57,8943537
1421937000,55.84,56.58,55.59,56.46,10950899
1422023400,56.06,56.39,55.94,55.985,10148531
1422282600,55.88,56.16,55.6,56.06,6037041
1422369000,55.01,55.64,54.87,55.32,12118532
1422455400,55.75,55.81,54.77,54.84,14674032
1422541800,54.9,55.57,54.53,55.47,14215107
1422628200,54.86,55.24,54.52,54.57,14649998
1422887400,54.71,55.44,54.21,55.38,19465857
1422973800,55.75,56.32,55.66,56.28,18896189
1423060200,56.11,56.205,55.68,55.85,10600107
1423146600,56.03,56.4,55.878,56.33,9193851
1423233000,56.38,56.68,56.07,56.2,6192209
1423492200,55.89,56.31,55.875,56.05,7112087
1423578600,56.35,56.46,55.89,56.36,9000366
1423665000,56.25,56.59,56.135,56.38,7058071
1423751400,56.57,56.96,56.51,56.91,6249088
1423837800,57,57.275,56.86,57.17,5922379
1424183400,57.04,57.36,56.98,57.25,4174430
1424269800,57.3,57.61,57.2,57.57,5806383
1424356200,57.39,57.805,57.39,57.67,5458042
1424442600,57.56,58.2199,57.2201,58.16,8557441
1424701800,58.1,58.11,57.805,57.91,6238322
1424788200,57.9,58.195,57.77,58.14,4989250
1424874600,58.09,58.23,57.94,58.02,4574121
1424961000,57.97,58.07,57.63,57.76,6443067
1425047400,57.71,57.84,57.49,57.49,7201523
1425306600,57.62,58.025,57.49,58.02,8560219
1425393000,57.89,57.89,57.42,57.65,7716029
1425479400,57.39,57.46,56.94,57.2,6262449
1425565800,57.24,57.3,57.03,57.24,4990963
1425652200,56.62,57.07,56.385,56.46,8247154
1425907800,56.46,57.09,56.46,56.99,6106961
1425994200,56.59,56.59,55.94,55.94,10087774
1426080600,56.06,56.16,55.84,55.88,9394675
1426167000,55.99,56.645,55.98,56.6,8721199
1426253400,56.5,56.545,55.745,56.08,11110506
1426512600,56.31,57.04,56.31,57.01,11142282
1426599000,56.71,56.94,56.58,56.78,8362080
1426685400,56.53,57.63,56.25,57.45,20049506
1426771800,57.33,57.35,56.845,57.06,10568565
1426858200,57.06,57.31,56.9538,57.12,10878007
1427117400,57.22,57.22,56.64,56.64,7219230
1427203800,56.52,56.755,56.35,56.45,12607400
1427290200,56.6,56.6,55.49,55.49,9037266
1427376600,55.22,55.54,54.95,55.34,10123997
1427463000,55.25,55.63,55.2,55.55,4969410
1427722200,55.8,56.4875,55.71,56.33,5838035
