t,o,h,l,c,v
1412688600,19.74,19.755,19.485,19.485,18013384
1412775000,19.51,19.89,19.375,19.855,17341294
1412861400,19.835,19.87,19.505,19.525,30600718
1412947800,19.395,19.495,19.025,19.025,60365234
1413207000,19,19.185,18.79,18.815,57208856
1413293400,18.97,19.06,18.795,18.845,43084270
1413379800,18.575,18.79,18.29,18.715,58134428
1413466200,18.4,18.7275,18.35,18.605,54246224
1413552600,18.79,18.96,18.7,18.825,25574146
1413811800,18.72,18.97,18.625,18.96,18442818
1413898200,19.095,19.34,19.095,19.33,23146588
1413984600,19.395,19.44,19.225,19.24,24158346
1414071000,19.375,19.56,19.3355,19.455,64431968
1414157400,19.54,19.64,19.43,19.625,13806342
1414416600,19.565,19.695,19.545,19.645,11886972
1414503000,19.7,19.925,19.7,19.915,15490962
1414589400,19.89,19.96,19.77,19.895,26352200
1414675800,19.88,19.9975,19.795,19.96,18376308
1414762200,20.205,20.275,20.165,20.27,19925956
1415025000,20.295,20.39,20.265,20.355,19061652
1415111400,20.325,20.405,20.225,20.35,12866390
1415197800,20.475,20.485,20.315,20.405,14556202
1415284200,20.395,20.41,20.27,20.395,17179234
1415370600,20.415,20.44,20.32,20.42,14951436
1415629800,20.41,20.495,20.375,20.475,9641848
1415716200,20.49,20.495,20.4,20.485,6108514
1415802600,20.42,20.565,20.41,20.55,9033188
1415889000,20.6,20.73,20.5655,20.66,10792252
1415975400,20.665,20.805,20.665,20.805,8686538
1416234600,20.745,20.79505,20.665,20.765,8265344
1416321000,20.75,20.88,20.745,20.835,9659872
1416407400,20.84,20.84,20.605,20.7,14333990
1416493800,20.63,20.805,20.59,20.805,9794770
1416580200,20.97,20.98,20.75165,20.835,12925564
1416839400,20.875,20.95,20.815,20.945,6226420
1416925800,20.975,21.04,20.94,20.955,9489166
1417012200,20.96,21.155,20.96,21.145,20482094
1417185000,21.185,21.29,21.145,21.245,10865082
1417444200,21.195,21.22,20.915,21.0025,23329454
1417530600,20.995,21.045,20.925,21.01,11261276
1417617000,21.055,21.12,20.9625,21.085,8543364
1417703400,21.07,21.15,21.005,21.085,7533656
1417789800,21.1,21.14,21.01,21.06,14358916
1418049000,21.02,21.055,20.755,20.845,13379890
1418135400,20.57,20.87,20.5,20.84,16443380
1418221800,20.845,20.845,20.485,20.525,16541104
1418308200,20.56,20.85,20.56,20.615,18076326
1418394600,20.455,20.6075,20.285,20.3075,17965920
1418653800,20.445,20.52775,20.09505,20.185,20502246
1418740200,20.04,20.405,19.915,19.915,31303060
1418826600,19.975,20.35495,19.94,20.29,30565908
1418913000,20.65,20.88,20.59,20.87,21318516
1418999400,20.85,20.895,20.76,20.785,23388844
1419258600,20.865,21.035,20.83,21.035,12214062
1419345000,21.125,21.16,21.0775,21.09,13398838
1419431400,21.14,21.14,21.065,21.07,5311272
1419604200,21.11,21.1975,21.0975,21.16,4557032
1419863400,21.08,21.14,21.035,21.055,9276576
1419949800,21.015,21.0425,20.885,20.905,11006880
1420036200,20.975,20.99825,20.655,20.675,11910586
1420209000,20.805,20.855,20.53005,20.635,16990464
1420468200,20.56,20.56,20.26,20.32,14389466
1420554600,20.38,20.38,19.98,20.075,17491204
1420641000,20.23,20.295,20.1,20.245,13069156
1420727400,20.41,20.735,20.38,20.69,28423442
1420813800,20.75,20.8,20.47495,20.625,18339830
1421073000,20.615,20.665,20.315,20.385,11257488
1421159400,20.555,20.8075,20.225,20.37,23358460
1421245800,20.205,20.345,20.0695,20.255,17661380
1421332200,20.34,20.39,19.98,19.995,18655482
1421418600,19.93,20.21,19.91995,20.19,37642942
1421764200,20.31,20.405,20.10275,20.36,24031656
1421850600,20.27,20.48,20.17,20.395,27838176
1421937000,20.45,20.745,20.28,20.73,17624392
1422023400,20.725,20.82,20.657,20.725,12957544
1422282600,20.7,20.755,20.575,20.64,19467020
1422369000,20.3,20.3,19.955,20.045,21583910
