t,o,h,l,c,v
1412688600,45.23,45.52,45.19,45.19,11318624
1412775000,45.26,45.87,45.195,45.85,9800332
1412861400,45.81,46.11,45.39,45.39,15077445
1412947800,45.43,46.0799,45.43,45.61,11403399
1413207000,45.59,45.66,44.95,44.98,20244903
1413293400,45.12,45.21,44.8549,44.96,12853970
1413379800,44.54,44.81,43.78,44.42,22241288
1413466200,43.83,44.3152,43.685,44.09,19593407
1413552600,44.49,44.75,44.08,44.63,12534396
1413811800,44.55,45.31,44.51,45.27,17229314
1413898200,45.13,45.46,44.95,45.46,13863618
1413984600,45.49,45.8699,45.41,45.56,10426950
1414071000,45.74,45.84,45.45,45.53,12604762
1414157400,45.69,45.948,45.62,45.91,9205587
1414416600,45.79,46.21,45.74,46.02,4917193
1414503000,46.22,46.22,46,46.2,5633457
1414589400,46.2,46.3,45.85,46.12,6381152
1414675800,46.17,46.52,45.88,46.41,5020245
1414762200,46.83,46.84,46.56,46.71,8184328
1415025000,46.64,46.92,46.64,46.89,15004875
1415111400,46.81,47.21,46.79,47.14,10508271
1415197800,47.41,47.665,47.24,47.47,7780420
1415284200,47.52,47.67,47.35,47.57,5637974
1415370600,47.5,47.74,47.32,47.74,5911985
1415629800,47.66,47.96,47.55,47.95,4209548
1415716200,47.93,48,47.76,47.86,3277790
1415802600,47.66,47.93,47.645,47.86,4923730
1415889000,47.9,48.26,47.86,48.03,7507089
1415975400,48.05,48.07,47.64,47.76,7544498
1416234600,47.68,48.08,47.68,48.08,4049631
1416321000,48.08,48.34,48,48.26,5015424
1416407400,48.24,48.5068,48.18,48.46,4919496
1416493800,48.31,48.39,48.18,48.25,4075960
1416580200,48.65,48.74,48.36,48.45,5042250
1416839400,48.54,48.661,48.34,48.42,4912040
1416925800,48.42,48.58,48.34,48.46,6157520
1417012200,48.46,48.69,48.45,48.68,3644780
1417185000,48.83,49.42,48.8,49.3,4640929
1417444200,49.08,49.19,48.9,48.975,8330430
1417530600,48.96,49.19,48.93,49.15,6130948
1417617000,49.16,49.16,48.69,48.8,5909648
1417703400,48.81,48.87,48.54,48.76,8023886
1417789800,48.73,48.86,48.55,48.85,6732101
1418049000,48.8,49.01,48.62,48.75,4653631
1418135400,48.38,48.61,48.11,48.59,6120032
1418221800,48.59,48.73,48.08,48.13,5304833
1418308200,48.3,48.81,48.14,48.53,5233674
1418394600,48.24,48.71,47.9,47.91,6812470
