t,o,h,l,c,v
1412688600,21.275,21.475,21.19,21.24,24451500
1412775000,21.275,21.745,21.24,21.72,35153090
1412861400,21.74,21.835,21.3475,21.365,31548288
1412947800,21.415,21.67,21.415,21.465,36549464
1413207000,21.51,21.74,21.435,21.445,34227144
1413293400,21.515,21.895,21.445,21.64,44017410
1413379800,21.58,21.7951,20.95,21.355,45711464
1413466200,21.145,21.42,20.97,21.375,41751164
1413552600,21.47,21.54,21.19,21.5,31231374
1413811800,21.565,21.815,21.48,21.8,20949230
1413898200,21.85,21.91,21.73,21.875,20175906
1413984600,21.85,22.18,21.845,22.01,27897108
1414071000,22.07,22.19,21.9675,22.05,18925412
1414157400,22.085,22.33,22.06,22.265,21247988
1414416600,22.26,22.37,22.16245,22.215,16625516
1414503000,22.24,22.38,22.1039,22.37,21548282
1414589400,22.385,22.465,22.015,22.24,30618844
1414675800,22.265,22.745,22.255,22.73,67734808
1414762200,22.785,22.815,22.55,22.735,32198316
1415025000,22.76,22.955,22.735,22.885,26256952
1415111400,22.895,23.01,22.655,22.765,30372448
1415197800,22.75,23.305,22.75,23.28,43090248
1415284200,23.25,23.25,22.75,22.885,74182202
1415370600,22.945,23.13,22.865,23.125,23573900
1415629800,23.095,23.265,23.0125,23.24,18869736
1415716200,23.235,23.28,23.0675,23.155,11125972
1415802600,23.185,23.185,22.645,22.75,36118714
1415889000,22.78,22.8725,22.5,22.565,30232640
1415975400,22.51,22.58,22.42,22.47,15695608
1416234600,22.495,22.805,22.4325,22.765,17124760
1416321000,22.82,22.945,22.69,22.83,13373490
1416407400,22.77,22.875,22.66,22.81,24266828
1416493800,22.74,22.87,22.665,22.76,16630254
1416580200,22.86,22.965,22.645,22.85,29753448
1416839400,22.88,22.91295,22.635,22.66,23462520
1416925800,22.67,22.7,22.5216,22.66,26221280
1417012200,22.65,22.83,22.65,22.76,13653012
1417185000,22.78,23.105,22.78,23,15589200
1417444200,22.955,23.235,22.8125,23.045,38350516
1417530600,23.005,23.27,22.905,23.2,26666272
1417617000,23.215,23.225,23,23.135,16354916
1417703400,23.125,23.235,23.01,23.115,27733126
1417789800,22.88,23.035,22.82,22.935,34148822
1418049000,22.935,23.21,22.93,23.12,24211928
1418135400,22.985,23.2895,22.985,23.235,21023108
