t,o,h,l,c,v
1412688600,63.98,64.01,63.09,63.09,11281754
1412775000,63.22,64.75,63.055,64.7,11412295
1412861400,64.6,64.665,63.32,63.36,15686362
1412947800,63.29,64.06,62.97,62.97,15607184
1413207000,63,63.03,61.41,61.48,17939415
1413293400,61.85,62.06,60.6,61.02,19320985
1413379800,60.33,60.79,59.205,60.52,32120124
1413466200,59.7,60.915,59.45,60.21,30185004
1413552600,60.79,61.56,60.645,61.17,15704741
1413811800,60.97,61.96,60.97,61.91,9854756
1413898200,62.43,63.59,62.37,63.55,14962042
1413984600,63.57,63.73,63.05,63.23,13813756
1414071000,63.73,64.66,63.73,64.31,11165017
1414157400,64.49,65.24,64.35,65.21,9703455
1414416600,65.22,65.35,64.99,65.28,9110783
1414503000,65.8,65.8,65.18,65.76,8770851
1414589400,65.74,65.975,65.35,65.79,10162376
1414675800,65.69,67.04,65.63,67,11630631
1414762200,67.86,67.99,67.05,67.27,11388664
1415025000,67.37,67.46,66.87,67.35,8681072
1415111400,67.33,67.54,66.95,67.36,5716005
1415197800,67.97,67.99,67.13,67.29,6592084
1415284200,67.38,67.85,67.38,67.7,7962369
1415370600,67.7,67.76,66.82,67.03,13895564
1415629800,67.18,67.7351,66.92,67.71,5455262
1415716200,67.86,68.21,67.69,67.96,9777484
1415802600,67.7,67.97,67.59,67.86,3879944
1415889000,67.96,68.2,67.49,67.81,5216636
1415975400,67.79,67.79,66.98,67.25,6331845
1416234600,67.11,67.76,67.11,67.58,8587202
1416321000,67.63,68.72,67.57,68.67,8240094
1416407400,68.59,68.63,68.1102,68.29,6253619
1416493800,67.99,68.27,67.775,68,9041595
1416580200,68.68,68.82,68.13,68.32,8098686
1416839400,68.59,68.68,68.45,68.67,5020069
1416925800,68.81,68.97,68.485,68.76,5510248
1417012200,68.99,69.21,68.72,69.18,5325907
1417185000,69.25,69.99,69.25,69.61,4395483
1417444200,69.36,69.94,69.27,69.44,8537446
1417530600,69.69,70.31,69.69,70.21,7444845
1417617000,70.37,70.4272,70.05,70.32,6576989
1417703400,70.2,70.61,69.96,70.23,4235366
1417789800,70.28,70.849,70.21,70.79,8325072
1418049000,70.7,71.4263,70.7,71.04,5942764
1418135400,70.22,70.81,69.81,70.74,9776261
1418221800,70.69,70.73,69.6,69.65,9011217
1418308200,69.91,70.67,69.69,69.85,7383296
1418394600,69.46,69.86,68.72,68.78,10438571
1418653800,69.19,69.21,67.91,68.15,17776209
1418740200,67.86,69.02,67.32,67.36,14735628
1418826600,67.44,68.785,67.31,68.62,17776237
1418913000,69.43,70.51,69.28,70.5,16048093
1418999400,70.5,70.93,70.02,70.41,17821989
1419258600,70,70.12,69.39,69.74,9896619
1419345000,69.9,69.95,67.78,68.14,22190387
1419431400,68.19,69.025,68.13,68.64,4519110
1419604200,68.91,69.32,68.87,69.13,4242831
1419863400,69.06,69.47,68.98,69.37,5225880
1419949800,69.26,69.42,68.99,69.07,4965135
1420036200,69.27,69.66,68.37,68.38,7863590
1420209000,68.71,69.3501,68.35,68.63,7516770
1420468200,68.32,68.875,68.15,68.28,10784758
1420554600,68.51,69.09,67.63,68.05,13344507
1420641000,68.51,69.67,68.36,69.65,14146442
1420727400,70.34,70.92,70.22,70.84,22138371
1420813800,70.9,70.98,69.97,70.21,9724348
1421073000,70.75,70.996,70.05,70.24,11972057
1421159400,70.9,71.29,69.34,69.93,14219779
1421245800,69.26,69.995,69.07,69.82,12547964
1421332200,70.08,70.21,69.0301,69.07,16382777
1421418600,68.96,70.495,68.94,70.37,13759279
1421764200,70.48,70.66,69.55,70.37,10387243
1421850600,70.3,70.78,69.95,70.51,8391032
1421937000,70.82,71.36,69.84,71.35,11497378
1422023400,71.25,71.32,70.905,70.94,6815557
1422282600,71.01,71.35,70.58,71.31,7871692
1422369000,70.67,71.3,70.5,70.8,10040133
1422455400,70.93,71.19,69.665,69.78,11005442
1422541800,69.78,70.43,69.22,70.37,12119965
1422628200,70.07,70.53,69.17,69.27,13886498
1422887400,69.4,69.69,68.44,69.66,18042262
1422973800,70,70.16,69.07,70.13,17432769
1423060200,69.29,69.63,68.87,69.25,15184796
1423146600,69.69,70.48,69.69,70.42,10801369
1423233000,70.42,70.7099,69.59,69.78,11886074
1423492200,69.46,69.6599,68.8,68.96,8139027
1423578600,69.52,70.19,69.36,70.12,8629017
1423665000,70.18,70.57,69.79,70.19,8088132
1423751400,70.52,70.639,69.85,70.44,10124113
1423837800,70.49,70.78,70.17,70.72,8592300
1424183400,70.79,71.26,70.72,71.23,8381717
1424269800,71.22,71.35,70.87,71.31,7780916
1424356200,71.23,71.55,71.11,71.43,5383564
1424442600,71.33,72.21,71.2,72.18,8213664
1424701800,72.29,72.74,72.1611,72.51,8577479
1424788200,72.61,72.65,72.15,72.42,8052216
1424874600,72.36,72.605,72.1,72.39,9629676
1424961000,72.39,72.62,72.0501,72.59,4424872
1425047400,72.56,72.65,72.2,72.24,6745251
1425306600,72.47,72.91,72.34,72.89,6769915
1425393000,72.85,72.86,71.87,72.23,10144017
1425479400,72.02,72.68,71.6,72.58,9153510
1425565800,72.67,73.17,72.58,72.84,6252116
1425652200,72.5,72.66,71.315,71.41,12314891
1425907800,71.63,71.92,71.22,71.85,10306278
1425994200,71.22,71.54,71,71.05,12323925
1426080600,71.43,71.51,70.9627,71.01,7525106
1426167000,71.34,71.95,71.27,71.95,7574171
1426253400,71.85,72.28,71.33,71.81,6480353
1426512600,72.43,73.41,72.17,73.4,13635139
1426599000,73.14,73.34,72.735,73.19,10142499
1426685400,73.03,74.45,72.75,74.14,12886940
1426771800,74.14,74.665,74.01,74.57,9403877
1426858200,75.4,76.01,74.48,74.9,9544290
1427117400,74.67,75.09,74.404,74.69,4667762
1427203800,74.78,74.98,74.03,74.04,8467691
1427290200,74.25,74.62,72.67,72.69,15039073
1427376600,72.28,73.12,71.92,72.52,18253751
1427463000,72.72,73.32,72.6,73.04,8841565
1427722200,73.63,73.89,73.54,73.78,8008154
1427808600,73.49,74.17,72.5,72.5,8442900
1427895000,72.53,72.81,71.31,71.77,21829329
1427981400,71.84,72.32,71.64,71.99,7560107
1428327000,71.59,72.49,71.5,72.1,5746209
1428413400,72.28,72.81,72.21,72.27,5599340
1428499800,72.43,73.2,72.34,72.88,12577094
1428586200,72.9,73.55,72.795,73.43,8181416
1428672600,73.5,74.16,73.21,74.06,5084287
1428931800,74.11,74.44,73.63,73.66,6814835
1429018200,73.74,73.86,73.18,73.78,5878683
1429104600,74.19,74.33,73.83,73.97,6254622
1429191000,74.05,74.23,73.82,73.93,4439529
1429277400,73.46,73.65,72.815,73.29,12115355
1429536600,73.66,73.94,73.55,73.74,6659541
1429623000,74.11,74.45,74.08,74.23,6577201
1429709400,74.4,74.51,73.97,74.35,6078169
1429795800,74.24,74.82,73.89,74.63,10532499
1429882200,74.48,74.73,74.07,74.39,10397196
1430141400,74.57,74.64,72.945,73.04,17847730
