t,o,h,l,c,v
1412688600,33.145,33.21,32.8,32.8,12900262
1412775000,32.825,33.375,32.635,33.315,14306222
1412861400,33.295,33.295,32.555,32.56,45401586
1412947800,32.505,32.785,32.275,32.275,22018286
1413207000,32.26,32.335,31.595,31.62,42632998
1413293400,31.81,32.095,31.69,31.85,22489952
1413379800,31.4,31.745,30.84,31.585,30186490
1413466200,30.88,31.83,30.88,31.62,25368044
1413552600,31.875,32.24,31.84,31.97,17024256
1413811800,31.89,32.445,31.89,32.415,12384412
1413898200,32.56,33.0786,32.5275,33.045,11068906
1413984600,33.14,33.22,32.7325,32.76,15529182
1414071000,33.125,33.4275,33.05,33.205,10367540
1414157400,33.105,33.2,32.935,33.175,9014152
1414416600,33.13,33.315,33.03,33.24,7452510
1414503000,33.38,33.61,33.265,33.6,15388986
1414589400,33.645,33.715,33.325,33.5,9787242
1414675800,33.43,33.82,32.5,33.72,10203792
1414762200,34.17,34.2025,33.955,34.05,9478838
1415025000,34.13,34.13,33.9875,34.05,31852296
1415111400,33.87,33.925,33.465,33.64,9889278
1415197800,33.925,33.935,33.585,33.775,21506864
1415284200,33.82,34.08,33.77235,34.06,22499952
1415370600,33.95,34.04,33.86,34.00335,7542042
1415629800,34.065,34.075,33.78,33.985,5300820
1415716200,34.025,34.135,33.93,34.13,6460760
1415802600,34.02,34.345,34.02,34.29,10533274
1415889000,34.175,34.5925,34.175,34.505,21600298
1415975400,34.54,34.655,34.465,34.64,19115978
1416234600,34.525,34.705,34.505,34.6,8062206
1416321000,34.525,34.75,34.51205,34.665,8964146
1416407400,34.725,34.835,34.625,34.81,10035198
1416493800,34.65,35.05,34.64,34.96,10706210
1416580200,35.295,35.3275,34.955,35.045,15564498
1416839400,35.23,35.385,35.16,35.37,6685136
1416925800,35.49,35.58755,35.35,35.48,8501822
1417012200,35.47,35.505,35.411,35.475,4674722
1417185000,35.625,35.975,35.625,35.905,6714344
1417444200,35.8,35.805,35.46,35.51,23771018
1417530600,35.56,35.715,35.54,35.645,10333750
1417617000,35.7,35.74,35.545,35.705,11326324
1417703400,35.675,35.75495,35.51,35.685,12190116
1417789800,35.695,35.825,35.685,35.765,8961000
1418049000,35.69,35.7629,35.355,35.475,8405872
1418135400,35.275,35.44,34.985,35.41,8876060
1418221800,35.35,35.405,34.905,34.94,10930356
1418308200,35.095,35.54,35.07,35.225,35139604
1418394600,35.07,35.375,34.93,35,24352126
1418653800,35.195,35.275,34.6125,34.7885,17764962
1418740200,34.675,34.93,34.225,34.255,18229650
1418826600,34.41,34.97,34.32,34.91,19427814
1418913000,35.405,35.485,35.035,35.485,37696998
1418999400,35.44,35.535,35.23,35.435,19660286
1419258600,35.5,35.78,35.5,35.78,9902402
1419345000,35.9,36.095,35.855,35.98,14674502
1419431400,36.075,36.075,35.91,35.92,3375598
1419604200,36.02,36.19,35.97,36.115,28204634
1419863400,36.095,36.455,36.015,36.39,46027190
1419949800,36.29,36.38,36.145,36.22,12102474
1420036200,36.335,36.4875,36.06,36.075,13327918
1420209000,36.265,36.32725,35.57,35.815,12370984
1420468200,35.68,35.765,35.055,35.13,17165726
1420554600,35.275,35.287,34.545,34.78,14345904
1420641000,35.365,35.365,35.005,35.33,14821964
1420727400,35.625,35.91,35.46,35.86,12798250
1420813800,35.855,35.885,35.405,35.445,11258306
1421073000,35.515,35.56,35.11,35.255,12056698
1421159400,35.645,35.845,34.98,35.255,15103260
1421245800,34.78,34.965,34.43,34.83,20350064
1421332200,34.91,35.05,34.37,34.38,16102450
1421418600,34.4,34.8725,34.25,34.835,19104190
1421764200,34.875,34.95,34.325,34.635,27874524
