t,o,h,l,c,v
1412602200,94.01,95.33,93.91,94.52,10599719
1412688600,94.27,95.19,93.33,93.37,10787852
1412775000,93.42,94.83,92.42,94.61,15592479
1412861400,94.05,94.49,91.63,91.82,17917680
1412947800,92.44,93.27,90.9,91.6,18173104
1413207000,91.32,92.53,90.76,90.84,14451647
1413293400,91.49,92.23,90.0601,90.55,23121774
1413379800,89,90.61,86.91,90.22,24704546
1413466200,88.58,91.27,88.18,90.6,25215899
1413552600,91.13,92.25,90.5,91.21,18194303
1413811800,90.63,91.89,90.63,91.77,10826502
1413898200,92.86,94.03,92.36,93.65,15757046
1413984600,93.96,94.585,92.98,93.13,12742932
1414071000,94.31,94.98,93.87,94.11,11352718
1414157400,94.19,94.53,93.22,94.49,9740056
1414416600,93.85,93.85,92.77,93.71,11394514
1414503000,94.44,95.195,93.93,95.1,12570452
1414589400,95.42,95.98,93.62,94.59,12410105
1414675800,93.87,94.67,93.22,94.45,9767918
1414762200,94.99,96.89,94.31,96.71,17493736
1415025000,96.56,97.1,94.8,95.26,13410561
1415111400,94.5,94.89,93.89,94.52,13498531
1415197800,95.36,95.77,94.65,95.07,12480033
1415284200,95.18,96.42,94.28,96.26,14731392
1415370600,95.8,97.16,95.72,96.59,13233484
1415629800,96.87,97.1,96.07,96.28,9087594
1415716200,95.78,96.51,95.61,96.41,7990045
1415802600,95.9,96.4,95.11,95.38,11592788
1415889000,94.96,95.21,93.83,94.66,12355397
1415975400,94.87,95.11,94.65,95.09,9352535
1416234600,94.85,95.14,94.19,95.11,8704386
1416321000,95.08,95.75,94.53,94.87,9272445
1416407400,95.08,95.74,94.13,95.61,8333169
1416493800,95.37,95.9,95.26,95.82,8422369
1416580200,97.2,97.2,96.1,96.81,12374854
1416839400,96.34,96.8,95.25,95.72,10172405
1416925800,96.01,96.03,94.37,94.78,13747362
1417012200,94.64,95.13,94.36,94.48,9822941
1417185000,91.5,91.85,90.11,90.54,19556690
1417444200,90.36,92.87,90.28,92.35,27584224
1417530600,92.32,94.67,92.01,94.19,20885295
1417617000,94.67,95.33,94,94.95,16220449
1417703400,94.13,94.61,93.07,94.37,13115285
1417789800,93.95,94.59,93.3542,93.82,11831896
1418049000,92.9,93.13,91.365,91.7,15735859
1418135400,91.23,92.06,90.76,91.38,15883826
1418221800,90.72,90.73,88.2,88.67,22279389
1418308200,88.86,91.54,88.85,89.2,21522152
1418394600,88.71,89,86.6,86.6,24568339
1418653800,87.53,88.6,86.5,86.9,21373561
1418740200,86.38,89.2,86.19,86.41,26372409
1418826600,87.24,89.9,87.15,89.02,23323043
1418913000,90.37,91.16,88.4,91.16,22882705
1418999400,90.21,93.64,89.61,93.64,38468954
1419258600,92.96,93.67,92.45,93.33,17871762
1419345000,93.52,95.18,93.0472,94.59,13706536
1419431400,94.22,94.25,92.98,93.78,6875691
1419604200,93.99,94.43,92.62,93.21,10584997
1419863400,93.33,93.86,92.89,93.07,9892119
1419949800,92.77,93.39,92.51,93.02,8743369
1420036200,92.42,93.13,92.06,92.45,11337219
1420209000,92.25,93.05,91.81,92.83,10220410
1420468200,92.1,92.4,89.5,90.29,18502381
1420554600,90.24,91.41,89.02,89.81,16670713
1420641000,90.65,91.48,90,90.72,13590721
1420727400,91.25,92.27,91,92.23,15487496
1420813800,92.3,92.78,91.37,92.1,14488415
1421073000,91.24,91.34,89.82,90.33,15176303
1421159400,90.88,91.43,89.11,90,17469028
1421245800,88.95,89.89,87.26,89.74,23272056
1421332200,90.43,90.66,88.51,88.96,18759590
1421418600,88.98,91.19,88.98,91.12,17713093
1421764200,91.14,91.78,90.38,91.09,16760994
1421850600,91.74,91.99,91.01,91.87,14276380
1421937000,92.31,92.9658,91.32,92.87,13558953
1422023400,92.28,92.48,90.785,90.89,14706313
1422282600,90.61,91.94,90.47,91.76,10672507
1422369000,91.24,91.6,90.6,90.95,12301462
1422455400,90.88,90.93,87.82,87.95,17829700
1422541800,88.22,88.26,86.03,87.58,22682981
1422628200,87.16,88.42,86.25,87.42,22679947
1422887400,87.85,89.59,87.5,89.58,20306347
1422973800,90.9,92.33,90.81,92.25,21900857
1423060200,91.64,92.27,90.51,91.46,19632169
1423146600,92.39,92.54,91.7,92.36,12809028
1423233000,92.1,92.28,90.96,91.5,12331189
1423492200,91.4,92.29,91.2366,91.56,11360679
1423578600,91.74,91.74,90.3,91.01,12952873
1423665000,90.02,90.83,89.79,90.6,12240595
1423751400,91.46,92.66,91.02,92.37,14842992
1423837800,92.7,93.45,92.28,93.37,12060981
1424183400,92.75,93.07,92.29,93.05,11758746
1424269800,91.99,91.99,90.39,91.01,19177925
1424356200,89.64,90.42,88.58,89.44,19350556
1424442600,89.4,89.94,88.85,89.92,15959865
1424701800,89.26,89.55,88.74,89.01,12771790
1424788200,89.33,89.78,89.13,89.42,9990726
1424874600,89.57,89.7,89.08,89.6,9925652
1424961000,89.13,89.18,88.08,88.65,13984008
1425047400,88.89,89.28,88.34,88.54,13090560
1425306600,88.34,88.52,87.35,88.04,13793671
1425393000,87.93,88.02,87.13,87.62,13493839
1425479400,87.96,87.96,86.93,87.18,13467554
1425565800,87.07,87.1864,86.52,86.74,12527581
1425652200,86.41,86.6,85.32,85.63,16070466
1425907800,86.12,86.38,85.12,85.16,14503802
1425994200,84.82,85.53,84.24,84.26,17195460
1426080600,84.93,84.93,84,84.02,13004655
1426167000,84.43,84.72,84.06,84.22,10792898
1426253400,83.9,84.18,82.68,83.87,16799920
1426512600,83.71,84.86,83.27,84.76,13516235
1426599000,84.54,84.85,84.015,84.08,12979713
1426685400,83.54,86.37,83.43,86.07,18745653
1426771800,85.19,85.5,84.325,84.41,12738497
1426858200,84.67,85.4,84.39,84.54,36083450
1427117400,85.02,85.7801,85.01,85.43,17450685
1427203800,85.3,85.78,84.5,84.52,10174292
1427290200,85.05,85.57,84.77,84.86,11934737
1427376600,85.3,85.57,84.09,84.32,14400695
1427463000,84.04,84.05,83.33,83.58,11579299
1427722200,84.27,85.82,84.25,85.63,15653170
1427808600,84.85,85.34,84.46,85,13353990
1427895000,85.7,86,84.26,84.46,14522257
1427981400,84.09,84.94,83.854,84.3,11297401
1428327000,85.15,85.64,84.2,85.13,10916434
1428413400,85.01,86.17,84.756,85.75,11836065
1428499800,85.8,85.9,84.02,84.06,16257095
1428586200,84,84.73,83.81,84.65,13281833
1428672600,85.37,86.04,84.77,85.56,13372433
1428931800,85.92,86.25,85.24,85.34,9880507
1429018200,85.6,87.475,85.53,86.63,15693825
1429104600,87.14,88.53,87.14,88.08,15332834
1429191000,87.88,88.16,87.11,87.73,9570809
1429277400,87.14,87.36,86.155,86.93,14430130
