t,o,h,l,c,v
1161783000,137.74001,138.41,137.50999,138.35001,80750816
1161869400,138.66,139.0,137.98,138.78,66848368
1161955800,138.61,138.75,137.63,137.91,80239376
1162218600,137.66,138.2,137.39999,137.81,49718096
1162305000,138.07001,138.25999,137.25,137.78999,71297184
1162391400,138.22,138.31,136.72,136.86,83006496
1162477800,136.50999,137.00999,136.36,136.78,60703904
1162564200,137.27,137.39,135.62,136.53999,71346368
1162823400,136.96001,138.28,136.95,138.08,63312704
1162909800,138.2,138.98,138.0,138.61,63363200
1162996200,138.0,139.05,136.86,138.91,87519632
1163082600,139.00999,139.14,137.89999,138.17999,95917680
1163169000,138.14,138.34,137.72,138.24001,48992000
1163428200,138.17999,139.03999,138.07001,138.58,59403504
1163514600,138.97,139.74001,138.12,139.62,96704192
1163601000,139.57001,140.45,139.53,140.02,76518192
1163687400,140.44,140.67999,139.49001,140.38,76740128
1163773800,139.92999,140.42999,139.73,140.42,56357296
1164033000,140.3,140.74001,139.94099,140.5,69185504
1164119400,140.49001,140.67,140.28999,140.64,51371392
1164205800,140.75,141.16,140.5,140.92,45508704
1164378600,140.24001,140.84,140.2,140.35001,30998192
1164637800,140.28,140.35001,138.38,138.42,84547376
1164724200,138.24001,139.16,138.11,139.02,106667680
1164810600,139.47,140.53,139.08279,140.47,91542000
1164897000,140.44,141.05,139.75999,140.53,83997680
1164983400,140.53,140.66,138.97,140.22,126156688
1165242600,140.25,141.55,140.23,141.28999,87814496
1165329000,141.56,141.96001,141.25999,141.89999,73380688
1165415400,141.87,142.07001,141.5,141.78,53324000
1165501800,142.03,142.3,141.11,141.16,62850304
1165588200,141.13,141.89999,140.78,141.42,79624624
1165847400,141.42,142.09,141.34,141.83,39779296
1165933800,141.69,141.87,140.89,141.72,77453504
1166020200,142.23,142.34,141.56,141.87,55568400
1166106600,141.86,143.24001,141.84,143.12,64779200
1166193000,142.64,142.89,142.24001,142.34,70858816
1166452200,142.53999,142.88,141.75,141.95,48956800
1166538600,141.55,142.56,141.19,142.22,65077504
1166625000,142.28,142.66,142.00999,142.14,41473200
1166711400,142.27,142.42999,141.32001,141.62,48698400
1166797800,141.64,141.64999,140.67,140.75,62073200
1167143400,140.81,141.61,140.78,141.58,32697600
1167229800,141.87,142.60001,141.83,142.50999,39732496
1167316200,142.41,142.7,141.99001,142.21001,37291104
1167402600,142.10001,142.53999,141.42999,141.62,45466704
1167834600,142.25,142.86,140.57001,141.37,94808496
1167921000,141.23,142.05,140.61,141.67,69634624
1168007400,141.33,141.39999,140.38,140.53999,76688880
1168266600,140.82001,141.41,140.25,141.19,69655808
1168353000,141.31,141.60001,140.39999,141.07001,75681120
1168439400,140.58,141.57001,140.3,141.53999,72447376
1168525800,141.56,142.62,141.5,142.16,55532496
1168612200,142.12,143.24001,142.11,143.24001,57631200
1168957800,143.07001,143.44,142.73,142.96001,44988304
1169044200,142.85001,143.46001,142.73,143.02,51597008
1169130600,143.17,143.25999,142.31,142.53999,68234368
1169217000,142.53999,143.10001,142.46001,142.82001,56983904
1169476200,143.07001,143.10001,141.92999,142.38,60261696
1169562600,142.25999,143.08,142.06,142.8,54077200
1169649000,142.97,143.98,142.91,143.95,56469392
1169735400,143.84,143.92,142.00999,142.25999,73607312
1169821800,142.57001,142.64999,141.58,142.16,74585632
1170081000,142.19,142.8,141.74001,142.05,66216000
